Date,GERMANY SMALL VALUE Small Cap
2004-03-31,366.495
2004-04-30,364.252
2004-05-31,361.051
2004-06-30,375.484
2004-07-30,371.842
2004-08-31,366.548
2004-09-30,384.945
2004-10-29,395.322
2004-11-30,432.951
2004-12-31,453.755
2005-01-31,457.649
2005-02-28,486.434
2005-03-31,466.901
2005-04-29,442.384
2005-05-31,463.863
2005-06-30,478.721
2005-07-29,515.923
2005-08-31,534.155
2005-09-30,560.905
2005-10-31,518.458
2005-11-30,532.462
2005-12-30,558.675
2006-01-31,638.734
2006-02-28,668.048
2006-03-31,698.896
2006-04-28,745.297
2006-05-31,700.022
2006-06-30,680.012
2006-07-31,675.178
2006-08-31,676.696
2006-09-29,704.266
2006-10-31,734.807
2006-11-30,766.573
2006-12-29,818.721
2007-01-31,846.725
2007-02-28,848.172
2007-03-30,908.823
2007-04-30,979.235
2007-05-31,1000.0
2007-06-29,1009.907
2007-07-31,974.363
2007-08-31,935.344
2007-09-28,999.462
2007-10-31,1062.888
2007-11-30,982.133
2007-12-31,972.053
2008-01-31,860.084
2008-02-29,910.02
2008-03-31,914.893
2008-04-30,934.521
2008-05-30,953.389
2008-06-30,842.161
2008-07-31,814.433
2008-08-29,796.614
2008-09-30,630.004
2008-10-31,456.931
2008-11-28,455.196
2008-12-31,587.772
2009-01-30,477.811
2009-02-27,436.514
2009-03-31,484.013
2009-04-30,618.652
2009-05-29,703.484
2009-06-30,700.374
2009-07-31,775.196
2009-08-31,874.975
2009-09-30,968.952
2009-10-30,909.344
2009-11-30,982.088
2009-12-31,968.387
2010-01-29,962.759
2010-02-26,950.142
2010-03-31,1023.812
2010-04-30,1040.281
2010-05-31,903.841
2010-06-30,910.495
2010-07-30,1017.848
2010-08-31,975.2
2010-09-30,1139.162
2010-10-29,1259.168
2010-11-30,1210.769
2010-12-31,1368.193
2011-01-31,1399.588
2011-02-28,1424.398
2011-03-31,1473.537
2011-04-29,1597.393
2011-05-31,1580.93
2011-06-30,1587.169
2011-07-29,1463.474
2011-08-31,1238.152
2011-09-30,1062.691
2011-10-31,1204.21
2011-11-30,1108.788
2011-12-30,1057.753
2012-01-31,1181.179
2012-02-29,1271.909
2012-03-30,1290.295
2012-04-30,1268.876
2012-05-31,1092.989
2012-06-29,1138.923
2012-07-31,1134.715
2012-08-31,1175.795
2012-09-28,1231.952
2012-10-31,1287.399
2012-11-30,1328.103
2012-12-31,1381.778
2013-01-31,1529.802
2013-02-28,1545.299
2013-03-29,1472.261
2013-04-30,1517.018
2013-05-31,1568.069
2013-06-28,1505.196
2013-07-31,1612.267
2013-08-30,1645.67
2013-09-30,1772.676
2013-10-31,1900.246
2013-11-29,1929.227
2013-12-31,1948.108
2014-01-31,1967.986
2014-02-28,2109.117
2014-03-31,2059.701
2014-04-30,2059.898
2014-05-30,2120.573
2014-06-30,2117.363
2014-07-31,1911.567
2014-08-29,1901.705
2014-09-30,1791.565
2014-10-31,1752.971
2014-11-28,1827.912
2014-12-31,1795.931
2015-01-30,1819.025
2015-02-27,1937.792
2015-03-31,1913.803
2015-04-30,1982.76
2015-05-29,1951.435
2015-06-30,1918.832
2015-07-31,1994.077
2015-08-31,1949.353
2015-09-30,1955.453
2015-10-30,2066.431
2015-11-30,1997.716
2015-12-31,2010.015
2016-01-29,1869.975
2016-02-29,1877.337
2016-03-31,2085.607
2016-04-29,2125.222
2016-05-31,2145.298
2016-06-30,2020.216
2016-07-29,2190.83
2016-08-31,2199.758
2016-09-30,2223.233
2016-10-31,2154.467
2016-11-30,2033.393
2016-12-30,2142.122
2017-01-31,2233.303
2017-02-28,2271.237
2017-03-31,2377.739
2017-04-28,2482.647
2017-05-31,2659.658
2017-06-30,2627.089
2017-07-31,2794.471
2017-08-31,2882.702
2017-09-29,2994.881
2017-10-31,3007.472
2017-11-30,3137.113
2017-12-29,3274.879
2018-01-31,3454.144
2018-02-28,3228.791
2018-03-30,3197.591
2018-04-30,3243.723
2018-05-31,3140.142
2018-06-29,3032.007
2018-07-31,3159.994
2018-08-31,3098.569
2018-09-28,2979.112
2018-10-31,2730.619
2018-11-30,2663.582
2018-12-31,2472.627
2019-01-31,2736.926
2019-02-28,2695.133
2019-03-29,2713.113
2019-04-30,2826.605
2019-05-31,2681.161
2019-06-28,2807.542
2019-07-31,2708.459
2019-08-30,2668.069
2019-09-30,2690.234
2019-10-31,2797.953
2019-11-29,2784.01
2019-12-31,2976.97
2020-01-31,2832.814
2020-02-28,2541.679
2020-03-31,1961.715
2020-04-30,2165.982
2020-05-29,2327.893
2020-06-30,2406.174
2020-07-31,2527.293
2020-08-31,2758.595
2020-09-30,2699.604
2020-10-30,2458.259
2020-11-30,3039.367
2020-12-31,3273.166
2021-01-29,3313.363
2021-02-26,3359.306
2021-03-31,3370.266
2021-04-30,3542.444
2021-05-31,3682.706
2021-06-30,3506.688
2021-07-30,3599.905
2021-08-31,3628.523
2021-09-30,3444.426
2021-10-29,3488.429
2021-11-30,3287.354
2021-12-31,3445.705
2022-01-31,3331.813
2022-02-28,3436.393
2022-03-31,3456.849
2022-04-29,3313.804
2022-05-31,3246.137
2022-06-30,2686.063
2022-07-29,2716.181
2022-08-31,2525.063
2022-09-30,2176.589
2022-10-31,2371.683
2022-11-30,2645.748
2022-12-30,2683.336
2023-01-31,3117.795
2023-02-28,3093.923
2023-03-31,2987.669
2023-04-28,3096.587
2023-05-31,2826.439
2023-06-30,2975.0
2023-07-31,3089.839
2023-08-31,2970.437
2023-09-29,2839.462
2023-10-31,2744.993
2023-11-30,2980.029
2023-12-29,3216.946
2024-01-31,3094.572
2024-02-29,2946.607
2024-03-29,3079.789
2024-04-30,3024.017
2024-05-31,3147.541
2024-06-28,2904.699
2024-07-31,2881.57
2024-08-30,2888.029
2024-09-30,3000.493
2024-10-31,2809.939
2024-11-29,2720.247
2024-12-31,2663.494
2025-01-31,2836.09
2025-02-28,3037.484
2025-03-31,3237.104
2025-04-30,3471.558
2025-05-30,3534.493
2025-06-30,3778.938
2025-07-31,3703.913
2025-08-29,3814.091
