Date,GERMANY GROWTH Standard (Large+Mid Cap)
1995-08-31,1259.284
1995-09-29,1273.1
1995-10-31,1263.402
1995-11-30,1262.865
1995-12-29,1302.868
1996-01-31,1343.252
1996-02-29,1351.202
1996-03-29,1324.848
1996-04-30,1257.743
1996-05-31,1270.716
1996-06-28,1304.526
1996-07-31,1313.563
1996-08-30,1334.026
1996-09-30,1340.407
1996-10-31,1361.634
1996-11-29,1424.317
1996-12-31,1424.839
1997-01-31,1394.559
1997-02-28,1452.555
1997-03-31,1534.856
1997-04-30,1464.379
1997-05-30,1550.611
1997-06-30,1605.721
1997-07-31,1783.889
1997-08-29,1611.865
1997-09-30,1740.763
1997-10-31,1596.983
1997-11-28,1651.292
1997-12-31,1720.567
1998-01-30,1855.947
1998-02-27,2000.303
1998-03-31,2066.858
1998-04-30,2122.35
1998-05-29,2263.364
1998-06-30,2460.429
1998-07-31,2499.808
1998-08-31,2058.08
1998-09-30,2081.878
1998-10-30,2205.218
1998-11-30,2300.516
1998-12-31,2333.678
1999-01-29,2257.158
1999-02-26,2024.113
1999-03-31,1907.637
1999-04-30,1950.803
1999-05-31,1897.31
1999-06-30,1962.753
1999-07-30,1913.432
1999-08-31,1957.721
1999-09-30,1994.153
1999-10-29,2083.111
1999-11-30,2289.473
1999-12-31,2708.749
2000-01-31,2753.183
2000-02-29,3072.493
2000-03-31,3110.923
2000-04-28,2681.872
2000-05-31,2503.567
2000-06-30,2476.906
2000-07-31,2306.402
2000-08-31,2126.325
2000-09-29,1995.672
2000-10-31,1980.387
2000-11-30,1765.278
2000-12-29,1861.062
2001-01-31,1949.193
2001-02-28,1700.566
2001-03-30,1474.544
2001-04-30,1576.128
2001-05-31,1499.42
2001-06-29,1468.198
2001-07-31,1474.199
2001-08-31,1431.675
2001-09-28,1192.522
2001-10-31,1254.61
2001-11-30,1341.998
2001-12-31,1357.888
2002-01-31,1323.784
2002-02-28,1308.927
2002-03-29,1388.771
2002-04-30,1348.794
2002-05-31,1295.481
2002-06-28,1246.752
2002-07-31,994.133
2002-08-30,973.12
2002-09-30,698.265
2002-10-31,878.756
2002-11-29,912.971
2002-12-31,841.063
2003-01-31,849.049
2003-02-28,791.216
2003-03-31,769.722
2003-04-30,945.455
2003-05-30,1018.014
2003-06-30,1058.406
2003-07-31,1096.933
2003-08-29,1093.035
2003-09-30,1110.502
2003-10-31,1236.081
2003-11-28,1298.641
2003-12-31,1417.853
2004-01-30,1446.714
2004-02-27,1436.063
2004-03-31,1380.355
2004-04-30,1357.563
2004-05-31,1357.639
2004-06-30,1388.569
2004-07-30,1314.915
2004-08-31,1291.837
2004-09-30,1373.062
2004-10-29,1413.411
2004-11-30,1533.657
2004-12-31,1608.319
2005-01-31,1531.271
2005-02-28,1577.011
2005-03-31,1549.676
2005-04-29,1482.08
2005-05-31,1507.849
2005-06-30,1519.844
2005-07-29,1597.952
2005-08-31,1597.115
2005-09-30,1614.508
2005-10-31,1547.843
2005-11-30,1596.02
2005-12-30,1667.266
2006-01-31,1820.694
2006-02-28,1832.946
2006-03-31,1930.729
2006-04-28,2018.266
2006-05-31,1939.556
2006-06-30,1919.875
2006-07-31,1879.717
2006-08-31,1961.764
2006-09-29,2007.672
2006-10-31,2073.764
2006-11-30,2170.296
2006-12-29,2240.063
2007-01-31,2311.941
2007-02-28,2303.718
2007-03-30,2434.454
2007-04-30,2655.795
2007-05-31,2752.669
2007-06-29,2834.75
2007-07-31,2763.579
2007-08-31,2772.876
2007-09-28,2968.011
2007-10-31,3098.643
2007-11-30,3105.653
2007-12-31,3199.343
2008-01-31,2779.637
2008-02-29,2798.08
2008-03-31,2807.762
2008-04-30,2986.584
2008-05-30,3081.597
2008-06-30,2898.273
2008-07-31,2916.666
2008-08-29,2720.962
2008-09-30,2422.948
2008-10-31,2002.099
2008-11-28,1709.921
2008-12-31,1871.895
2009-01-30,1641.174
2009-02-27,1437.41
2009-03-31,1576.776
2009-04-30,1763.962
2009-05-29,1957.865
2009-06-30,1898.648
2009-07-31,2113.074
2009-08-31,2043.727
2009-09-30,2179.383
2009-10-30,2123.959
2009-11-30,2241.025
2009-12-31,2268.412
2010-01-29,2062.142
2010-02-26,1993.699
2010-03-31,2150.912
2010-04-30,2167.326
2010-05-31,1948.017
2010-06-30,1976.554
2010-07-30,2126.874
2010-08-31,2000.473
2010-09-30,2350.984
2010-10-29,2505.023
2010-11-30,2415.746
2010-12-31,2573.593
2011-01-31,2640.35
2011-02-28,2751.745
2011-03-31,2766.7
2011-04-29,3064.582
2011-05-31,2933.531
2011-06-30,2999.237
2011-07-29,2929.173
2011-08-31,2464.216
2011-09-30,2144.456
2011-10-31,2507.791
2011-11-30,2412.442
2011-12-30,2249.416
2012-01-31,2504.568
2012-02-29,2712.27
2012-03-30,2743.174
2012-04-30,2699.701
2012-05-31,2341.348
2012-06-29,2402.665
2012-07-31,2510.717
2012-08-31,2598.836
2012-09-28,2759.069
2012-10-31,2804.811
2012-11-30,2963.452
2012-12-31,3061.819
