Date,NETHERLANDS IMI GROWTH IMI (Large+Mid+Small Cap)
2003-07-02,463.186
2003-07-03,466.809
2003-07-04,461.345
2003-07-07,475.132
2003-07-08,474.356
2003-07-09,470.786
2003-07-10,468.592
2003-07-11,471.966
2003-07-14,477.159
2003-07-15,475.186
2003-07-16,473.12
2003-07-17,463.028
2003-07-18,472.068
2003-07-21,473.221
2003-07-22,481.072
2003-07-23,484.392
2003-07-24,492.445
2003-07-25,492.513
2003-07-28,493.082
2003-07-29,489.651
2003-07-30,490.976
2003-07-31,491.089
2003-08-01,489.201
2003-08-04,489.666
2003-08-05,492.836
2003-08-06,487.473
2003-08-07,490.405
2003-08-08,493.675
2003-08-11,494.132
2003-08-12,494.001
2003-08-13,496.089
2003-08-14,500.211
2003-08-15,502.37
2003-08-18,502.339
2003-08-19,499.746
2003-08-20,501.647
2003-08-21,502.405
2003-08-22,506.253
2003-08-25,502.259
2003-08-26,496.697
2003-08-27,503.51
2003-08-28,505.361
2003-08-29,510.92
2003-09-01,519.955
2003-09-02,512.529
2003-09-03,514.953
2003-09-04,517.326
2003-09-05,523.3
2003-09-08,529.58
2003-09-09,526.132
2003-09-10,518.251
2003-09-11,517.936
2003-09-12,520.032
2003-09-15,526.981
2003-09-16,525.372
2003-09-17,532.522
2003-09-18,534.286
2003-09-19,531.329
2003-09-22,526.212
2003-09-23,521.819
2003-09-24,523.361
2003-09-25,517.747
2003-09-26,509.765
2003-09-29,509.637
2003-09-30,504.845
2003-10-01,515.846
2003-10-02,518.736
2003-10-03,529.525
2003-10-06,526.005
2003-10-07,528.026
2003-10-08,527.455
2003-10-09,536.597
2003-10-10,537.042
2003-10-13,538.97
2003-10-14,535.34
2003-10-15,542.579
2003-10-16,539.167
2003-10-17,541.869
2003-10-20,532.171
2003-10-21,538.642
2003-10-22,533.606
2003-10-23,527.107
2003-10-24,527.678
2003-10-27,531.022
2003-10-28,534.309
2003-10-29,538.058
2003-10-30,541.744
2003-10-31,540.205
2003-11-03,547.468
2003-11-04,544.741
2003-11-05,542.034
2003-11-06,547.993
2003-11-07,553.231
2003-11-10,549.479
2003-11-11,545.894
2003-11-12,553.347
2003-11-13,559.857
2003-11-14,561.636
2003-11-17,547.121
2003-11-18,551.689
2003-11-19,550.712
2003-11-20,549.013
2003-11-21,548.772
2003-11-24,555.51
2003-11-25,559.67
2003-11-26,560.753
2003-11-27,563.179
2003-11-28,563.796
2003-12-01,570.592
2003-12-02,576.051
2003-12-03,579.025
2003-12-04,573.045
2003-12-05,569.423
2003-12-08,567.17
2003-12-09,567.815
2003-12-10,562.353
2003-12-11,561.351
2003-12-12,567.61
2003-12-15,569.588
2003-12-16,567.171
2003-12-17,566.885
2003-12-18,567.771
2003-12-19,570.189
2003-12-22,572.035
2003-12-23,571.247
2003-12-24,575.641
2003-12-25,575.641
2003-12-26,575.41
2003-12-29,581.832
2003-12-30,586.551
2003-12-31,590.907
2004-01-01,590.907
2004-01-02,598.567
2004-01-05,602.919
2004-01-06,602.129
2004-01-07,598.373
2004-01-08,611.553
2004-01-09,619.872
2004-01-12,613.678
2004-01-13,614.766
2004-01-14,614.486
2004-01-15,611.905
2004-01-16,616.171
2004-01-19,615.483
2004-01-20,621.302
2004-01-21,627.785
2004-01-22,630.247
2004-01-23,628.164
2004-01-26,619.316
2004-01-27,621.979
2004-01-28,625.288
2004-01-29,609.235
2004-01-30,611.025
2004-02-02,615.309
2004-02-03,616.52
2004-02-04,610.952
2004-02-05,617.837
2004-02-06,628.476
2004-02-09,630.406
2004-02-10,633.041
2004-02-11,636.001
2004-02-12,647.479
2004-02-13,643.693
2004-02-16,646.593
2004-02-17,651.94
2004-02-18,656.313
2004-02-19,657.377
2004-02-20,648.526
2004-02-23,641.274
2004-02-24,635.301
2004-02-25,634.29
2004-02-26,628.616
2004-02-27,630.24
2004-03-01,636.921
2004-03-02,637.09
2004-03-03,623.654
2004-03-04,625.532
2004-03-05,636.356
2004-03-08,632.598
2004-03-09,625.379
2004-03-10,613.154
2004-03-11,597.981
2004-03-12,597.893
2004-03-15,585.107
2004-03-16,594.334
2004-03-17,599.869
2004-03-18,595.374
2004-03-19,593.981
2004-03-22,581.734
2004-03-23,579.733
2004-03-24,570.102
2004-03-25,583.743
2004-03-26,583.018
2004-03-29,595.592
2004-03-30,596.207
2004-03-31,602.275
2004-04-01,610.628
2004-04-02,612.972
2004-04-05,609.289
2004-04-06,604.035
2004-04-07,612.652
2004-04-08,611.479
2004-04-09,611.479
2004-04-12,609.761
2004-04-13,601.605
2004-04-14,597.009
2004-04-15,597.505
2004-04-16,605.035
2004-04-19,607.226
2004-04-20,605.878
