Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
2002-06-28,537.419
2002-07-01,528.034
2002-07-02,517.908
2002-07-03,516.026
2002-07-04,516.026
2002-07-05,532.445
2002-07-08,528.544
2002-07-09,517.085
2002-07-10,501.381
2002-07-11,501.3
2002-07-12,497.13
2002-07-15,493.792
2002-07-16,485.769
2002-07-17,486.982
2002-07-18,474.29
2002-07-19,458.295
2002-07-22,442.375
2002-07-23,428.459
2002-07-24,450.748
2002-07-25,453.473
2002-07-26,461.86
2002-07-29,485.992
2002-07-30,489.188
2002-07-31,495.206
2002-08-01,482.838
2002-08-02,471.362
2002-08-05,456.558
2002-08-06,468.763
2002-08-07,476.324
2002-08-08,491.398
2002-08-09,494.342
2002-08-12,492.814
2002-08-13,482.133
2002-08-14,497.422
2002-08-15,501.247
2002-08-16,499.69
2002-08-19,510.344
2002-08-20,503.527
2002-08-21,510.142
2002-08-22,516.331
2002-08-23,505.693
2002-08-26,511.586
2002-08-27,507.836
2002-08-28,499.478
2002-08-29,499.459
2002-08-30,499.398
2002-09-02,499.398
2002-09-03,480.123
2002-09-04,487.283
2002-09-05,481.181
2002-09-06,487.748
2002-09-09,491.66
2002-09-10,492.672
2002-09-11,493.468
2002-09-12,482.373
2002-09-13,483.596
2002-09-16,483.281
2002-09-17,473.469
2002-09-18,471.48
2002-09-19,457.522
2002-09-20,459.076
2002-09-23,454.641
2002-09-24,445.328
2002-09-25,454.38
2002-09-26,464.805
2002-09-27,450.112
2002-09-30,446.136
2002-10-01,461.801
2002-10-02,449.044
2002-10-03,444.268
2002-10-04,433.291
2002-10-07,423.801
2002-10-08,427.363
2002-10-09,413.611
2002-10-10,429.89
2002-10-11,445.286
2002-10-14,447.565
2002-10-15,467.569
2002-10-16,458.563
2002-10-17,469.038
2002-10-18,470.313
2002-10-21,479.245
2002-10-22,474.867
2002-10-23,477.831
2002-10-24,472.224
2002-10-25,478.547
2002-10-28,476.626
2002-10-29,471.454
2002-10-30,477.501
2002-10-31,474.882
2002-11-01,483.714
2002-11-04,486.061
2002-11-05,489.993
2002-11-06,494.457
2002-11-07,482.394
2002-11-08,479.415
2002-11-11,469.914
2002-11-12,471.457
2002-11-13,469.287
2002-11-14,479.479
2002-11-15,484.049
2002-11-18,480.221
2002-11-19,479.882
2002-11-20,488.0
2002-11-21,499.029
2002-11-22,498.527
2002-11-25,501.009
2002-11-26,491.4
2002-11-27,503.964
2002-11-28,503.967
2002-11-29,503.181
2002-12-02,502.365
2002-12-03,495.183
2002-12-04,493.023
2002-12-05,488.518
2002-12-06,492.156
2002-12-09,482.865
2002-12-10,489.211
2002-12-11,489.721
2002-12-12,488.392
2002-12-13,484.219
2002-12-16,495.618
2002-12-17,492.444
2002-12-18,486.962
2002-12-19,484.094
2002-12-20,490.622
2002-12-23,490.323
2002-12-24,487.459
2002-12-25,487.459
2002-12-26,487.9
2002-12-27,479.985
2002-12-30,481.974
2002-12-31,482.991
2003-01-01,482.991
2003-01-02,497.465
2003-01-03,497.303
2003-01-06,510.136
2003-01-07,504.891
2003-01-08,498.459
2003-01-09,506.389
2003-01-10,505.603
2003-01-13,505.198
2003-01-14,507.684
2003-01-15,501.387
2003-01-16,499.803
2003-01-17,495.319
2003-01-20,495.316
2003-01-21,486.138
2003-01-22,480.185
2003-01-23,482.795
2003-01-24,470.089
2003-01-27,462.125
2003-01-28,467.8
2003-01-29,471.046
2003-01-30,461.67
2003-01-31,469.266
2003-02-03,471.817
2003-02-04,466.157
2003-02-05,463.213
2003-02-06,459.714
2003-02-07,455.331
2003-02-10,458.088
2003-02-11,453.325
2003-02-12,447.173
2003-02-13,446.767
2003-02-14,454.517
2003-02-17,454.517
2003-02-18,462.025
2003-02-19,459.079
2003-02-20,454.659
2003-02-21,460.461
