Date,EUROPE SMID GROWTH SMID (Small+Mid Cap)
2023-08-31,1696.382
2023-09-29,1579.07
2023-10-31,1476.439
2023-11-30,1676.046
2023-12-29,1807.303
2024-01-31,1762.854
2024-02-29,1798.024
2024-03-29,1850.007
2024-04-30,1786.555
2024-05-31,1906.257
2024-06-28,1841.07
2024-07-31,1906.535
2024-08-30,1961.525
2024-09-30,1981.796
2024-10-31,1844.371
2024-11-29,1837.049
2024-12-31,1800.502
2025-01-31,1900.677
2025-02-28,1910.016
2025-03-31,1897.176
2025-04-30,2030.46
2025-05-30,2188.468
2025-06-30,2260.945
2025-07-31,2238.38
