Date,EUROPE SMID GROWTH SMID (Small+Mid Cap)
2024-06-28,1736.587
2024-07-31,1797.989
2024-08-30,1849.746
2024-09-30,1868.552
2024-10-31,1738.644
2024-11-29,1731.657
2024-12-31,1696.526
2025-01-31,1790.842
2025-02-28,1799.599
2025-03-31,1787.017
2025-04-30,1910.633
2025-05-30,2056.582
2025-06-30,2123.796
2025-07-31,2102.309
2025-08-29,2136.103
2025-09-30,2154.159
2025-10-31,2151.092
