Date,ITALY LARGE CAP Large Cap
2002-08-01,350.596
2002-08-02,351.485
2002-08-05,347.235
2002-08-06,352.049
2002-08-07,351.187
2002-08-08,361.4
2002-08-09,367.825
2002-08-12,363.515
2002-08-13,368.358
2002-08-14,359.737
2002-08-15,357.058
2002-08-16,370.779
2002-08-19,379.213
2002-08-20,374.987
2002-08-21,378.9
2002-08-22,378.572
2002-08-23,375.084
2002-08-26,373.784
2002-08-27,387.178
2002-08-28,372.518
2002-08-29,364.622
2002-08-30,367.344
2002-09-02,362.37
2002-09-03,353.783
2002-09-04,358.47
2002-09-05,356.005
2002-09-06,362.352
2002-09-09,354.052
2002-09-10,362.153
2002-09-11,366.22
2002-09-12,355.915
2002-09-13,350.992
2002-09-16,350.677
2002-09-17,346.696
2002-09-18,338.649
2002-09-19,334.626
2002-09-20,328.446
2002-09-23,313.085
2002-09-24,313.203
2002-09-25,318.911
2002-09-26,328.65
2002-09-27,326.548
2002-09-30,316.741
2002-10-01,318.166
2002-10-02,326.228
2002-10-03,327.827
2002-10-04,317.55
2002-10-07,318.083
2002-10-08,311.05
2002-10-09,311.777
2002-10-10,320.631
2002-10-11,330.295
2002-10-14,326.124
2002-10-15,342.475
2002-10-16,337.376
2002-10-17,339.237
2002-10-18,335.071
2002-10-21,338.491
2002-10-22,335.337
2002-10-23,327.479
2002-10-24,334.5
2002-10-25,334.027
2002-10-28,337.661
2002-10-29,327.632
2002-10-30,337.702
2002-10-31,342.075
2002-11-01,337.659
2002-11-04,349.647
2002-11-05,352.028
2002-11-06,347.72
2002-11-07,345.0
2002-11-08,345.161
2002-11-11,341.353
2002-11-12,345.914
2002-11-13,343.694
2002-11-14,352.075
2002-11-15,352.303
2002-11-18,359.509
2002-11-19,360.268
2002-11-20,356.995
2002-11-21,364.8
2002-11-22,364.438
2002-11-25,362.512
2002-11-26,356.981
2002-11-27,365.771
2002-11-28,370.14
2002-11-29,369.8
2002-12-02,370.186
2002-12-03,363.09
2002-12-04,365.213
2002-12-05,357.454
2002-12-06,359.182
2002-12-09,349.977
2002-12-10,355.858
2002-12-11,358.321
2002-12-12,357.032
2002-12-13,355.139
2002-12-16,365.841
2002-12-17,367.542
2002-12-18,359.61
2002-12-19,356.595
2002-12-20,364.208
2002-12-23,366.801
2002-12-24,368.319
2002-12-25,368.319
2002-12-26,369.248
2002-12-27,363.028
2002-12-30,367.951
2002-12-31,369.395
2003-01-01,369.395
2003-01-02,377.295
2003-01-03,378.337
2003-01-06,383.912
2003-01-07,377.214
2003-01-08,372.063
2003-01-09,378.61
2003-01-10,378.244
2003-01-13,380.44
2003-01-14,381.541
2003-01-15,379.098
2003-01-16,381.145
2003-01-17,371.95
2003-01-20,367.184
2003-01-21,362.903
2003-01-22,358.913
2003-01-23,357.699
2003-01-24,355.219
2003-01-27,349.735
2003-01-28,351.388
2003-01-29,357.592
2003-01-30,361.129
2003-01-31,363.444
2003-02-03,365.817
2003-02-04,360.384
2003-02-05,364.819
2003-02-06,359.866
2003-02-07,359.823
2003-02-10,358.589
2003-02-11,366.429
2003-02-12,363.694
2003-02-13,366.024
2003-02-14,369.428
2003-02-17,369.693
2003-02-18,372.946
2003-02-19,367.408
2003-02-20,369.153
2003-02-21,376.286
2003-02-24,376.529
2003-02-25,367.188
2003-02-26,367.743
2003-02-27,374.383
2003-02-28,376.44
2003-03-03,373.458
2003-03-04,370.348
2003-03-05,368.329
2003-03-06,357.538
2003-03-07,353.729
2003-03-10,346.554
2003-03-11,346.88
2003-03-12,329.174
2003-03-13,338.815
2003-03-14,345.931
2003-03-17,352.034
2003-03-18,343.928
2003-03-19,348.314
2003-03-20,344.37
2003-03-21,351.424
2003-03-24,345.025
2003-03-25,352.794
2003-03-26,352.004
2003-03-27,348.467
2003-03-28,351.772
2003-03-31,347.176
2003-04-01,351.226
2003-04-02,357.07
2003-04-03,358.855
2003-04-04,359.559
2003-04-07,364.985
2003-04-08,366.939
2003-04-09,366.236
2003-04-10,368.59
2003-04-11,368.596
2003-04-14,370.913
2003-04-15,373.563
2003-04-16,371.549
2003-04-17,377.083
2003-04-18,377.083
2003-04-21,375.458
2003-04-22,381.992
2003-04-23,384.494
2003-04-24,385.061
2003-04-25,378.22
2003-04-28,386.677
2003-04-29,385.732
2003-04-30,391.006
2003-05-01,394.597
2003-05-02,393.252
2003-05-05,397.215
2003-05-06,404.849
2003-05-07,403.615
2003-05-08,403.148
2003-05-09,405.985
2003-05-12,407.884
2003-05-13,405.546
2003-05-14,405.627
2003-05-15,409.234
2003-05-16,412.126
2003-05-19,410.927
2003-05-20,410.739
2003-05-21,411.013
2003-05-22,416.333
2003-05-23,423.471
2003-05-26,427.086
2003-05-27,434.813
2003-05-28,435.102
2003-05-29,441.01
2003-05-30,439.555
2003-06-02,441.563
2003-06-03,437.583
2003-06-04,435.744
2003-06-05,440.494
2003-06-06,437.646
2003-06-09,435.893
2003-06-10,435.503
2003-06-11,442.964
2003-06-12,445.635
2003-06-13,445.981
2003-06-16,453.517
2003-06-17,452.945
2003-06-18,452.558
2003-06-19,448.096
2003-06-20,450.265
2003-06-23,441.652
2003-06-24,444.737
2003-06-25,447.847
2003-06-26,440.3
2003-06-27,438.593
2003-06-30,434.08
2003-07-01,430.4
2003-07-02,430.236
2003-07-03,428.307
2003-07-04,428.484
2003-07-07,431.327
