Date,EM (EMERGING MARKETS) LARGE GROWTH Large Cap
2003-01-31,279.708
2003-02-28,269.219
2003-03-31,261.993
2003-04-30,283.756
2003-05-30,304.391
2003-06-30,322.451
2003-07-31,342.925
2003-08-29,368.507
2003-09-30,369.817
2003-10-31,395.251
2003-11-28,395.647
2003-12-31,416.838
2004-01-30,435.951
2004-02-27,453.83
2004-03-31,455.181
2004-04-30,416.736
2004-05-31,415.766
2004-06-30,408.973
2004-07-30,394.181
2004-08-31,414.017
2004-09-30,435.202
2004-10-29,443.783
2004-11-30,483.309
2004-12-31,506.121
2005-01-31,510.152
2005-02-28,551.329
2005-03-31,515.832
2005-04-29,499.74
2005-05-31,525.191
2005-06-30,540.214
2005-07-29,578.474
2005-08-31,583.664
2005-09-30,638.325
2005-10-31,601.604
2005-11-30,653.227
2005-12-30,695.501
2006-01-31,775.76
2006-02-28,769.346
2006-03-31,771.396
2006-04-28,824.411
2006-05-31,737.233
2006-06-30,737.932
2006-07-31,748.8
2006-08-31,777.841
2006-09-29,782.494
2006-10-31,812.105
2006-11-30,872.106
2006-12-29,914.418
2007-01-31,906.875
2007-02-28,897.31
2007-03-30,925.935
2007-04-30,974.964
2007-05-31,1000.0
2007-06-29,1046.877
2007-07-31,1106.228
2007-08-31,1079.15
2007-09-28,1201.006
2007-10-31,1331.195
2007-11-30,1236.091
2007-12-31,1230.144
2008-01-31,1052.241
2008-02-29,1147.759
2008-03-31,1086.045
2008-04-30,1170.891
2008-05-30,1207.077
2008-06-30,1083.905
2008-07-31,1034.183
2008-08-29,943.323
2008-09-30,774.564
2008-10-31,564.201
2008-11-28,516.365
2008-12-31,552.344
2009-01-30,521.025
2009-02-27,498.014
2009-03-31,565.601
2009-04-30,650.682
2009-05-29,757.468
2009-06-30,743.388
2009-07-31,825.137
2009-08-31,821.769
2009-09-30,895.519
2009-10-30,893.986
2009-11-30,935.255
2009-12-31,970.815
2010-01-29,914.638
2010-02-26,917.734
2010-03-31,999.228
2010-04-30,1009.542
2010-05-31,918.864
2010-06-30,905.095
2010-07-30,983.644
2010-08-31,966.629
2010-09-30,1077.248
2010-10-29,1110.716
2010-11-30,1084.655
2010-12-31,1164.385
2011-01-31,1128.849
2011-02-28,1115.3
2011-03-31,1182.629
2011-04-29,1227.337
2011-05-31,1195.976
2011-06-30,1175.988
2011-07-29,1171.988
2011-08-31,1061.524
2011-09-30,902.312
2011-10-31,1029.048
2011-11-30,960.096
2011-12-30,950.068
2012-01-31,1038.426
2012-02-29,1103.975
2012-03-30,1079.541
2012-04-30,1081.901
2012-05-31,956.395
2012-06-29,993.228
2012-07-31,1020.475
2012-08-31,1016.012
2012-09-28,1076.052
2012-10-31,1073.262
2012-11-30,1101.063
2012-12-31,1147.402
2013-01-31,1162.697
2013-02-28,1155.458
2013-03-29,1137.59
2013-04-30,1152.936
2013-05-31,1131.619
2013-06-28,1065.059
2013-07-31,1064.401
2013-08-30,1045.872
2013-09-30,1113.942
2013-10-31,1177.26
2013-11-29,1166.727
2013-12-31,1148.504
2014-01-31,1074.45
2014-02-28,1123.249
2014-03-31,1144.573
2014-04-30,1143.458
2014-05-30,1187.094
2014-06-30,1214.327
2014-07-31,1229.057
2014-08-29,1253.127
2014-09-30,1167.521
2014-10-31,1195.865
2014-11-28,1194.651
2014-12-31,1144.629
2015-01-30,1164.219
2015-02-27,1198.865
2015-03-31,1189.067
2015-04-30,1258.109
2015-05-29,1212.264
2015-06-30,1180.984
2015-07-31,1096.636
2015-08-31,1001.811
2015-09-30,976.719
2015-10-30,1049.895
2015-11-30,1023.149
2015-12-31,1003.882
2016-01-29,935.709
2016-02-29,929.528
2016-03-31,1041.388
2016-04-29,1036.04
2016-05-31,1021.522
2016-06-30,1059.763
2016-07-29,1109.073
2016-08-31,1148.148
2016-09-30,1171.805
2016-10-31,1158.381
2016-11-30,1093.456
2016-12-30,1091.089
2017-01-31,1162.14
2017-02-28,1187.673
2017-03-31,1228.251
2017-04-28,1273.987
2017-05-31,1323.381
2017-06-30,1353.83
2017-07-31,1446.701
2017-08-31,1479.953
2017-09-29,1497.882
2017-10-31,1561.702
2017-11-30,1576.233
2017-12-29,1616.623
2018-01-31,1748.443
2018-02-28,1668.569
2018-03-30,1631.957
2018-04-30,1601.39
2018-05-31,1565.349
2018-06-29,1520.029
2018-07-31,1527.568
2018-08-31,1474.578
2018-09-28,1434.827
2018-10-31,1284.397
2018-11-30,1351.61
2018-12-31,1304.942
2019-01-31,1434.801
2019-02-28,1448.586
2019-03-29,1475.226
2019-04-30,1521.793
2019-05-31,1371.666
2019-06-28,1472.793
2019-07-31,1479.069
2019-08-30,1424.374
2019-09-30,1448.792
2019-10-31,1521.16
2019-11-29,1533.011
2019-12-31,1654.48
2020-01-31,1610.579
2020-02-28,1554.741
2020-03-31,1364.632
2020-04-30,1487.347
2020-05-29,1506.057
2020-06-30,1651.801
2020-07-31,1842.109
2020-08-31,1911.679
2020-09-30,1898.275
2020-10-30,1976.422
2020-11-30,2092.694
2020-12-31,2215.424
2021-01-29,2352.707
2021-02-26,2325.194
2021-03-31,2232.814
2021-04-30,2286.121
2021-05-31,2295.404
2021-06-30,2306.396
2021-07-30,2096.831
2021-08-31,2147.494
2021-09-30,2043.079
2021-10-29,2082.279
2021-11-30,1992.16
2021-12-31,1997.125
2022-01-31,1946.228
2022-02-28,1852.086
2022-03-31,1777.811
2022-04-29,1687.357
2022-05-31,1684.417
2022-06-30,1573.129
2022-07-29,1576.854
2022-08-31,1587.071
2022-09-30,1376.536
2022-10-31,1299.298
2022-11-30,1525.592
2022-12-30,1505.776
2023-01-31,1644.981
2023-02-28,1511.015
2023-03-31,1569.888
2023-04-28,1517.49
2023-05-31,1496.103
2023-06-30,1547.915
2023-07-31,1640.663
2023-08-31,1528.749
2023-09-29,1461.885
2023-10-31,1409.788
2023-11-30,1538.65
2023-12-29,1573.948
2024-01-31,1481.198
2024-02-29,1562.872
2024-03-29,1637.558
2024-04-30,1644.952
2024-05-31,1650.479
2024-06-28,1734.508
2024-07-31,1728.909
2024-08-30,1758.782
2024-09-30,1896.979
2024-10-31,1836.518
2024-11-29,1761.637
2024-12-31,1774.765
2025-01-31,1812.032
2025-02-28,1808.544
2025-03-31,1795.928
2025-04-30,1817.144
2025-05-30,1898.715
