Date,FRANCE MID VALUE Mid Cap
2019-10-31,1342.667
2019-11-29,1300.263
2019-12-31,1333.464
2020-01-31,1312.595
2020-02-28,1205.076
2020-03-31,879.295
2020-04-30,942.958
2020-05-29,954.749
2020-06-30,1019.138
2020-07-31,1029.485
2020-08-31,1100.765
2020-09-30,1039.162
2020-10-30,973.803
2020-11-30,1270.843
2020-12-31,1351.145
2021-01-29,1332.8
2021-02-26,1396.894
2021-03-31,1427.632
2021-04-30,1516.68
2021-05-31,1562.311
2021-06-30,1497.048
2021-07-30,1492.651
2021-08-31,1538.369
2021-09-30,1465.723
2021-10-29,1507.549
2021-11-30,1409.747
2021-12-31,1505.332
2022-01-31,1491.976
2022-02-28,1448.667
2022-03-31,1385.604
2022-04-29,1297.108
2022-05-31,1314.97
2022-06-30,1111.475
2022-07-29,1180.685
2022-08-31,1104.852
2022-09-30,964.219
2022-10-31,1091.077
2022-11-30,1214.567
2022-12-30,1219.212
2023-01-31,1373.347
2023-02-28,1405.434
2023-03-31,1371.643
2023-04-28,1421.521
2023-05-31,1299.999
2023-06-30,1385.265
2023-07-31,1449.761
2023-08-31,1391.341
2023-09-29,1317.445
2023-10-31,1244.223
2023-11-30,1386.317
2023-12-29,1480.797
2024-01-31,1485.174
2024-02-29,1486.194
2024-03-29,1552.107
2024-04-30,1532.65
2024-05-31,1637.951
2024-06-28,1479.861
2024-07-31,1553.226
2024-08-30,1605.417
2024-09-30,1620.433
2024-10-31,1567.977
2024-11-29,1515.229
2024-12-31,1479.792
2025-01-31,1529.195
2025-02-28,1530.291
2025-03-31,1551.0
2025-04-30,1668.69
2025-05-30,1744.342
2025-06-30,1756.008
2025-07-31,1660.449
2025-08-29,1680.703
