Date,FRANCE MID GROWTH Mid Cap
2023-08-31,1301.098
2023-09-29,1211.623
2023-10-31,1088.451
2023-11-30,1189.191
2023-12-29,1264.206
2024-01-31,1258.578
2024-02-29,1204.953
2024-03-29,1252.966
2024-04-30,1195.205
2024-05-31,1229.349
2024-06-28,1118.92
2024-07-31,1176.688
2024-08-30,1221.257
2024-09-30,1226.547
2024-10-31,1117.229
2024-11-29,1101.779
2024-12-31,1114.553
2025-01-31,1148.766
2025-02-28,1136.867
2025-03-31,1143.852
2025-04-30,1243.887
2025-05-30,1279.676
