Date,AUSTRALIA LARGE CAP Large Cap
2005-02-28,587.956
2005-03-31,563.009
2005-04-29,558.35
2005-05-31,559.997
2005-06-30,588.671
2005-07-29,601.761
2005-08-31,604.168
2005-09-30,650.462
2005-10-31,612.699
2005-11-30,634.893
2005-12-30,648.715
2006-01-31,699.068
2006-02-28,691.21
2006-03-31,695.611
2006-04-28,763.049
2006-05-31,720.022
2006-06-30,726.296
2006-07-31,733.02
2006-08-31,759.719
2006-09-29,742.048
2006-10-31,803.707
2006-11-30,828.652
2006-12-29,851.344
2007-01-31,857.727
2007-02-28,884.959
2007-03-30,934.512
2007-04-30,986.625
2007-05-31,1000.0
2007-06-29,1027.95
2007-07-31,1015.128
2007-08-31,1004.379
2007-09-28,1159.788
2007-10-31,1257.864
2007-11-30,1163.347
2007-12-31,1123.97
2008-01-31,1019.833
2008-02-29,1045.023
2008-03-31,991.197
2008-04-30,1075.829
2008-05-30,1103.832
2008-06-30,1036.512
2008-07-31,961.771
2008-08-29,919.667
2008-09-30,761.597
2008-10-31,576.896
2008-11-28,535.589
2008-12-31,564.977
2009-01-30,490.836
2009-02-27,481.272
2009-03-31,568.514
2009-04-30,630.349
2009-05-29,690.826
2009-06-30,728.799
2009-07-31,801.589
2009-08-31,870.221
2009-09-30,974.405
2009-10-30,976.635
2009-11-30,1010.738
2009-12-31,1022.785
2010-01-29,951.56
2010-02-26,990.228
2010-03-31,1073.237
2010-04-30,1065.702
2010-05-31,888.047
2010-06-30,868.28
2010-07-30,975.277
2010-08-31,942.382
2010-09-30,1072.692
2010-10-29,1105.882
2010-11-30,1065.807
2010-12-31,1176.842
2011-01-31,1151.653
2011-02-28,1203.109
2011-03-31,1232.978
2011-04-29,1310.805
2011-05-31,1240.941
2011-06-30,1230.195
2011-07-29,1195.01
2011-08-31,1145.329
2011-09-30,981.86
2011-10-31,1149.766
2011-11-30,1071.726
2011-12-30,1055.444
2012-01-31,1148.674
2012-02-29,1179.195
2012-03-30,1145.73
2012-04-30,1170.106
2012-05-31,1017.063
2012-06-29,1095.362
2012-07-31,1182.169
2012-08-31,1187.705
2012-09-28,1221.074
2012-10-31,1253.423
2012-11-30,1267.813
2012-12-31,1306.621
2013-01-31,1376.744
2013-02-28,1435.412
2013-03-29,1425.074
2013-04-30,1499.601
2013-05-31,1310.513
2013-06-28,1229.706
2013-07-31,1275.359
2013-08-30,1296.25
2013-09-30,1387.227
2013-10-31,1469.173
2013-11-29,1408.121
2013-12-31,1381.535
2014-01-31,1301.557
2014-02-28,1400.045
2014-03-31,1458.601
2014-04-30,1484.612
2014-05-30,1498.317
2014-06-30,1492.633
2014-07-31,1536.195
2014-08-29,1548.456
2014-09-30,1368.921
2014-10-31,1442.546
2014-11-28,1345.514
2014-12-31,1310.752
2015-01-30,1283.235
2015-02-27,1380.851
2015-03-31,1347.746
2015-04-30,1359.434
2015-05-29,1312.862
2015-06-30,1255.863
2015-07-31,1248.393
2015-08-31,1097.361
2015-09-30,1046.851
2015-10-30,1105.472
2015-11-30,1109.591
2015-12-31,1146.662
2016-01-29,1042.832
2016-02-29,1022.183
2016-03-31,1153.243
2016-04-29,1191.598
2016-05-31,1158.876
2016-06-30,1154.576
2016-07-29,1247.234
2016-08-31,1210.952
2016-09-30,1249.448
2016-10-31,1227.675
2016-11-30,1237.386
2016-12-30,1268.026
2017-01-31,1322.332
2017-02-28,1371.848
2017-03-31,1407.042
2017-04-28,1396.835
2017-05-31,1325.879
2017-06-30,1362.791
2017-07-31,1432.294
2017-08-31,1422.758
2017-09-29,1409.31
2017-10-31,1423.313
2017-11-30,1426.111
2017-12-29,1495.835
2018-01-31,1542.302
2018-02-28,1486.216
2018-03-30,1400.556
2018-04-30,1430.934
2018-05-31,1453.894
2018-06-29,1475.33
2018-07-31,1504.897
2018-08-31,1472.668
2018-09-28,1456.183
2018-10-31,1349.944
2018-11-30,1372.111
2018-12-31,1335.146
2019-01-31,1422.256
2019-02-28,1477.092
2019-03-29,1485.272
2019-04-30,1498.728
2019-05-31,1508.96
2019-06-28,1595.85
2019-07-31,1601.78
2019-08-30,1524.764
2019-09-30,1564.394
2019-10-31,1585.059
2019-11-29,1596.067
2019-12-31,1627.425
2020-01-31,1633.109
2020-02-28,1467.073
2020-03-31,1116.954
2020-04-30,1272.095
2020-05-29,1325.241
2020-06-30,1425.814
2020-07-31,1496.675
2020-08-31,1573.365
2020-09-30,1463.394
2020-10-30,1461.09
2020-11-30,1696.963
2020-12-31,1822.882
2021-01-29,1831.973
2021-02-26,1898.985
2021-03-31,1901.371
2021-04-30,1998.08
2021-05-31,2069.836
2021-06-30,2035.915
2021-07-30,2027.053
2021-08-31,2028.198
2021-09-30,1950.902
2021-10-29,2033.033
2021-11-30,1889.783
2021-12-31,1992.755
2022-01-31,1834.652
2022-02-28,1940.306
2022-03-31,2179.047
2022-04-29,2044.542
2022-05-31,2032.211
2022-06-30,1783.626
2022-07-29,1895.345
2022-08-31,1876.464
2022-09-30,1670.488
2022-10-31,1757.946
2022-11-30,1984.172
2022-12-30,1950.478
2023-01-31,2158.2
2023-02-28,1994.38
2023-03-31,1980.18
2023-04-28,1970.633
2023-05-31,1865.395
2023-06-30,1966.69
2023-07-31,2043.449
2023-08-31,1962.316
2023-09-29,1918.313
2023-10-31,1828.398
2023-11-30,2012.542
2023-12-29,2234.305
2024-01-31,2203.461
2024-02-29,2163.508
2024-03-29,2221.541
2024-04-30,2137.241
2024-05-31,2235.571
2024-06-28,2294.434
2024-07-31,2333.411
2024-08-30,2433.614
2024-09-30,2553.083
2024-10-31,2387.026
2024-11-29,2445.172
2024-12-31,2262.385
2025-01-31,2367.092
2025-02-28,2246.574
2025-03-31,2175.093
2025-04-30,2326.337
2025-05-30,2419.092
2025-06-30,2506.026
2025-07-31,2521.986
2025-08-29,2618.411
2025-09-30,2611.646
2025-10-31,2597.701
