Date,NETHERLANDS MID GROWTH Mid Cap
2005-06-30,657.376
2005-07-29,693.052
2005-08-31,683.119
2005-09-30,690.863
2005-10-31,668.621
2005-11-30,699.605
2005-12-30,716.407
2006-01-31,785.6
2006-02-28,745.053
2006-03-31,775.707
2006-04-28,803.004
2006-05-31,773.165
2006-06-30,770.319
2006-07-31,778.745
2006-08-31,814.142
2006-09-29,846.993
2006-10-31,859.5
2006-11-30,911.783
2006-12-29,924.736
2007-01-31,934.13
2007-02-28,932.064
2007-03-30,934.453
2007-04-30,1002.026
2007-05-31,1000.0
2007-06-29,1029.961
2007-07-31,1105.976
2007-08-31,1073.41
2007-09-28,1135.208
2007-10-31,1169.563
2007-11-30,1141.379
2007-12-31,1061.662
2008-01-31,915.258
2008-02-29,911.207
2008-03-31,934.291
2008-04-30,1000.223
2008-05-30,1035.067
2008-06-30,890.99
2008-07-31,776.251
2008-08-29,818.044
2008-09-30,644.388
2008-10-31,525.725
2008-11-28,473.392
2008-12-31,510.653
2009-01-30,480.852
2009-02-27,444.003
2009-03-31,498.713
2009-04-30,565.343
2009-05-29,613.164
2009-06-30,609.425
2009-07-31,707.385
2009-08-31,776.765
2009-09-30,835.08
2009-10-30,789.833
2009-11-30,852.042
2009-12-31,917.701
2010-01-29,883.711
2010-02-26,839.586
2010-03-31,946.019
2010-04-30,919.336
2010-05-31,801.216
2010-06-30,769.364
2010-07-30,859.408
2010-08-31,756.685
2010-09-30,895.953
2010-10-29,949.425
2010-11-30,918.115
2010-12-31,1053.959
2011-01-31,1087.908
2011-02-28,1120.815
2011-03-31,1150.752
2011-04-29,1167.902
2011-05-31,1085.147
2011-06-30,1048.76
2011-07-29,1028.065
2011-08-31,856.601
2011-09-30,770.896
2011-10-31,884.967
2011-11-30,840.32
2011-12-30,843.098
2012-01-31,883.474
2012-02-29,1000.132
2012-03-30,1005.649
2012-04-30,1003.235
2012-05-31,840.046
2012-06-29,901.004
2012-07-31,898.229
2012-08-31,921.4
2012-09-28,958.251
2012-10-31,952.338
2012-11-30,925.667
2012-12-31,941.353
2013-01-31,918.466
2013-02-28,890.45
2013-03-29,937.666
2013-04-30,958.427
2013-05-31,976.128
2013-06-28,990.785
2013-07-31,1066.7
2013-08-30,1085.841
2013-09-30,1106.649
2013-10-31,1150.686
2013-11-29,1174.821
2013-12-31,1183.471
2014-01-31,1166.182
2014-02-28,1211.202
2014-03-31,1207.464
2014-04-30,1177.594
2014-05-30,1198.489
2014-06-30,1180.318
2014-07-31,1102.142
2014-08-29,1129.787
2014-09-30,1079.208
2014-10-31,1071.202
2014-11-28,1147.397
2014-12-31,1133.369
2015-01-30,1137.358
2015-02-27,1214.86
2015-03-31,1209.204
2015-04-30,1311.283
2015-05-29,1265.072
2015-06-30,1296.764
2015-07-31,1373.878
2015-08-31,1272.291
2015-09-30,1180.902
2015-10-30,1219.742
2015-11-30,1236.842
2015-12-31,1219.96
2016-01-29,1155.208
2016-02-29,1196.726
2016-03-31,1299.796
2016-04-29,1254.26
2016-05-31,1252.48
2016-06-30,1199.953
2016-07-29,1240.959
2016-08-31,1287.754
2016-09-30,1275.834
2016-10-31,1207.095
2016-11-30,1167.398
2016-12-30,1190.412
2017-01-31,1216.887
2017-02-28,1263.547
2017-03-31,1276.535
2017-04-28,1304.807
2017-05-31,1362.721
2017-06-30,1334.1
2017-07-31,1339.438
2017-08-31,1349.062
2017-09-29,1398.139
2017-10-31,1438.146
2017-11-30,1526.191
2017-12-29,1520.851
2018-01-31,1580.12
2018-02-28,1509.55
2018-03-30,1491.384
2018-04-30,1556.934
2018-05-31,1522.65
2018-06-29,1515.337
2018-07-31,1619.902
2018-08-31,1622.437
2018-09-28,1573.071
2018-10-31,1472.724
2018-11-30,1551.465
2018-12-31,1532.483
2019-01-31,1628.872
2019-02-28,1675.646
2019-03-29,1717.632
2019-04-30,1735.012
2019-05-31,1719.276
2019-06-28,1789.304
2019-07-31,1773.389
2019-08-30,1814.845
2019-09-30,1831.115
2019-10-31,1849.755
2019-11-29,1817.799
2019-12-31,1821.076
2020-01-31,1825.428
2020-02-28,1663.176
2020-03-31,1570.744
2020-04-30,1745.723
2020-05-29,1858.4
2020-06-30,1855.423
2020-07-31,1931.778
2020-08-31,1952.095
2020-09-30,1915.771
2020-10-30,1973.405
2020-11-30,2018.45
2020-12-31,2198.681
2021-01-29,2219.635
2021-02-26,1950.847
2021-03-31,1991.565
2021-04-30,2138.51
2021-05-31,2117.212
2021-06-30,2183.191
2021-07-30,2261.209
2021-08-31,2405.295
2021-09-30,2276.975
2021-10-29,2479.735
2021-11-30,2346.018
2021-12-31,2343.145
2022-01-31,1844.037
2022-02-28,1748.256
2022-03-31,1856.684
2022-04-29,1633.582
2022-05-31,1605.136
2022-06-30,1390.569
2022-07-29,1609.668
2022-08-31,1495.843
2022-09-30,1319.284
2022-10-31,1358.308
2022-11-30,1554.738
2022-12-30,1493.86
2023-01-31,1828.023
2023-02-28,1857.083
2023-03-31,2070.686
2023-04-28,1899.536
2023-05-31,2125.434
2023-06-30,2085.392
2023-07-31,2326.595
2023-08-31,2232.839
2023-09-29,1970.192
2023-10-31,1932.338
2023-11-30,2464.342
2023-12-29,2602.093
2024-01-31,2602.698
2024-02-29,2762.295
2024-03-29,2745.104
2024-04-30,2628.329
2024-05-31,2822.032
2024-06-28,2910.237
2024-07-31,2662.303
2024-08-30,2749.103
2024-09-30,2839.698
2024-10-31,2570.471
2024-11-29,2510.135
2024-12-31,2625.596
2025-01-31,2571.642
2025-02-28,2492.81
2025-03-31,2314.873
2025-04-30,2449.784
2025-05-30,2610.562
2025-06-30,2812.866
2025-07-31,2512.069
2025-08-29,2599.44
2025-09-30,2584.425
2025-10-31,2638.489
2025-11-28,2431.379
2025-12-31,2520.086
2026-01-30,2891.023
