Date,SINGAPORE LARGE VALUE Large Cap
2011-08-31,1132.47
2011-09-30,994.119
2011-10-31,1063.637
2011-11-30,979.998
2011-12-30,936.855
2012-01-31,1090.588
2012-02-29,1155.205
2012-03-30,1149.392
2012-04-30,1170.869
2012-05-31,1068.761
2012-06-29,1138.259
2012-07-31,1237.538
2012-08-31,1218.154
2012-09-28,1252.008
2012-10-31,1225.856
2012-11-30,1258.917
2012-12-31,1297.474
2013-01-31,1309.338
2013-02-28,1309.986
2013-03-29,1353.968
2013-04-30,1438.805
2013-05-31,1385.728
2013-06-28,1314.316
2013-07-31,1376.632
2013-08-30,1301.897
2013-09-30,1386.279
2013-10-31,1425.333
2013-11-29,1419.5
2013-12-31,1404.849
2014-01-31,1318.46
2014-02-28,1346.257
2014-03-31,1371.354
2014-04-30,1419.999
2014-05-30,1453.768
2014-06-30,1448.116
2014-07-31,1525.692
2014-08-29,1533.146
2014-09-30,1476.294
2014-10-31,1445.893
2014-11-28,1480.338
2014-12-31,1471.173
2015-01-30,1449.03
2015-02-27,1462.376
2015-03-31,1485.82
2015-04-30,1571.43
2015-05-29,1478.828
2015-06-30,1471.349
2015-07-31,1417.538
2015-08-31,1229.184
2015-09-30,1168.297
2015-10-30,1277.284
2015-11-30,1208.348
2015-12-31,1212.246
2016-01-29,1104.547
2016-02-29,1127.484
2016-03-31,1276.698
2016-04-29,1289.858
2016-05-31,1225.605
2016-06-30,1267.231
2016-07-29,1244.494
2016-08-31,1232.067
2016-09-30,1263.003
2016-10-31,1218.155
2016-11-30,1304.606
2016-12-30,1280.154
2017-01-31,1390.427
2017-02-28,1409.096
2017-03-31,1453.775
2017-04-28,1456.698
2017-05-31,1578.576
2017-06-30,1617.219
2017-07-31,1707.764
2017-08-31,1707.139
2017-09-29,1688.002
2017-10-31,1767.174
2017-11-30,1871.71
2017-12-29,1875.602
2018-01-31,1969.122
2018-02-28,1910.703
2018-03-30,1904.797
2018-04-30,2012.661
2018-05-31,1873.789
2018-06-29,1720.3
2018-07-31,1767.305
2018-08-31,1775.879
2018-09-28,1785.448
2018-10-31,1660.488
2018-11-30,1696.262
2018-12-31,1674.683
2019-01-31,1736.945
2019-02-28,1727.45
2019-03-29,1726.56
2019-04-30,1858.926
2019-05-31,1699.736
2019-06-28,1870.738
2019-07-31,1852.461
2019-08-30,1731.002
2019-09-30,1748.141
2019-10-31,1849.288
2019-11-29,1821.616
2019-12-31,1889.97
2020-01-31,1828.947
2020-02-28,1697.546
2020-03-31,1347.026
2020-04-30,1464.458
2020-05-29,1395.493
2020-06-30,1482.585
2020-07-31,1448.092
2020-08-31,1508.519
2020-09-30,1435.215
2020-10-30,1440.779
2020-11-30,1795.182
2020-12-31,1805.357
2021-01-29,1848.142
2021-02-26,1928.05
2021-03-31,2012.092
2021-04-30,2097.587
2021-05-31,2118.982
2021-06-30,2025.72
2021-07-30,2049.987
2021-08-31,2018.252
2021-09-30,2031.872
2021-10-29,2102.331
2021-11-30,1945.017
2021-12-31,2093.478
2022-01-31,2275.653
2022-02-28,2203.795
2022-03-31,2354.27
2022-04-29,2234.216
2022-05-31,2160.258
2022-06-30,2011.978
2022-07-29,2101.309
2022-08-31,2172.329
2022-09-30,2081.271
2022-10-31,2176.324
2022-11-30,2366.575
2022-12-30,2372.734
2023-01-31,2451.104
2023-02-28,2356.855
2023-03-31,2375.31
2023-04-28,2359.724
2023-05-31,2317.587
2023-06-30,2345.476
2023-07-31,2576.961
2023-08-31,2478.842
2023-09-29,2477.438
2023-10-31,2398.332
2023-11-30,2445.177
2023-12-29,2562.347
2024-01-31,2500.374
2024-02-29,2479.594
2024-03-29,2575.886
2024-04-30,2687.413
2024-05-31,2786.722
2024-06-28,2847.059
2024-07-31,3025.682
2024-08-30,3148.46
2024-09-30,3305.717
2024-10-31,3188.992
2024-11-29,3394.112
2024-12-31,3392.945
2025-01-31,3531.264
2025-02-28,3577.416
2025-03-31,3604.514
2025-04-30,3519.441
2025-05-30,3656.552
2025-06-30,3735.713
2025-07-31,3757.018
2025-08-29,3898.405
2025-09-30,3795.158
2025-10-31,3844.285
2025-11-28,4077.943
2025-12-31,4240.818
