Date,SINGAPORE Standard (Large+Mid Cap)
2003-01-30,2484.694
2003-01-31,2468.437
2003-02-03,2464.554
2003-02-04,2478.124
2003-02-05,2470.603
2003-02-06,2465.427
2003-02-07,2456.394
2003-02-10,2434.653
2003-02-11,2460.968
2003-02-12,2453.858
2003-02-13,2407.056
2003-02-14,2419.911
2003-02-17,2475.052
2003-02-18,2469.343
2003-02-19,2511.616
2003-02-20,2520.617
2003-02-21,2528.893
2003-02-24,2520.04
2003-02-25,2481.418
2003-02-26,2473.914
2003-02-27,2446.28
2003-02-28,2444.153
2003-03-03,2459.345
2003-03-04,2437.288
2003-03-05,2434.494
2003-03-06,2383.225
2003-03-07,2345.366
2003-03-10,2322.096
2003-03-11,2325.959
2003-03-12,2353.036
2003-03-13,2344.716
2003-03-14,2377.041
2003-03-17,2339.223
2003-03-18,2413.458
2003-03-19,2424.24
2003-03-20,2485.504
2003-03-21,2519.343
2003-03-24,2466.36
2003-03-25,2490.514
2003-03-26,2509.416
2003-03-27,2488.945
2003-03-28,2493.319
2003-03-31,2408.302
2003-04-01,2426.141
2003-04-02,2461.405
2003-04-03,2453.134
2003-04-04,2478.405
2003-04-07,2511.724
2003-04-08,2469.054
2003-04-09,2419.801
2003-04-10,2437.028
2003-04-11,2447.844
2003-04-14,2415.817
2003-04-15,2431.279
2003-04-16,2436.504
2003-04-17,2434.879
2003-04-18,2434.879
2003-04-21,2411.844
2003-04-22,2406.139
2003-04-23,2383.99
2003-04-24,2336.971
2003-04-25,2301.607
2003-04-28,2347.025
2003-04-29,2436.357
2003-04-30,2429.824
2003-05-01,2439.687
2003-05-02,2465.834
2003-05-05,2536.707
2003-05-06,2539.815
2003-05-07,2531.543
2003-05-08,2546.841
2003-05-09,2527.635
2003-05-12,2581.51
2003-05-13,2566.654
2003-05-14,2560.873
2003-05-15,2580.712
2003-05-16,2557.022
2003-05-19,2529.32
2003-05-20,2541.179
2003-05-21,2524.393
2003-05-22,2567.358
2003-05-23,2594.302
2003-05-26,2631.864
2003-05-27,2610.098
2003-05-28,2630.36
2003-05-29,2646.204
2003-05-30,2650.318
2003-06-02,2723.685
2003-06-03,2725.251
2003-06-04,2779.029
2003-06-05,2842.544
2003-06-06,2851.874
2003-06-09,2866.684
2003-06-10,2846.313
2003-06-11,2858.221
2003-06-12,2920.612
2003-06-13,2935.894
2003-06-16,2908.591
2003-06-17,2968.926
2003-06-18,2952.349
2003-06-19,3017.703
2003-06-20,3009.932
2003-06-23,2943.29
2003-06-24,2884.7
2003-06-25,2880.884
2003-06-26,2835.598
2003-06-27,2880.37
2003-06-30,2803.89
2003-07-01,2823.217
2003-07-02,2866.661
2003-07-03,2883.12
2003-07-04,2893.704
2003-07-07,2933.74
2003-07-08,2937.695
2003-07-09,2959.217
2003-07-10,2947.928
2003-07-11,3002.73
2003-07-14,3060.085
2003-07-15,3080.65
2003-07-16,3087.132
2003-07-17,3069.724
2003-07-18,3054.304
2003-07-21,3049.923
2003-07-22,3001.92
2003-07-23,3022.179
2003-07-24,3023.504
2003-07-25,3047.644
2003-07-28,3084.995
2003-07-29,3070.703
2003-07-30,3056.012
2003-07-31,3010.968
2003-08-01,3018.654
2003-08-04,2979.928
2003-08-05,2906.048
2003-08-06,2914.061
2003-08-07,2977.578
2003-08-08,2973.832
