Date,WORLD LARGE VALUE Large Cap
2024-10-31,2142.577
2024-11-29,2218.833
2024-12-31,2094.07
2025-01-31,2193.643
2025-02-28,2241.033
2025-03-31,2217.761
2025-04-30,2181.626
2025-05-30,2242.001
2025-06-30,2327.915
2025-07-31,2334.565
2025-08-29,2417.588
2025-09-30,2465.155
2025-10-31,2453.766
2025-11-28,2504.094
2025-12-31,2550.708
