Date,NETHERLANDS LARGE VALUE Large Cap
2002-10-28,350.002
2002-10-29,331.289
2002-10-30,345.414
2002-10-31,358.148
2002-11-01,355.894
2002-11-04,367.255
2002-11-05,370.99
2002-11-06,365.168
2002-11-07,356.412
2002-11-08,356.245
2002-11-11,356.162
2002-11-12,355.998
2002-11-13,352.265
2002-11-14,357.485
2002-11-15,362.261
2002-11-18,366.584
2002-11-19,365.356
2002-11-20,359.561
2002-11-21,373.108
2002-11-22,371.678
2002-11-25,370.452
2002-11-26,361.621
2002-11-27,370.465
2002-11-28,374.906
2002-11-29,375.645
2002-12-02,372.805
2002-12-03,364.878
2002-12-04,358.491
2002-12-05,355.415
2002-12-06,357.35
2002-12-09,350.464
2002-12-10,350.573
2002-12-11,355.689
2002-12-12,353.106
2002-12-13,348.697
2002-12-16,361.159
2002-12-17,359.373
2002-12-18,351.608
2002-12-19,347.107
2002-12-20,351.87
2002-12-23,358.283
2002-12-24,360.609
2002-12-25,360.609
2002-12-26,361.518
2002-12-27,350.401
2002-12-30,355.394
2002-12-31,357.303
2003-01-01,357.303
2003-01-02,369.399
2003-01-03,367.78
2003-01-06,374.115
2003-01-07,370.078
2003-01-08,362.241
2003-01-09,370.999
2003-01-10,374.072
2003-01-13,375.712
2003-01-14,375.305
2003-01-15,370.618
2003-01-16,369.926
2003-01-17,360.851
2003-01-20,352.053
2003-01-21,345.978
2003-01-22,337.63
2003-01-23,337.268
2003-01-24,335.522
2003-01-27,321.788
2003-01-28,323.726
2003-01-29,328.052
2003-01-30,335.814
2003-01-31,336.509
2003-02-03,341.277
2003-02-04,331.492
2003-02-05,336.919
2003-02-06,326.738
2003-02-07,319.88
2003-02-10,315.396
2003-02-11,322.961
2003-02-12,313.905
2003-02-13,315.463
2003-02-14,324.466
2003-02-17,330.081
2003-02-18,332.637
2003-02-19,326.595
2003-02-20,323.422
2003-02-21,326.12
2003-02-24,310.83
2003-02-25,299.603
2003-02-26,295.564
2003-02-27,299.801
2003-02-28,309.988
2003-03-03,312.871
2003-03-04,306.645
2003-03-05,304.536
2003-03-06,298.108
2003-03-07,287.766
2003-03-10,281.536
2003-03-11,283.314
2003-03-12,267.663
2003-03-13,286.059
2003-03-14,299.474
2003-03-17,310.201
2003-03-18,303.377
2003-03-19,306.064
2003-03-20,302.482
2003-03-21,313.331
2003-03-24,300.369
2003-03-25,310.584
2003-03-26,311.224
2003-03-27,305.024
2003-03-28,309.205
2003-03-31,298.294
2003-04-01,305.355
2003-04-02,312.6
2003-04-03,314.91
2003-04-04,315.017
2003-04-07,327.072
2003-04-08,321.967
2003-04-09,321.852
2003-04-10,318.69
2003-04-11,321.02
2003-04-14,324.496
2003-04-15,332.903
2003-04-16,332.904
2003-04-17,336.242
2003-04-18,336.242
2003-04-21,334.793
2003-04-22,337.407
2003-04-23,341.678
2003-04-24,335.088
2003-04-25,328.398
2003-04-28,337.661
2003-04-29,332.583
2003-04-30,333.74
2003-05-01,336.805
2003-05-02,336.057
2003-05-05,344.587
2003-05-06,352.604
2003-05-07,348.832
2003-05-08,342.343
2003-05-09,348.313
2003-05-12,352.318
2003-05-13,352.324
2003-05-14,352.642
2003-05-15,354.108
2003-05-16,359.037
2003-05-19,348.334
2003-05-20,349.226
2003-05-21,343.125
2003-05-22,349.366
2003-05-23,347.829
2003-05-26,349.269
2003-05-27,352.569
2003-05-28,357.647
2003-05-29,359.938
2003-05-30,358.632
2003-06-02,363.346
2003-06-03,361.524
2003-06-04,368.657
2003-06-05,371.232
2003-06-06,375.836
2003-06-09,371.666
2003-06-10,372.588
2003-06-11,384.451
2003-06-12,392.574
2003-06-13,383.02
2003-06-16,393.391
2003-06-17,391.476
2003-06-18,390.265
2003-06-19,381.556
2003-06-20,384.261
2003-06-23,373.21
2003-06-24,371.715
2003-06-25,376.801
2003-06-26,370.561
2003-06-27,372.714
2003-06-30,367.787
2003-07-01,363.942
2003-07-02,370.716
2003-07-03,370.755
2003-07-04,367.516
2003-07-07,376.826
2003-07-08,375.18
2003-07-09,369.9
2003-07-10,363.432
2003-07-11,368.057
2003-07-14,374.045
2003-07-15,372.02
2003-07-16,369.845
2003-07-17,366.023
2003-07-18,373.901
2003-07-21,373.034
2003-07-22,377.478
2003-07-23,377.267
2003-07-24,384.104
2003-07-25,379.573
2003-07-28,382.791
2003-07-29,378.61
2003-07-30,374.483
2003-07-31,378.865
2003-08-01,371.829
2003-08-04,371.589
2003-08-05,375.396
2003-08-06,370.887
2003-08-07,375.38
2003-08-08,379.07
2003-08-11,384.838
2003-08-12,386.159
2003-08-13,384.26
2003-08-14,389.739
2003-08-15,391.637
2003-08-18,391.942
2003-08-19,388.289
2003-08-20,387.168
2003-08-21,386.328
2003-08-22,384.899
2003-08-25,382.482
2003-08-26,377.402
2003-08-27,381.508
2003-08-28,382.912
2003-08-29,381.705
2003-09-01,389.659
2003-09-02,386.758
2003-09-03,391.039
2003-09-04,392.468
2003-09-05,394.453
2003-09-08,400.706
2003-09-09,398.192
2003-09-10,392.516
2003-09-11,391.785
2003-09-12,392.135
2003-09-15,392.754
2003-09-16,392.632
2003-09-17,395.259
2003-09-18,395.837
2003-09-19,396.13
2003-09-22,391.567
2003-09-23,387.304
2003-09-24,387.492
2003-09-25,386.737
2003-09-26,378.142
2003-09-29,379.1
2003-09-30,375.253
2003-10-01,384.206
2003-10-02,384.681
2003-10-03,394.074
2003-10-06,392.089
2003-10-07,392.526
2003-10-08,392.383
2003-10-09,397.937
2003-10-10,400.171
2003-10-13,404.468
2003-10-14,403.17
2003-10-15,405.203
2003-10-16,404.675
2003-10-17,404.388
2003-10-20,404.597
2003-10-21,405.437
2003-10-22,400.947
2003-10-23,392.936
2003-10-24,392.411
2003-10-27,393.969
2003-10-28,393.046
2003-10-29,395.148
2003-10-30,397.884
2003-10-31,399.579
2003-11-03,405.294
2003-11-04,405.102
2003-11-05,401.164
2003-11-06,401.746
2003-11-07,409.13
2003-11-10,406.279
2003-11-11,404.044
2003-11-12,405.814
2003-11-13,409.448
2003-11-14,411.986
2003-11-17,401.998
2003-11-18,403.795
2003-11-19,403.866
2003-11-20,402.799
2003-11-21,401.992
2003-11-24,405.353
2003-11-25,404.861
2003-11-26,408.742
2003-11-27,410.478
2003-11-28,410.872
2003-12-01,417.059
2003-12-02,421.103
2003-12-03,424.434
2003-12-04,422.117
2003-12-05,423.607
2003-12-08,423.794
2003-12-09,426.305
2003-12-10,423.753
2003-12-11,424.166
2003-12-12,427.59
2003-12-15,429.083
2003-12-16,430.48
2003-12-17,432.546
2003-12-18,438.2
2003-12-19,443.026
2003-12-22,442.976
2003-12-23,443.958
2003-12-24,446.025
2003-12-25,446.025
2003-12-26,445.846
2003-12-29,450.453
2003-12-30,456.083
2003-12-31,461.262
2004-01-01,461.262
2004-01-02,464.711
2004-01-05,468.73
2004-01-06,471.34
2004-01-07,463.979
2004-01-08,467.468
2004-01-09,454.811
2004-01-12,450.529
2004-01-13,450.81
2004-01-14,450.636
2004-01-15,453.875
2004-01-16,449.373
2004-01-19,450.258
2004-01-20,454.031
2004-01-21,460.984
2004-01-22,464.366
2004-01-23,462.98
2004-01-26,456.267
2004-01-27,461.146
2004-01-28,462.977
2004-01-29,449.818
2004-01-30,448.389
2004-02-02,451.383
2004-02-03,451.12
2004-02-04,446.613
2004-02-05,447.318
2004-02-06,448.393
2004-02-09,453.336
2004-02-10,455.212
2004-02-11,455.812
2004-02-12,461.896
2004-02-13,456.647
2004-02-16,459.003
2004-02-17,464.952
2004-02-18,463.288
2004-02-19,460.337
2004-02-20,455.473
2004-02-23,454.793
2004-02-24,452.869
2004-02-25,449.164
2004-02-26,448.786
2004-02-27,450.207
2004-03-01,455.441
2004-03-02,453.495
2004-03-03,448.544
2004-03-04,451.142
2004-03-05,454.049
2004-03-08,455.766
2004-03-09,452.63
2004-03-10,447.493
2004-03-11,435.099
2004-03-12,434.273
2004-03-15,426.216
2004-03-16,430.019
2004-03-17,431.646
2004-03-18,425.44
2004-03-19,423.358
2004-03-22,416.367
2004-03-23,413.281
2004-03-24,408.864
2004-03-25,415.324
2004-03-26,414.822
2004-03-29,422.28
2004-03-30,423.425
2004-03-31,424.238
2004-04-01,430.419
2004-04-02,433.331
2004-04-05,431.341
2004-04-06,432.687
2004-04-07,436.225
2004-04-08,433.749
2004-04-09,433.749
2004-04-12,432.531
2004-04-13,432.644
2004-04-14,429.539
2004-04-15,432.779
2004-04-16,440.246
2004-04-19,439.34
2004-04-20,438.537
2004-04-21,433.999
2004-04-22,435.577
2004-04-23,436.587
2004-04-26,437.061
2004-04-27,439.015
2004-04-28,431.337
2004-04-29,433.688
2004-04-30,433.861
2004-05-03,436.053
2004-05-04,441.933
2004-05-05,447.365
2004-05-06,439.686
2004-05-07,432.239
2004-05-10,421.076
2004-05-11,423.926
2004-05-12,419.303
2004-05-13,424.323
2004-05-14,421.883
2004-05-17,419.444
2004-05-18,420.157
2004-05-19,431.076
2004-05-20,424.107
2004-05-21,426.703
2004-05-24,429.462
2004-05-25,433.384
2004-05-26,437.152
2004-05-27,446.205
2004-05-28,442.226
2004-05-31,443.65
2004-06-01,437.982
2004-06-02,443.43
2004-06-03,443.408
2004-06-04,445.972
2004-06-07,453.569
2004-06-08,453.052
2004-06-09,444.321
2004-06-10,446.082
2004-06-11,442.258
2004-06-14,439.249
2004-06-15,441.711
2004-06-16,444.794
2004-06-17,446.933
2004-06-18,452.841
2004-06-21,451.382
2004-06-22,444.306
2004-06-23,445.673
2004-06-24,454.873
2004-06-25,453.873
2004-06-28,459.551
2004-06-29,454.121
2004-06-30,452.196
2004-07-01,452.884
2004-07-02,453.352
2004-07-05,450.815
2004-07-06,446.572
2004-07-07,448.564
2004-07-08,451.443
2004-07-09,453.453
2004-07-12,450.782
2004-07-13,447.9
2004-07-14,449.067
2004-07-15,443.839
2004-07-16,446.46
2004-07-19,443.479
2004-07-20,443.433
2004-07-21,441.546
2004-07-22,434.396
2004-07-23,428.749
2004-07-26,424.426
2004-07-27,427.495
2004-07-28,428.447
2004-07-29,438.203
2004-07-30,437.235
2004-08-02,431.989
2004-08-03,438.165
2004-08-04,434.686
2004-08-05,436.09
2004-08-06,430.833
2004-08-09,428.617
2004-08-10,434.914
2004-08-11,427.385
2004-08-12,427.756
2004-08-13,430.263
2004-08-16,437.24
2004-08-17,437.037
2004-08-18,437.352
2004-08-19,440.343
2004-08-20,440.082
2004-08-23,442.797
2004-08-24,437.897
2004-08-25,437.771
2004-08-26,442.178
2004-08-27,443.453
2004-08-30,442.366
2004-08-31,443.127
2004-09-01,446.555
2004-09-02,449.632
2004-09-03,449.11
2004-09-06,451.593
2004-09-07,452.021
2004-09-08,453.347
2004-09-09,450.75
2004-09-10,457.234
2004-09-13,460.438
2004-09-14,459.926
2004-09-15,454.879
2004-09-16,453.993
2004-09-17,459.997
2004-09-20,458.336
2004-09-21,465.815
2004-09-22,455.37
2004-09-23,451.883
2004-09-24,449.971
2004-09-27,449.386
2004-09-28,450.91
2004-09-29,451.55
2004-09-30,454.913
2004-10-01,463.908
2004-10-04,462.842
2004-10-05,466.078
2004-10-06,467.882
2004-10-07,468.862
2004-10-08,470.742
2004-10-11,469.643
