Date,FINLAND LARGE GROWTH Large Cap
2003-02-03,492.365
2003-02-04,478.27
2003-02-05,478.104
2003-02-06,465.418
2003-02-07,463.441
2003-02-10,458.734
2003-02-11,486.249
2003-02-12,471.352
2003-02-13,454.647
2003-02-14,471.37
2003-02-17,479.005
2003-02-18,489.104
2003-02-19,473.79
2003-02-20,466.298
2003-02-21,464.816
2003-02-24,468.461
2003-02-25,442.705
2003-02-26,438.504
2003-02-27,435.971
2003-02-28,451.051
2003-03-03,455.361
2003-03-04,446.47
2003-03-05,446.453
2003-03-06,448.347
2003-03-07,426.266
2003-03-10,426.864
2003-03-11,430.615
2003-03-12,451.983
2003-03-13,464.649
2003-03-14,488.223
2003-03-17,506.584
2003-03-18,508.142
2003-03-19,512.163
2003-03-20,505.968
2003-03-21,526.257
2003-03-24,500.438
2003-03-25,501.556
2003-03-26,500.131
2003-03-27,495.272
2003-03-28,501.494
2003-03-31,473.039
2003-04-01,487.889
2003-04-02,512.111
2003-04-03,516.533
2003-04-04,514.044
2003-04-07,536.788
2003-04-08,515.453
2003-04-09,521.739
2003-04-10,492.854
2003-04-11,495.28
2003-04-14,502.457
2003-04-15,515.019
2003-04-16,511.638
2003-04-17,551.076
2003-04-18,551.076
2003-04-21,548.7
2003-04-22,564.414
2003-04-23,577.428
2003-04-24,572.357
2003-04-25,550.072
2003-04-28,564.462
2003-04-29,570.171
2003-04-30,579.325
2003-05-01,584.646
2003-05-02,560.566
2003-05-05,584.704
2003-05-06,580.668
2003-05-07,591.366
2003-05-08,576.027
2003-05-09,571.594
2003-05-12,588.713
2003-05-13,597.831
2003-05-14,590.366
2003-05-15,604.606
2003-05-16,605.005
2003-05-19,583.046
2003-05-20,572.572
2003-05-21,563.568
2003-05-22,578.821
2003-05-23,569.849
2003-05-26,566.499
2003-05-27,570.779
2003-05-28,605.841
2003-05-29,610.331
2003-05-30,616.188
2003-06-02,624.716
2003-06-03,616.934
2003-06-04,616.185
2003-06-05,603.224
2003-06-06,622.769
2003-06-09,612.459
2003-06-10,598.048
2003-06-11,609.03
2003-06-12,596.087
2003-06-13,585.023
2003-06-16,596.831
2003-06-17,604.426
2003-06-18,599.309
2003-06-19,614.18
2003-06-20,610.895
2003-06-23,586.662
2003-06-24,576.192
2003-06-25,581.887
2003-06-26,578.153
2003-06-27,580.537
2003-06-30,563.874
2003-07-01,556.295
2003-07-02,565.889
2003-07-03,570.549
2003-07-04,554.582
2003-07-07,574.867
2003-07-08,584.89
2003-07-09,610.743
2003-07-10,617.233
2003-07-11,607.702
2003-07-14,615.268
2003-07-15,608.11
2003-07-16,604.784
2003-07-17,509.7
2003-07-18,501.039
2003-07-21,492.363
2003-07-22,501.142
2003-07-23,507.835
2003-07-24,522.655
2003-07-25,514.511
2003-07-28,532.626
2003-07-29,529.799
2003-07-30,527.209
2003-07-31,524.929
2003-08-01,507.496
2003-08-04,503.153
2003-08-05,504.33
2003-08-06,485.71
2003-08-07,485.514
2003-08-08,488.982
2003-08-11,493.313
2003-08-12,495.488
2003-08-13,501.445
2003-08-14,505.973
2003-08-15,501.375
2003-08-18,504.448
2003-08-19,525.091
2003-08-20,528.581
2003-08-21,530.808
2003-08-22,533.581
2003-08-25,525.567
2003-08-26,521.694
2003-08-27,547.288
2003-08-28,553.493
2003-08-29,560.907
2003-09-01,562.103
2003-09-02,551.734
2003-09-03,572.367
2003-09-04,569.508
2003-09-05,567.289
2003-09-08,573.524
2003-09-09,552.256
2003-09-10,528.205
2003-09-11,527.433
2003-09-12,530.921
2003-09-15,535.351
2003-09-16,532.627
2003-09-17,531.762
2003-09-18,540.658
2003-09-19,542.066
2003-09-22,535.306
2003-09-23,528.901
2003-09-24,527.055
2003-09-25,521.114
2003-09-26,526.037
2003-09-29,536.059
2003-09-30,527.167
2003-10-01,539.517
2003-10-02,553.952
2003-10-03,580.526
2003-10-06,572.314
2003-10-07,572.324
2003-10-08,575.078
2003-10-09,589.509
2003-10-10,586.104
2003-10-13,594.567
2003-10-14,584.045
2003-10-15,585.358
2003-10-16,567.403
2003-10-17,581.622
2003-10-20,577.53
2003-10-21,586.597
2003-10-22,581.627
2003-10-23,573.982
2003-10-24,579.355
2003-10-27,572.873
2003-10-28,578.669
2003-10-29,588.525
2003-10-30,583.471
2003-10-31,581.57
2003-11-03,590.022
2003-11-04,587.181
2003-11-05,578.131
2003-11-06,593.497
2003-11-07,603.483
2003-11-10,594.108
2003-11-11,586.382
2003-11-12,601.22
2003-11-13,612.879
2003-11-14,613.786
2003-11-17,598.605
2003-11-18,608.035
2003-11-19,598.136
2003-11-20,605.564
2003-11-21,604.258
2003-11-24,622.084
2003-11-25,609.006
2003-11-26,614.416
2003-11-27,618.069
2003-11-28,616.919
2003-12-01,612.381
2003-12-02,621.575
2003-12-03,623.95
2003-12-04,631.053
2003-12-05,620.272
2003-12-08,610.793
2003-12-09,605.89
2003-12-10,600.947
2003-12-11,600.49
2003-12-12,603.361
2003-12-15,609.071
2003-12-16,595.85
2003-12-17,589.29
2003-12-18,590.205
2003-12-19,591.765
2003-12-22,586.516
2003-12-23,588.146
2003-12-24,589.804
2003-12-25,589.804
2003-12-26,589.567
2003-12-29,581.773
2003-12-30,588.254
2003-12-31,592.15
2004-01-01,592.15
2004-01-02,593.923
2004-01-05,600.948
2004-01-06,604.552
2004-01-07,615.031
2004-01-08,694.389
2004-01-09,710.339
2004-01-12,716.262
2004-01-13,711.426
2004-01-14,718.78
2004-01-15,706.882
2004-01-16,710.862
2004-01-19,715.705
2004-01-20,722.219
2004-01-21,703.36
2004-01-22,733.571
2004-01-23,734.386
2004-01-26,724.77
2004-01-27,729.699
2004-01-28,725.006
2004-01-29,701.522
2004-01-30,706.57
2004-02-02,711.428
2004-02-03,718.892
2004-02-04,704.658
2004-02-05,701.188
2004-02-06,724.805
2004-02-09,735.37
2004-02-10,754.929
2004-02-11,764.274
2004-02-12,778.498
2004-02-13,759.822
2004-02-16,763.873
2004-02-17,773.168
2004-02-18,778.71
2004-02-19,778.75
2004-02-20,761.507
2004-02-23,774.542
2004-02-24,763.135
2004-02-25,749.902
2004-02-26,748.897
2004-02-27,750.08
2004-03-01,754.27
2004-03-02,762.236
2004-03-03,749.902
2004-03-04,772.789
2004-03-05,797.474
2004-03-08,794.929
2004-03-09,774.184
2004-03-10,754.689
2004-03-11,734.063
2004-03-12,725.905
2004-03-15,710.349
2004-03-16,721.461
2004-03-17,728.679
2004-03-18,709.463
2004-03-19,700.468
2004-03-22,677.144
2004-03-23,676.913
2004-03-24,669.088
2004-03-25,688.267
2004-03-26,680.781
2004-03-29,695.988
2004-03-30,695.593
2004-03-31,711.111
2004-04-01,717.683
2004-04-02,733.567
2004-04-05,723.093
2004-04-06,603.724
2004-04-07,587.228
2004-04-08,589.995
2004-04-09,589.995
2004-04-12,588.337
2004-04-13,582.143
2004-04-14,568.349
2004-04-15,559.304
2004-04-16,517.545
2004-04-19,524.597
2004-04-20,527.916
2004-04-21,516.125
2004-04-22,522.709
2004-04-23,524.272
2004-04-26,524.758
2004-04-27,519.081
2004-04-28,506.603
2004-04-29,499.652
2004-04-30,488.227
2004-05-03,490.201
2004-05-04,488.026
2004-05-05,499.778
2004-05-06,488.54
2004-05-07,486.703
2004-05-10,473.0
2004-05-11,472.254
2004-05-12,467.226
2004-05-13,467.334
2004-05-14,456.528
2004-05-17,453.672
2004-05-18,462.646
2004-05-19,474.237
2004-05-20,470.02
2004-05-21,451.529
2004-05-24,455.669
2004-05-25,455.581
2004-05-26,461.46
2004-05-27,478.621
2004-05-28,472.779
2004-05-31,484.217
2004-06-01,473.166
2004-06-02,472.199
2004-06-03,469.77
2004-06-04,482.395
2004-06-07,497.071
2004-06-08,495.294
2004-06-09,495.399
2004-06-10,492.503
2004-06-11,497.08
2004-06-14,488.824
2004-06-15,493.149
2004-06-16,487.873
2004-06-17,483.481
2004-06-18,492.165
2004-06-21,491.285
2004-06-22,484.493
2004-06-23,487.808
2004-06-24,493.43
2004-06-25,491.81
2004-06-28,496.918
2004-06-29,489.277
2004-06-30,500.582
2004-07-01,508.225
2004-07-02,503.962
2004-07-05,500.686
2004-07-06,493.874
2004-07-07,491.92
2004-07-08,496.874
2004-07-09,502.0
2004-07-12,498.836
2004-07-13,494.216
