Date,UNITED KINGDOM SMALL VALUE Small Cap
2011-07-29,742.644
2011-08-31,669.881
2011-09-30,604.794
2011-10-31,672.998
2011-11-30,645.162
2011-12-30,622.245
2012-01-31,686.357
2012-02-29,753.495
2012-03-30,767.181
2012-04-30,769.669
2012-05-31,676.073
2012-06-29,720.205
2012-07-31,729.162
2012-08-31,774.908
2012-09-28,822.882
2012-10-31,854.463
2012-11-30,858.541
2012-12-31,907.144
2013-01-31,940.565
2013-02-28,955.794
2013-03-29,986.99
2013-04-30,1032.099
2013-05-31,1048.741
2013-06-28,1011.487
2013-07-31,1096.984
2013-08-30,1121.12
2013-09-30,1210.213
2013-10-31,1265.569
2013-11-29,1281.104
2013-12-31,1346.551
2014-01-31,1317.354
2014-02-28,1444.433
2014-03-31,1398.077
2014-04-30,1369.665
2014-05-30,1365.76
2014-06-30,1368.843
2014-07-31,1337.67
2014-08-29,1335.947
2014-09-30,1256.993
2014-10-31,1250.726
2014-11-28,1247.253
2014-12-31,1268.761
2015-01-30,1243.496
2015-02-27,1371.005
2015-03-31,1300.432
2015-04-30,1383.253
2015-05-29,1431.522
2015-06-30,1438.818
2015-07-31,1431.073
2015-08-31,1372.286
2015-09-30,1323.111
2015-10-30,1383.037
2015-11-30,1359.263
2015-12-31,1346.327
2016-01-29,1233.113
2016-02-29,1228.092
2016-03-31,1310.896
2016-04-29,1341.024
2016-05-31,1364.646
2016-06-30,1182.932
2016-07-29,1246.091
2016-08-31,1271.333
2016-09-30,1277.043
2016-10-31,1182.621
2016-11-30,1207.66
2016-12-30,1234.793
2017-01-31,1261.302
2017-02-28,1296.438
2017-03-31,1313.278
2017-04-28,1407.562
2017-05-31,1425.779
2017-06-30,1394.219
2017-07-31,1458.726
2017-08-31,1435.437
2017-09-29,1512.795
2017-10-31,1527.292
2017-11-30,1529.252
2017-12-29,1604.079
2018-01-31,1652.909
2018-02-28,1546.479
2018-03-30,1580.354
2018-04-30,1641.431
2018-05-31,1606.366
2018-06-29,1580.294
2018-07-31,1572.156
2018-08-31,1539.207
2018-09-28,1512.669
2018-10-31,1389.775
2018-11-30,1333.741
2018-12-31,1264.382
2019-01-31,1410.541
2019-02-28,1459.845
2019-03-29,1424.79
2019-04-30,1465.395
2019-05-31,1347.354
2019-06-28,1388.703
2019-07-31,1342.64
2019-08-30,1320.282
2019-09-30,1395.372
2019-10-31,1482.414
2019-11-29,1546.985
2019-12-31,1680.552
2020-01-31,1610.054
2020-02-28,1419.758
2020-03-31,1013.739
2020-04-30,1123.84
2020-05-29,1115.236
2020-06-30,1119.891
2020-07-31,1149.103
2020-08-31,1240.971
2020-09-30,1161.317
2020-10-30,1151.541
2020-11-30,1408.851
2020-12-31,1551.598
2021-01-29,1540.453
2021-02-26,1655.798
2021-03-31,1704.659
2021-04-30,1807.407
2021-05-31,1889.748
2021-06-30,1783.336
2021-07-30,1830.586
2021-08-31,1924.23
2021-09-30,1784.605
2021-10-29,1807.994
2021-11-30,1698.585
2021-12-31,1830.305
2022-01-31,1740.101
2022-02-28,1667.544
2022-03-31,1636.63
2022-04-29,1545.333
2022-05-31,1534.389
2022-06-30,1343.702
2022-07-29,1438.976
2022-08-31,1297.023
2022-09-30,1101.679
2022-10-31,1202.926
2022-11-30,1339.239
2022-12-30,1345.02
2023-01-31,1474.838
2023-02-28,1473.008
2023-03-31,1404.828
2023-04-28,1479.288
2023-05-31,1398.082
2023-06-30,1391.088
2023-07-31,1489.405
2023-08-31,1423.558
2023-09-29,1364.306
2023-10-31,1263.292
2023-11-30,1423.919
2023-12-29,1582.807
2024-01-31,1541.302
2024-02-29,1502.518
2024-03-29,1607.521
2024-04-30,1596.308
2024-05-31,1704.275
2024-06-28,1636.357
2024-07-31,1790.816
2024-08-30,1826.608
2024-09-30,1862.74
2024-10-31,1715.955
2024-11-29,1726.525
2024-12-31,1680.548
2025-01-31,1714.354
2025-02-28,1678.391
2025-03-31,1671.632
2025-04-30,1800.38
2025-05-30,1947.227
2025-06-30,2036.666
2025-07-31,1953.106
2025-08-29,1965.33
2025-09-30,2012.852
