Date,EM (EMERGING MARKETS) SMALL GROWTH Small Cap
2014-09-30,1150.447
2014-10-31,1127.233
2014-11-28,1106.735
2014-12-31,1076.459
2015-01-30,1099.802
2015-02-27,1129.063
2015-03-31,1130.603
2015-04-30,1225.292
2015-05-29,1235.528
2015-06-30,1186.883
2015-07-31,1099.098
2015-08-31,997.47
2015-09-30,991.816
2015-10-30,1047.529
2015-11-30,1028.475
2015-12-31,1027.437
2016-01-29,951.117
2016-02-29,932.234
2016-03-31,1015.573
2016-04-29,1025.114
2016-05-31,994.848
2016-06-30,1012.498
2016-07-29,1045.591
2016-08-31,1060.159
2016-09-30,1076.05
2016-10-31,1046.143
2016-11-30,988.385
2016-12-30,983.17
2017-01-31,1017.173
2017-02-28,1063.296
2017-03-31,1091.442
2017-04-28,1107.571
2017-05-31,1115.597
2017-06-30,1121.016
2017-07-31,1154.868
2017-08-31,1176.453
2017-09-29,1176.004
2017-10-31,1221.582
2017-11-30,1248.975
2017-12-29,1293.45
2018-01-31,1362.433
2018-02-28,1313.792
2018-03-30,1307.627
2018-04-30,1295.036
2018-05-31,1274.95
2018-06-29,1195.612
2018-07-31,1204.404
2018-08-31,1180.12
2018-09-28,1133.673
2018-10-31,997.967
2018-11-30,1060.938
2018-12-31,1037.635
2019-01-31,1089.612
2019-02-28,1105.346
2019-03-29,1112.537
2019-04-30,1115.703
2019-05-31,1059.469
2019-06-28,1098.805
2019-07-31,1090.307
2019-08-30,1040.278
2019-09-30,1062.211
2019-10-31,1111.134
2019-11-29,1098.165
2019-12-31,1165.534
2020-01-31,1130.094
2020-02-28,1055.225
2020-03-31,825.948
2020-04-30,949.065
2020-05-29,978.031
2020-06-30,1070.765
2020-07-31,1194.024
2020-08-31,1244.127
2020-09-30,1217.729
2020-10-30,1198.167
2020-11-30,1358.224
2020-12-31,1467.123
2021-01-29,1482.384
2021-02-26,1567.621
2021-03-31,1579.503
2021-04-30,1668.613
2021-05-31,1707.816
2021-06-30,1763.505
2021-07-30,1742.604
2021-08-31,1758.254
2021-09-30,1722.152
2021-10-29,1735.462
2021-11-30,1702.21
2021-12-31,1774.36
2022-01-31,1658.851
2022-02-28,1611.262
2022-03-31,1652.586
2022-04-29,1547.578
2022-05-31,1523.052
2022-06-30,1353.195
2022-07-29,1391.485
2022-08-31,1430.053
2022-09-30,1279.592
2022-10-31,1267.813
2022-11-30,1392.522
2022-12-30,1367.432
2023-01-31,1458.933
2023-02-28,1429.193
2023-03-31,1451.504
2023-04-28,1450.459
2023-05-31,1466.51
2023-06-30,1541.883
2023-07-31,1641.555
2023-08-31,1622.101
2023-09-29,1575.404
2023-10-31,1487.496
2023-11-30,1638.181
2023-12-29,1698.527
2024-01-31,1651.83
2024-02-29,1708.765
2024-03-29,1712.999
2024-04-30,1733.325
2024-05-31,1742.941
2024-06-28,1807.002
2024-07-31,1791.354
2024-08-30,1828.833
2024-09-30,1899.881
2024-10-31,1826.391
2024-11-29,1781.867
2024-12-31,1779.298
2025-01-31,1724.331
2025-02-28,1667.99
2025-03-31,1648.588
2025-04-30,1698.645
2025-05-30,1846.425
2025-06-30,1968.901
2025-07-31,1987.338
2025-08-29,2059.023
2025-09-30,2091.86
2025-10-31,2137.488
2025-11-28,2102.905
