Date,CANADA VALUE Standard (Large+Mid Cap)
1983-03-31,318.237
1983-04-29,349.959
1983-05-31,360.156
1983-06-30,364.5
1983-07-29,367.514
1983-08-31,364.071
1983-09-30,373.629
1983-10-31,358.973
1983-11-30,387.595
1983-12-30,393.338
1984-01-31,378.766
1984-02-29,364.36
1984-03-30,352.205
1984-04-30,340.147
1984-05-31,322.158
1984-06-29,316.696
1984-07-31,312.421
1984-08-31,349.982
1984-09-28,342.925
1984-10-31,343.082
1984-11-30,348.032
1984-12-31,362.19
1985-01-31,389.877
1985-02-28,372.779
1985-03-29,368.607
1985-04-30,372.617
1985-05-31,385.436
1985-06-28,391.199
1985-07-31,406.109
1985-08-30,398.134
1985-09-30,372.824
1985-10-31,383.001
1985-11-29,407.229
1985-12-31,416.93
1986-01-31,407.509
1986-02-28,413.163
1986-03-31,460.729
1986-04-30,457.824
1986-05-30,464.301
1986-06-30,450.563
1986-07-31,425.706
1986-08-29,441.246
1986-09-30,449.701
1986-10-31,449.993
1986-11-28,455.39
1986-12-31,467.894
1987-01-30,540.202
1987-02-27,563.153
1987-03-31,610.632
1987-04-30,595.564
1987-05-29,598.082
1987-06-30,618.545
1987-07-31,672.017
1987-08-31,655.789
1987-09-30,647.389
1987-10-30,516.609
1987-11-30,497.835
1987-12-31,539.187
1988-01-29,533.446
1988-02-29,570.257
1988-03-31,582.892
1988-04-29,589.689
1988-05-31,575.556
1988-06-30,629.501
1988-07-29,617.888
1988-08-31,591.271
1988-09-30,609.922
1988-10-31,631.38
1988-11-30,632.253
1988-12-30,651.999
1989-01-31,706.52
1989-02-28,674.381
1989-03-31,692.236
1989-04-28,723.589
1989-05-31,727.73
1989-06-30,737.256
1989-07-31,793.873
1989-08-31,802.695
1989-09-29,784.828
1989-10-31,787.295
1989-11-30,795.846
1989-12-29,814.775
1990-01-31,740.951
1990-02-28,738.347
1990-03-30,751.029
1990-04-30,688.454
1990-05-31,737.812
1990-06-29,733.786
1990-07-31,742.492
1990-08-31,693.761
1990-09-28,649.635
1990-10-31,651.615
1990-11-30,679.397
1990-12-31,706.863
1991-01-31,731.991
1991-02-28,788.316
1991-03-29,792.588
1991-04-30,791.943
1991-05-31,829.453
1991-06-28,799.757
1991-07-31,817.235
1991-08-30,836.718
1991-09-30,806.768
1991-10-31,834.022
1991-11-29,811.359
1991-12-31,800.645
1992-01-31,803.505
1992-02-28,795.307
1992-03-31,742.254
1992-04-30,740.553
1992-05-29,752.165
1992-06-30,756.618
1992-07-31,773.885
1992-08-31,760.855
1992-09-30,687.345
1992-10-30,702.437
1992-11-30,656.026
1992-12-31,671.998
1993-01-29,655.688
1993-02-26,705.116
1993-03-31,728.181
1993-04-30,751.332
1993-05-31,771.173
1993-06-30,769.82
1993-07-30,768.066
1993-08-31,773.891
1993-09-30,740.031
1993-10-29,797.115
1993-11-30,784.595
1993-12-31,820.838
1994-01-31,871.568
1994-02-28,834.266
1994-03-31,781.222
1994-04-29,774.4
1994-05-31,783.29
1994-06-30,739.569
1994-07-29,770.507
1994-08-31,830.136
1994-09-30,839.352
1994-10-31,839.399
1994-11-30,803.424
1994-12-30,801.545
1995-01-31,766.156
1995-02-28,808.594
1995-03-31,827.422
1995-04-28,864.603
1995-05-31,896.198
1995-06-30,898.515
1995-07-31,910.403
1995-08-31,916.614
1995-09-29,912.718
1995-10-31,912.908
1995-11-30,935.506
1995-12-29,949.74
1996-01-31,986.693
1996-02-29,969.969
1996-03-29,1002.593
1996-04-30,1041.562
1996-05-31,1055.14
1996-06-28,1045.708
1996-07-31,1035.002
1996-08-30,1072.773
1996-09-30,1128.315
1996-10-31,1224.548
1996-11-29,1330.262
1996-12-31,1273.067
1997-01-31,1337.387
1997-02-28,1362.079
1997-03-31,1298.114
1997-04-30,1323.367
1997-05-30,1409.75
1997-06-30,1430.865
1997-07-31,1521.553
1997-08-29,1424.251
1997-09-30,1477.043
1997-10-31,1402.931
1997-11-28,1331.958
1997-12-31,1364.653
1998-01-30,1375.138
1998-02-27,1478.783
1998-03-31,1563.97
1998-04-30,1582.56
1998-05-29,1511.755
1998-06-30,1456.837
1998-07-31,1306.795
1998-08-31,1012.118
1998-09-30,1130.744
1998-10-30,1210.679
1998-11-30,1213.16
1998-12-31,1199.477
1999-01-29,1239.597
1999-02-26,1176.797
1999-03-31,1223.256
1999-04-30,1385.986
1999-05-31,1290.453
1999-06-30,1322.402
1999-07-30,1325.594
1999-08-31,1351.177
1999-09-30,1320.714
1999-10-29,1327.71
1999-11-30,1268.26
1999-12-31,1299.337
2000-01-31,1305.741
2000-02-29,1242.289
2000-03-31,1305.361
2000-04-28,1331.498
2000-05-31,1361.184
2000-06-30,1407.984
2000-07-31,1421.893
2000-08-31,1524.848
2000-09-29,1526.299
2000-10-31,1534.091
2000-11-30,1473.792
2000-12-29,1612.531
2001-01-31,1593.217
2001-02-28,1569.313
2001-03-30,1504.267
2001-04-30,1591.281
2001-05-31,1673.801
2001-06-29,1662.136
2001-07-31,1665.027
2001-08-31,1643.222
2001-09-28,1520.699
2001-10-31,1483.326
2001-11-30,1581.21
2001-12-31,1579.886
2002-01-31,1592.555
2002-02-28,1542.412
2002-03-29,1565.419
2002-04-30,1529.387
2002-05-31,1547.075
2002-06-28,1491.207
2002-07-31,1317.658
2002-08-30,1344.134
2002-09-30,1243.168
2002-10-31,1272.879
2002-11-29,1333.402
2002-12-31,1319.693
2003-01-31,1361.545
2003-02-28,1391.116
2003-03-31,1374.324
2003-04-30,1477.34
2003-05-30,1587.369
2003-06-30,1637.453
2003-07-31,1667.957
2003-08-29,1740.313
2003-09-30,1782.699
2003-10-31,1939.924
2003-11-28,1980.729
2003-12-31,2080.543
2004-01-30,2078.923
2004-02-27,2114.383
2004-03-31,2136.995
2004-04-30,2004.115
2004-05-31,2031.926
2004-06-30,2099.663
2004-07-30,2149.085
2004-08-31,2144.191
2004-09-30,2290.126
2004-10-29,2453.486
2004-11-30,2566.304
2004-12-31,2636.34
2005-01-31,2507.145
2005-02-28,2639.131
2005-03-31,2698.027
2005-04-29,2574.044
2005-05-31,2608.524
2005-06-30,2752.904
2005-07-29,2907.877
2005-08-31,3009.833
2005-09-30,3184.514
2005-10-31,3020.734
2005-11-30,3229.346
2005-12-30,3311.71
2006-01-31,3509.479
2006-02-28,3510.882
2006-03-31,3542.654
2006-04-28,3686.372
2006-05-31,3624.277
2006-06-30,3559.843
2006-07-31,3585.751
2006-08-31,3732.508
2006-09-29,3662.097
2006-10-31,3785.744
2006-11-30,3852.429
2006-12-29,3848.233
2007-01-31,3814.229
2007-02-28,3829.603
2007-03-30,3965.741
2007-04-30,4222.42
2007-05-31,4584.711
2007-06-29,4531.124
2007-07-31,4494.072
2007-08-31,4500.394
2007-09-28,4841.505
2007-10-31,5178.041
2007-11-30,4659.41
2007-12-31,4626.23
2008-01-31,4371.018
2008-02-29,4486.346
2008-03-31,4244.385
2008-04-30,4451.179
2008-05-30,4668.252
2008-06-30,4338.663
2008-07-31,4246.492
2008-08-29,4177.228
2008-09-30,3867.026
2008-10-31,2888.733
2008-11-28,2648.208
2008-12-31,2468.207
2009-01-30,2309.459
2009-02-27,2149.085
2009-03-31,2376.574
2009-04-30,2785.616
2009-05-29,3308.954
2009-06-30,3222.725
2009-07-31,3738.914
2009-08-31,3741.992
2009-09-30,3972.169
2009-10-30,3741.042
2009-11-30,4009.308
2009-12-31,4148.495
2010-01-29,3902.079
2010-02-26,4137.258
2010-03-31,4580.877
2010-04-30,4576.189
2010-05-31,4264.501
2010-06-30,4053.179
2010-07-30,4363.145
2010-08-31,4153.336
2010-09-30,4509.197
2010-10-29,4632.916
2010-11-30,4655.875
2010-12-31,4958.784
2011-01-31,4983.124
2011-02-28,5358.309
2011-03-31,5439.987
2011-04-29,5502.148
2011-05-31,5379.441
2011-06-30,5251.383
2011-07-29,5080.717
2011-08-31,4894.182
2011-09-30,4342.603
2011-10-31,4711.568
2011-11-30,4546.879
2011-12-30,4579.111
2012-01-31,4839.768
2012-02-29,5068.504
2012-03-30,4976.155
2012-04-30,5032.358
2012-05-31,4414.491
2012-06-29,4556.952
2012-07-31,4714.095
2012-08-31,4887.737
2012-09-28,5038.384
2012-10-31,5041.005
2012-11-30,5131.807
2012-12-31,5212.431
2013-01-31,5311.874
2013-02-28,5214.104
2013-03-29,5211.441
2013-04-30,5207.734
2013-05-31,5174.666
2013-06-28,4904.043
2013-07-31,5252.291
2013-08-30,5247.735
2013-09-30,5468.227
2013-10-31,5656.572
2013-11-29,5606.456
2013-12-31,5669.174
2014-01-31,5360.027
2014-02-28,5579.796
2014-03-31,5655.815
2014-04-30,5830.85
2014-05-30,5855.395
2014-06-30,6236.03
2014-07-31,6275.056
2014-08-29,6333.881
2014-09-30,5825.528
2014-10-31,5600.713
2014-11-28,5576.679
2014-12-31,5352.531
2015-01-30,4810.096
2015-02-27,5058.338
2015-03-31,4831.812
2015-04-30,5250.423
2015-05-29,4930.557
2015-06-30,4787.336
2015-07-31,4443.94
2015-08-31,4221.077
2015-09-30,4064.611
2015-10-30,4375.153
2015-11-30,4276.623
2015-12-31,3917.905
2016-01-29,3818.778
2016-02-29,3980.236
2016-03-31,4484.69
2016-04-29,4934.707
2016-05-31,4699.733
2016-06-30,4676.65
2016-07-29,4792.588
2016-08-31,4855.108
2016-09-30,4892.671
2016-10-31,4928.621
2016-11-30,5175.976
2016-12-30,5345.087
2017-01-31,5588.529
2017-02-28,5510.855
2017-03-31,5458.544
2017-04-28,5273.787
2017-05-31,5230.944
2017-06-30,5486.114
2017-07-31,5761.12
2017-08-31,5737.133
2017-09-29,5981.408
2017-10-31,6017.835
2017-11-30,6082.865
2017-12-29,6297.613
2018-01-31,6361.117
2018-02-28,5828.176
2018-03-30,5811.861
2018-04-30,5940.02
2018-05-31,6052.483
2018-06-29,6064.442
2018-07-31,6180.598
2018-08-31,6110.05
2018-09-28,6116.56
2018-10-31,5659.154
2018-11-30,5667.187
2018-12-31,5164.302
2019-01-31,5871.595
2019-02-28,6035.759
2019-03-29,5914.479
2019-04-30,6132.712
2019-05-31,5786.556
2019-06-28,6133.915
2019-07-31,6081.971
2019-08-30,5941.252
2019-09-30,6222.031
2019-10-31,6245.691
2019-11-29,6353.812
2019-12-31,6550.123
2020-01-31,6348.779
2020-02-28,5842.504
2020-03-31,4304.254
2020-04-30,4627.624
2020-05-29,4698.848
2020-06-30,4804.503
2020-07-31,4954.764
2020-08-31,5339.674
2020-09-30,4946.218
2020-10-30,4878.676
2020-11-30,5779.146
2020-12-31,5952.32
2021-01-29,6031.117
2021-02-26,6474.625
2021-03-31,6949.482
2021-04-30,7292.882
2021-05-31,7728.013
2021-06-30,7633.471
2021-07-30,7469.984
2021-08-31,7453.143
2021-09-30,7481.407
2021-10-29,8059.183
2021-11-30,7589.392
2021-12-31,8106.941
2022-01-31,8564.325
2022-02-28,8701.412
2022-03-31,9053.732
2022-04-29,8628.34
2022-05-31,8986.733
2022-06-30,7960.897
2022-07-29,8232.658
2022-08-31,7853.246
2022-09-30,7135.002
2022-10-31,7552.288
2022-11-30,7950.92
2022-12-30,7595.677
2023-01-31,8371.596
2023-02-28,7988.694
2023-03-31,7824.865
2023-04-28,8108.161
2023-05-31,7592.679
2023-06-30,8043.425
2023-07-31,8366.339
2023-08-31,7963.085
2023-09-29,7787.207
2023-10-31,7361.926
2023-11-30,8021.237
2023-12-29,8681.935
2024-01-31,8484.06
2024-02-29,8432.492
2024-03-29,8861.718
2024-04-30,8568.265
2024-05-31,8978.211
2024-06-28,8708.977
2024-07-31,9220.138
2024-08-30,9721.707
2024-09-30,10135.116
2024-10-31,9854.726
2024-11-29,10419.632
2024-12-31,9917.014
2025-01-31,10101.618
2025-02-28,10107.582
2025-03-31,9965.324
2025-04-30,10420.914
2025-05-30,10972.359
2025-06-30,11351.235
2025-07-31,11455.254
