Date,EUROPE IMI IMI (Large+Mid+Small Cap)
2002-07-04,379.748
2002-07-05,391.197
2002-07-08,394.77
2002-07-09,393.065
2002-07-10,380.027
2002-07-11,367.14
2002-07-12,367.667
2002-07-15,355.361
2002-07-16,356.15
2002-07-17,366.174
2002-07-18,371.385
2002-07-19,357.495
2002-07-22,339.093
2002-07-23,328.553
2002-07-24,324.021
2002-07-25,337.746
2002-07-26,337.359
2002-07-29,351.733
2002-07-30,353.18
2002-07-31,353.052
2002-08-01,340.393
2002-08-02,341.025
2002-08-05,331.411
2002-08-06,336.547
2002-08-07,335.072
2002-08-08,345.824
2002-08-09,351.573
2002-08-12,346.447
2002-08-13,349.922
2002-08-14,345.513
2002-08-15,353.0
2002-08-16,355.743
2002-08-19,362.624
2002-08-20,357.448
2002-08-21,362.438
2002-08-22,366.215
2002-08-23,361.925
2002-08-26,359.518
2002-08-27,368.087
2002-08-28,355.832
2002-08-29,351.331
2002-08-30,353.188
2002-09-02,348.69
2002-09-03,339.676
2002-09-04,340.085
2002-09-05,337.705
2002-09-06,344.808
2002-09-09,339.468
2002-09-10,344.937
2002-09-11,350.293
2002-09-12,340.389
2002-09-13,334.976
2002-09-16,332.157
2002-09-17,328.501
2002-09-18,319.93
2002-09-19,315.972
2002-09-20,316.913
2002-09-23,307.117
2002-09-24,301.524
2002-09-25,305.221
2002-09-26,317.305
2002-09-27,317.131
2002-09-30,307.28
2002-10-01,310.249
2002-10-02,318.399
2002-10-03,315.129
2002-10-04,307.492
2002-10-07,303.829
2002-10-08,298.171
2002-10-09,298.084
2002-10-10,303.713
2002-10-11,317.976
2002-10-14,315.46
2002-10-15,331.641
2002-10-16,326.884
2002-10-17,334.014
2002-10-18,332.163
2002-10-21,333.251
2002-10-22,331.636
2002-10-23,322.228
2002-10-24,329.131
2002-10-25,328.525
2002-10-28,333.689
2002-10-29,322.024
2002-10-30,328.948
2002-10-31,335.694
2002-11-01,333.919
2002-11-04,344.374
2002-11-05,347.276
2002-11-06,343.128
