Date,SPAIN SMID CAP SMID (Small+Mid Cap)
2023-04-28,765.076
2023-05-31,722.148
2023-06-30,770.587
2023-07-31,806.483
2023-08-31,789.203
2023-09-29,777.48
2023-10-31,742.714
2023-11-30,826.979
2023-12-29,835.549
2024-01-31,808.116
2024-02-29,795.404
2024-03-29,854.889
2024-04-30,861.553
2024-05-31,934.513
2024-06-28,887.287
2024-07-31,909.902
2024-08-30,929.799
2024-09-30,940.744
2024-10-31,892.346
2024-11-29,870.637
2024-12-31,861.099
2025-01-31,912.156
2025-02-28,972.57
2025-03-31,1017.589
2025-04-30,1065.83
2025-05-30,1150.916
2025-06-30,1204.377
2025-07-31,1266.28
2025-08-29,1323.046
2025-09-30,1361.314
2025-10-31,1372.199
2025-11-28,1382.927
