Date,ACWI SMALL VALUE Small Cap
2002-08-08,334.833
2002-08-09,336.726
2002-08-12,336.508
2002-08-13,332.536
2002-08-14,338.707
2002-08-15,339.917
2002-08-16,341.789
2002-08-19,343.45
2002-08-20,342.261
2002-08-21,346.712
2002-08-22,348.842
2002-08-23,345.066
2002-08-26,348.687
2002-08-27,347.283
2002-08-28,343.195
2002-08-29,342.967
2002-08-30,342.564
2002-09-02,342.25
2002-09-03,336.601
2002-09-04,338.394
2002-09-05,334.636
2002-09-06,337.898
2002-09-09,337.97
2002-09-10,338.484
2002-09-11,338.946
2002-09-12,335.416
2002-09-13,335.297
2002-09-16,332.553
2002-09-17,330.042
2002-09-18,327.5
2002-09-19,323.114
2002-09-20,322.94
2002-09-23,317.41
2002-09-24,313.134
2002-09-25,316.438
2002-09-26,320.925
2002-09-27,317.262
2002-09-30,315.563
2002-10-01,317.842
2002-10-02,313.116
2002-10-03,310.835
2002-10-04,305.535
2002-10-07,298.299
2002-10-08,298.363
2002-10-09,290.808
2002-10-10,295.474
2002-10-11,302.486
2002-10-14,302.615
2002-10-15,312.026
2002-10-16,307.739
2002-10-17,313.397
2002-10-18,313.873
2002-10-21,316.959
2002-10-22,313.58
2002-10-23,316.084
2002-10-24,314.486
2002-10-25,318.083
2002-10-28,317.703
2002-10-29,315.715
2002-10-30,318.044
2002-10-31,319.806
2002-11-01,323.654
2002-11-04,325.815
2002-11-05,326.793
2002-11-06,329.1
2002-11-07,326.279
2002-11-08,324.456
2002-11-11,319.242
2002-11-12,321.039
2002-11-13,320.195
2002-11-14,323.716
2002-11-15,325.254
2002-11-18,323.787
2002-11-19,321.752
2002-11-20,324.25
2002-11-21,329.839
2002-11-22,331.492
2002-11-25,333.409
2002-11-26,330.219
2002-11-27,335.253
2002-11-28,337.124
2002-11-29,337.057
2002-12-02,338.063
2002-12-03,334.74
2002-12-04,332.798
2002-12-05,331.242
2002-12-06,332.14
2002-12-09,328.134
2002-12-10,330.709
2002-12-11,331.23
2002-12-12,331.623
2002-12-13,329.505
2002-12-16,332.409
2002-12-17,331.658
2002-12-18,327.881
2002-12-19,327.609
2002-12-20,329.524
2002-12-23,330.153
2002-12-24,329.919
2002-12-25,329.94
2002-12-26,331.41
2002-12-27,329.72
2002-12-30,330.606
2002-12-31,332.252
2003-01-01,332.243
2003-01-02,336.622
2003-01-03,337.405
2003-01-06,342.319
2003-01-07,339.16
2003-01-08,335.92
2003-01-09,339.528
2003-01-10,340.474
2003-01-13,341.01
2003-01-14,342.627
2003-01-15,341.556
2003-01-16,341.141
2003-01-17,338.413
2003-01-20,338.128
2003-01-21,335.629
2003-01-22,333.092
2003-01-23,335.418
2003-01-24,331.587
2003-01-27,325.834
2003-01-28,326.742
2003-01-29,326.359
2003-01-30,323.477
2003-01-31,325.453
2003-02-03,326.364
2003-02-04,326.047
2003-02-05,325.322
2003-02-06,323.295
2003-02-07,320.247
2003-02-10,320.651
2003-02-11,319.459
2003-02-12,317.416
2003-02-13,317.322
2003-02-14,318.281
2003-02-17,319.431
2003-02-18,322.52
2003-02-19,321.27
2003-02-20,320.877
2003-02-21,322.816
2003-02-24,319.886
2003-02-25,318.629
2003-02-26,317.167
2003-02-27,318.591
2003-02-28,319.514
2003-03-03,320.374
2003-03-04,318.265
2003-03-05,318.284
2003-03-06,316.334
2003-03-07,315.296
2003-03-10,310.475
2003-03-11,307.962
2003-03-12,306.296
2003-03-13,310.698
2003-03-14,311.083
2003-03-17,315.398
2003-03-18,317.781
2003-03-19,318.564
2003-03-20,320.971
2003-03-21,325.02
2003-03-24,320.704
2003-03-25,322.257
2003-03-26,321.102
2003-03-27,321.199
2003-03-28,321.147
2003-03-31,318.993
2003-04-01,321.417
2003-04-02,325.477
2003-04-03,324.572
2003-04-04,325.175
2003-04-07,328.521
2003-04-08,327.355
2003-04-09,326.751
2003-04-10,328.595
2003-04-11,327.892
2003-04-14,331.195
2003-04-15,333.698
2003-04-16,333.821
2003-04-17,336.847
2003-04-18,337.116
2003-04-21,337.634
2003-04-22,341.672
2003-04-23,344.114
2003-04-24,343.156
2003-04-25,340.359
2003-04-28,343.908
2003-04-29,345.676
2003-04-30,348.602
2003-05-01,349.829
2003-05-02,353.417
2003-05-05,355.941
2003-05-06,359.504
2003-05-07,360.085
2003-05-08,358.379
2003-05-09,361.815
2003-05-12,365.515
2003-05-13,366.057
2003-05-14,367.257
2003-05-15,368.787
2003-05-16,369.579
2003-05-19,364.943
2003-05-20,365.283
2003-05-21,365.213
2003-05-22,367.645
2003-05-23,370.913
2003-05-26,371.76
2003-05-27,374.621
2003-05-28,375.457
2003-05-29,376.948
2003-05-30,380.925
2003-06-02,384.008
2003-06-03,383.537
2003-06-04,388.122
2003-06-05,392.888
2003-06-06,393.256
2003-06-09,389.696
2003-06-10,391.311
2003-06-11,395.706
2003-06-12,397.019
2003-06-13,394.633
2003-06-16,399.44
2003-06-17,400.386
2003-06-18,398.909
2003-06-19,395.874
2003-06-20,395.391
2003-06-23,390.602
2003-06-24,389.513
2003-06-25,391.639
2003-06-26,391.831
2003-06-27,392.108
2003-06-30,392.187
2003-07-01,394.533
2003-07-02,400.048
2003-07-03,399.814
2003-07-04,399.867
2003-07-07,404.162
2003-07-08,405.897
2003-07-09,406.596
2003-07-10,403.247
2003-07-11,404.517
2003-07-14,408.36
2003-07-15,406.4
2003-07-16,404.222
2003-07-17,398.107
2003-07-18,400.403
2003-07-21,398.415
2003-07-22,400.277
2003-07-23,402.313
2003-07-24,403.641
2003-07-25,406.25
2003-07-28,408.382
2003-07-29,408.171
2003-07-30,407.445
2003-07-31,407.337
2003-08-01,405.766
2003-08-04,404.694
2003-08-05,401.519
2003-08-06,399.905
2003-08-07,401.467
2003-08-08,401.776
2003-08-11,403.762
2003-08-12,407.032
2003-08-13,408.399
2003-08-14,410.717
2003-08-15,411.641
2003-08-18,415.313
2003-08-19,418.222
2003-08-20,420.071
2003-08-21,422.695
2003-08-22,419.126
2003-08-25,418.431
2003-08-26,418.581
2003-08-27,420.091
2003-08-28,421.909
2003-08-29,425.103
2003-09-01,426.91
2003-09-02,430.433
2003-09-03,433.273
2003-09-04,433.412
2003-09-05,432.775
2003-09-08,436.354
2003-09-09,435.489
2003-09-10,429.668
2003-09-11,431.363
2003-09-12,433.847
2003-09-15,433.695
2003-09-16,437.135
2003-09-17,437.893
2003-09-18,441.151
2003-09-19,443.678
2003-09-22,441.338
2003-09-23,443.228
2003-09-24,439.358
2003-09-25,434.792
2003-09-26,430.906
2003-09-29,434.345
2003-09-30,433.08
2003-10-01,440.188
2003-10-02,443.473
2003-10-03,448.283
2003-10-06,451.025
2003-10-07,453.24
2003-10-08,452.638
2003-10-09,455.651
2003-10-10,457.143
2003-10-13,459.929
2003-10-14,461.53
2003-10-15,461.06
2003-10-16,463.213
2003-10-17,459.853
2003-10-20,460.63
2003-10-21,462.426
2003-10-22,457.169
2003-10-23,452.167
2003-10-24,452.154
2003-10-27,456.269
2003-10-28,459.999
2003-10-29,463.35
2003-10-30,464.283
2003-10-31,463.093
2003-11-03,465.989
2003-11-04,468.346
2003-11-05,468.267
2003-11-06,468.566
2003-11-07,470.679
2003-11-10,468.056
2003-11-11,464.059
2003-11-12,469.571
2003-11-13,472.034
2003-11-14,469.929
2003-11-17,463.475
2003-11-18,462.657
2003-11-19,462.446
2003-11-20,461.025
2003-11-21,462.665
2003-11-24,466.801
2003-11-25,470.405
2003-11-26,474.416
2003-11-27,474.651
2003-11-28,475.696
2003-12-01,481.204
2003-12-02,482.688
2003-12-03,481.967
2003-12-04,481.777
2003-12-05,480.809
2003-12-08,483.225
2003-12-09,481.241
2003-12-10,478.11
2003-12-11,481.848
2003-12-12,485.313
2003-12-15,483.422
2003-12-16,483.542
2003-12-17,483.966
2003-12-18,487.57
2003-12-19,487.84
2003-12-22,490.171
2003-12-23,492.633
2003-12-24,493.164
2003-12-25,493.28
2003-12-26,494.58
2003-12-29,499.376
2003-12-30,502.192
2003-12-31,500.705
2004-01-01,500.731
2004-01-02,503.019
2004-01-05,509.255
2004-01-06,510.003
2004-01-07,510.651
2004-01-08,514.112
2004-01-09,514.825
2004-01-12,516.563
2004-01-13,516.674
2004-01-14,518.751
2004-01-15,517.61
