Date,IRELAND Standard (Large+Mid Cap)
2003-03-21,311.149
2003-03-24,311.362
2003-03-25,307.655
2003-03-26,312.464
2003-03-27,311.344
2003-03-28,307.339
2003-03-31,308.175
2003-04-01,311.984
2003-04-02,308.005
2003-04-03,309.19
2003-04-04,310.189
2003-04-07,311.102
2003-04-08,310.349
2003-04-09,313.462
2003-04-10,313.691
2003-04-11,313.736
2003-04-14,316.383
2003-04-15,320.983
2003-04-16,327.562
2003-04-17,327.141
2003-04-18,327.141
2003-04-21,325.73
2003-04-22,328.385
2003-04-23,335.238
2003-04-24,336.901
2003-04-25,334.922
2003-04-28,336.59
2003-04-29,339.473
2003-04-30,343.119
2003-05-01,344.3
2003-05-02,349.892
2003-05-05,351.701
2003-05-06,361.485
2003-05-07,360.323
2003-05-08,359.033
2003-05-09,359.648
2003-05-12,362.257
2003-05-13,359.629
2003-05-14,356.201
2003-05-15,358.92
2003-05-16,362.255
2003-05-19,356.644
2003-05-20,355.959
2003-05-21,356.124
2003-05-22,361.909
2003-05-23,365.431
2003-05-26,368.166
2003-05-27,364.995
2003-05-28,357.055
2003-05-29,356.562
2003-05-30,354.584
2003-06-02,353.258
2003-06-03,366.047
2003-06-04,366.664
2003-06-05,372.882
2003-06-06,367.103
2003-06-09,365.979
2003-06-10,356.542
2003-06-11,356.064
2003-06-12,359.517
2003-06-13,363.612
2003-06-16,369.291
2003-06-17,375.773
2003-06-18,369.527
2003-06-19,363.06
2003-06-20,363.128
2003-06-23,356.646
2003-06-24,356.596
2003-06-25,361.35
2003-06-26,348.966
2003-06-27,346.597
2003-06-30,350.378
2003-07-01,352.431
2003-07-02,351.143
2003-07-03,351.756
2003-07-04,350.316
2003-07-07,349.706
2003-07-08,345.678
2003-07-09,346.028
2003-07-10,351.944
2003-07-11,352.435
2003-07-14,354.301
2003-07-15,353.672
2003-07-16,347.445
2003-07-17,348.487
2003-07-18,352.535
2003-07-21,354.882
2003-07-22,355.959
2003-07-23,356.387
2003-07-24,353.718
2003-07-25,352.859
2003-07-28,353.794
2003-07-29,352.332
2003-07-30,352.118
2003-07-31,350.474
2003-08-01,351.209
2003-08-04,352.756
2003-08-05,349.049
2003-08-06,347.312
2003-08-07,353.826
2003-08-08,349.7
2003-08-11,351.263
2003-08-12,349.536
2003-08-13,350.704
2003-08-14,350.916
2003-08-15,350.768
2003-08-18,349.034
2003-08-19,350.434
2003-08-20,351.196
2003-08-21,348.783
2003-08-22,345.245
2003-08-25,350.238
2003-08-26,345.753
2003-08-27,348.724
2003-08-28,350.555
2003-08-29,356.383
2003-09-01,357.252
2003-09-02,348.651
2003-09-03,348.373
2003-09-04,350.846
2003-09-05,359.101
2003-09-08,363.655
2003-09-09,364.46
2003-09-10,361.789
2003-09-11,358.533
2003-09-12,362.282
2003-09-15,364.632
2003-09-16,364.969
2003-09-17,374.668
2003-09-18,375.059
2003-09-19,373.821
2003-09-22,380.941
2003-09-23,375.935
2003-09-24,372.635
2003-09-25,367.552
2003-09-26,365.289
2003-09-29,364.914
2003-09-30,364.951
2003-10-01,367.414
2003-10-02,364.834
2003-10-03,366.951
2003-10-06,368.321
2003-10-07,372.541
2003-10-08,373.877
2003-10-09,376.1
2003-10-10,376.497
2003-10-13,374.189
2003-10-14,378.002
2003-10-15,380.584
2003-10-16,378.916
2003-10-17,376.197
2003-10-20,376.68
2003-10-21,377.903
2003-10-22,378.301
2003-10-23,375.647
2003-10-24,376.348
2003-10-27,375.269
2003-10-28,375.379
2003-10-29,379.835
2003-10-30,380.775
2003-10-31,376.086
2003-11-03,372.101
2003-11-04,372.962
2003-11-05,368.518
2003-11-06,367.485
2003-11-07,373.47
2003-11-10,373.097
2003-11-11,374.267
2003-11-12,377.527
2003-11-13,379.535
2003-11-14,381.474
2003-11-17,376.742
2003-11-18,378.521
2003-11-19,378.181
2003-11-20,374.314
2003-11-21,374.027
2003-11-24,370.117
2003-11-25,372.739
2003-11-26,377.688
2003-11-27,377.867
2003-11-28,381.954
2003-12-01,388.073
2003-12-02,392.445
2003-12-03,393.068
2003-12-04,391.892
2003-12-05,392.651
2003-12-08,397.336
2003-12-09,398.863
2003-12-10,395.497
2003-12-11,392.159
2003-12-12,396.328
2003-12-15,400.402
2003-12-16,396.61
2003-12-17,400.2
2003-12-18,402.863
2003-12-19,406.275
2003-12-22,409.369
2003-12-23,412.422
2003-12-24,413.584
2003-12-25,413.584
2003-12-26,413.418
2003-12-29,416.052
2003-12-30,419.101
2003-12-31,422.347
2004-01-01,422.347
2004-01-02,425.69
2004-01-05,433.017
2004-01-06,433.727
2004-01-07,434.07
2004-01-08,440.919
2004-01-09,448.123
2004-01-12,449.87
2004-01-13,450.006
2004-01-14,457.97
2004-01-15,457.262
2004-01-16,446.515
2004-01-19,445.415
2004-01-20,452.112
2004-01-21,454.59
2004-01-22,462.972
2004-01-23,459.009
2004-01-26,452.891
2004-01-27,452.457
2004-01-28,445.059
2004-01-29,439.256
2004-01-30,438.347
2004-02-02,435.796
2004-02-03,440.67
2004-02-04,440.543
2004-02-05,441.2
2004-02-06,445.866
2004-02-09,450.297
2004-02-10,446.016
2004-02-11,444.376
2004-02-12,446.59
2004-02-13,444.04
2004-02-16,444.149
2004-02-17,445.943
2004-02-18,456.481
2004-02-19,459.976
2004-02-20,448.435
2004-02-23,454.024
2004-02-24,442.665
2004-02-25,437.771
2004-02-26,433.226
2004-02-27,434.635
2004-03-01,444.32
2004-03-02,443.87
2004-03-03,439.153
2004-03-04,440.931
2004-03-05,448.545
2004-03-08,447.544
2004-03-09,449.963
2004-03-10,441.04
2004-03-11,435.521
2004-03-12,433.428
2004-03-15,432.803
2004-03-16,437.107
2004-03-17,438.13
2004-03-18,447.204
2004-03-19,449.509
2004-03-22,442.708
2004-03-23,444.069
2004-03-24,440.076
2004-03-25,446.891
2004-03-26,441.691
2004-03-29,443.137
2004-03-30,444.047
2004-03-31,447.339
2004-04-01,454.681
2004-04-02,455.612
2004-04-05,451.713
2004-04-06,458.308
2004-04-07,464.367
2004-04-08,457.441
2004-04-09,457.441
2004-04-12,456.156
2004-04-13,453.574
2004-04-14,451.47
2004-04-15,449.55
2004-04-16,451.381
2004-04-19,454.695
2004-04-20,456.376
2004-04-21,452.207
2004-04-22,457.835
2004-04-23,463.946
2004-04-26,463.608
2004-04-27,464.305
2004-04-28,455.981
2004-04-29,459.391
2004-04-30,451.604
2004-05-03,450.361
2004-05-04,453.733
2004-05-05,451.284
2004-05-06,448.418
2004-05-07,447.069
2004-05-10,430.245
2004-05-11,436.662
2004-05-12,433.1
2004-05-13,438.821
2004-05-14,436.575
2004-05-17,441.337
2004-05-18,442.846
2004-05-19,450.474
2004-05-20,438.654
2004-05-21,443.007
2004-05-24,440.547
2004-05-25,443.891
2004-05-26,451.218
2004-05-27,457.88
2004-05-28,451.585
2004-05-31,455.978
2004-06-01,457.164
2004-06-02,461.002
2004-06-03,462.62
2004-06-04,466.119
2004-06-07,468.747
2004-06-08,468.83
2004-06-09,459.895
2004-06-10,459.504
2004-06-11,457.597
2004-06-14,455.781
2004-06-15,457.811
2004-06-16,457.583
2004-06-17,460.05
2004-06-18,464.899
2004-06-21,462.324
2004-06-22,465.986
2004-06-23,466.287
2004-06-24,470.432
2004-06-25,469.283
2004-06-28,479.542
2004-06-29,476.529
2004-06-30,480.473
2004-07-01,476.926
2004-07-02,483.243
2004-07-05,479.299
2004-07-06,478.504
2004-07-07,484.27
2004-07-08,488.256
2004-07-09,488.215
2004-07-12,488.062
2004-07-13,481.949
2004-07-14,485.0
2004-07-15,482.264
2004-07-16,485.618
2004-07-19,484.651
2004-07-20,479.937
2004-07-21,479.761
2004-07-22,468.843
2004-07-23,465.784
2004-07-26,467.959
2004-07-27,455.744
2004-07-28,460.874
2004-07-29,464.648
2004-07-30,466.163
2004-08-02,467.194
2004-08-03,469.129
2004-08-04,466.97
2004-08-05,467.999
2004-08-06,463.968
2004-08-09,460.756
2004-08-10,461.261
2004-08-11,465.443
2004-08-12,472.507
2004-08-13,474.252
2004-08-16,478.747
2004-08-17,483.105
2004-08-18,476.859
2004-08-19,481.859
2004-08-20,480.567
2004-08-23,478.633
2004-08-24,475.778
2004-08-25,474.115
2004-08-26,479.624
2004-08-27,480.121
2004-08-30,479.755
2004-08-31,482.457
2004-09-01,492.67
2004-09-02,490.717
2004-09-03,488.411
2004-09-06,489.834
2004-09-07,493.822
2004-09-08,496.265
2004-09-09,496.178
2004-09-10,500.255
2004-09-13,499.057
2004-09-14,504.281
2004-09-15,499.958
2004-09-16,499.301
2004-09-17,503.73
2004-09-20,503.062
2004-09-21,508.535
2004-09-22,506.518
2004-09-23,504.002
2004-09-24,501.844
2004-09-27,502.031
2004-09-28,503.196
2004-09-29,506.58
2004-09-30,505.949
2004-10-01,506.178
2004-10-04,507.045
2004-10-05,509.665
2004-10-06,508.089
2004-10-07,505.293
2004-10-08,506.015
2004-10-11,506.797
2004-10-12,502.307
2004-10-13,498.494
2004-10-14,500.575
2004-10-15,502.489
2004-10-18,505.238
2004-10-19,508.685
2004-10-20,508.662
2004-10-21,510.41
2004-10-22,519.074
2004-10-25,520.76
2004-10-26,520.59
2004-10-27,524.846
2004-10-28,530.092
2004-10-29,523.626
2004-11-01,529.147
2004-11-02,529.573
2004-11-03,538.535
2004-11-04,538.688
2004-11-05,548.392
2004-11-08,554.478
2004-11-09,554.554
2004-11-10,557.915
2004-11-11,557.027
2004-11-12,564.097
2004-11-15,574.989
2004-11-16,567.723
2004-11-17,571.211
2004-11-18,569.266
2004-11-19,565.451
2004-11-22,565.063
2004-11-23,566.585
