Date,KOKUSAI INDEX (WORLD ex JP) IMI VALUE IMI (Large+Mid+Small Cap)
2023-03-31,2026.041
2023-04-28,2062.376
2023-05-31,1965.01
2023-06-30,2085.079
2023-07-31,2169.973
2023-08-31,2104.525
2023-09-29,2035.88
2023-10-31,1964.694
2023-11-30,2115.872
2023-12-29,2245.024
2024-01-31,2236.315
2024-02-29,2289.223
2024-03-29,2399.149
2024-04-30,2315.405
2024-05-31,2397.116
2024-06-28,2374.745
2024-07-31,2494.779
2024-08-30,2566.773
2024-09-30,2615.252
2024-10-31,2561.664
2024-11-29,2671.284
2024-12-31,2509.349
2025-01-31,2623.736
2025-02-28,2657.167
2025-03-31,2616.113
2025-04-30,2574.477
2025-05-30,2661.48
2025-06-30,2769.89
