Date,USA SMID VALUE SMID (Small+Mid Cap)
2002-10-07,361.92
2002-10-08,364.878
2002-10-09,349.599
2002-10-10,364.169
2002-10-11,375.032
2002-10-14,376.064
2002-10-15,391.113
2002-10-16,380.661
2002-10-17,391.407
2002-10-18,392.064
2002-10-21,400.356
2002-10-22,393.466
2002-10-23,397.58
2002-10-24,393.659
2002-10-25,399.253
2002-10-28,395.831
2002-10-29,392.905
2002-10-30,396.955
2002-10-31,397.133
2002-11-01,404.644
2002-11-04,406.651
2002-11-05,406.565
2002-11-06,412.459
2002-11-07,402.764
2002-11-08,397.982
2002-11-11,390.994
2002-11-12,393.983
2002-11-13,394.041
2002-11-14,403.115
2002-11-15,405.718
2002-11-18,402.301
2002-11-19,400.479
2002-11-20,407.502
2002-11-21,416.343
2002-11-22,418.052
2002-11-25,420.371
2002-11-26,414.404
2002-11-27,423.52
2002-11-28,423.527
2002-11-29,422.997
2002-12-02,423.237
2002-12-03,418.047
2002-12-04,415.292
2002-12-05,412.466
2002-12-06,414.173
2002-12-09,407.723
2002-12-10,413.386
2002-12-11,414.496
2002-12-12,415.065
2002-12-13,411.117
2002-12-16,419.001
2002-12-17,416.737
2002-12-18,412.04
2002-12-19,410.01
2002-12-20,414.425
2002-12-23,415.061
2002-12-24,413.634
2002-12-25,413.634
2002-12-26,414.883
2002-12-27,409.695
2002-12-30,411.416
2002-12-31,413.102
2003-01-01,413.102
2003-01-02,423.572
2003-01-03,422.353
2003-01-06,430.806
2003-01-07,425.859
2003-01-08,422.026
2003-01-09,428.073
2003-01-10,427.472
2003-01-13,426.762
2003-01-14,427.852
2003-01-15,424.33
2003-01-16,423.142
2003-01-17,418.888
2003-01-20,418.879
2003-01-21,412.722
2003-01-22,408.942
2003-01-23,412.723
2003-01-24,403.953
2003-01-27,396.578
2003-01-28,400.969
2003-01-29,402.675
2003-01-30,396.737
2003-01-31,402.15
2003-02-03,402.717
2003-02-04,399.126
2003-02-05,396.785
2003-02-06,393.789
2003-02-07,389.159
2003-02-10,392.231
2003-02-11,388.921
2003-02-12,383.759
2003-02-13,383.546
2003-02-14,387.872
2003-02-17,387.872
2003-02-18,394.27
2003-02-19,391.281
2003-02-20,389.787
2003-02-21,395.224
2003-02-24,389.101
2003-02-25,391.52
2003-02-26,387.891
2003-02-27,391.697
2003-02-28,392.5
2003-03-03,391.387
2003-03-04,385.845
2003-03-05,387.101
2003-03-06,384.74
2003-03-07,386.549
2003-03-10,378.363
2003-03-11,374.362
2003-03-12,373.403
2003-03-13,383.123
2003-03-14,382.803
2003-03-17,393.745
2003-03-18,395.976
2003-03-19,397.385
2003-03-20,399.887
2003-03-21,408.625
2003-03-24,396.386
2003-03-25,400.77
2003-03-26,397.794
2003-03-27,398.109
2003-03-28,397.664
2003-03-31,393.98
2003-04-01,398.539
2003-04-02,405.599
2003-04-03,403.06
2003-04-04,403.479
2003-04-07,405.095
2003-04-08,403.086
2003-04-09,400.234
2003-04-10,401.989
2003-04-11,400.807
2003-04-14,407.535
2003-04-15,410.624
2003-04-16,407.381
2003-04-17,412.45
2003-04-18,412.45
2003-04-21,413.815
2003-04-22,421.76
2003-04-23,424.168
2003-04-24,421.532
2003-04-25,416.911
2003-04-28,423.546
2003-04-29,424.133
2003-04-30,425.154
2003-05-01,424.18
2003-05-02,430.628
2003-05-05,431.866
2003-05-06,435.278
2003-05-07,434.024
2003-05-08,431.519
2003-05-09,436.986
2003-05-12,441.501
2003-05-13,441.969
2003-05-14,441.983
2003-05-15,445.026
2003-05-16,445.407
2003-05-19,437.128
2003-05-20,437.554
2003-05-21,439.786
2003-05-22,443.759
2003-05-23,448.065
2003-05-26,448.065
2003-05-27,455.148
2003-05-28,455.376
2003-05-29,453.452
2003-05-30,463.034
2003-06-02,465.949
2003-06-03,465.52
2003-06-04,472.407
2003-06-05,475.097
2003-06-06,473.851
2003-06-09,466.358
2003-06-10,470.401
2003-06-11,476.504
2003-06-12,477.312
2003-06-13,471.33
2003-06-16,479.617
2003-06-17,478.508
2003-06-18,476.549
2003-06-19,471.14
2003-06-20,471.037
2003-06-23,463.765
2003-06-24,464.992
2003-06-25,464.208
2003-06-26,468.391
2003-06-27,466.413
2003-06-30,465.853
2003-07-01,467.95
2003-07-02,474.136
2003-07-03,472.011
2003-07-04,472.011
2003-07-07,478.606
2003-07-08,481.937
2003-07-09,481.142
2003-07-10,474.159
2003-07-11,477.909
2003-07-14,481.39
2003-07-15,479.005
2003-07-16,476.476
2003-07-17,470.82
2003-07-18,476.053
2003-07-21,470.744
2003-07-22,475.718
2003-07-23,475.334
2003-07-24,475.147
2003-07-25,480.164
2003-07-28,480.482
2003-07-29,478.927
2003-07-30,479.426
2003-07-31,480.975
2003-08-01,475.652
2003-08-04,474.472
2003-08-05,468.45
2003-08-06,468.411
2003-08-07,470.344
2003-08-08,472.254
2003-08-11,473.808
2003-08-12,478.705
2003-08-13,477.308
2003-08-14,480.971
2003-08-15,481.36
2003-08-18,485.675
2003-08-19,488.979
2003-08-20,490.28
2003-08-21,494.029
2003-08-22,487.419
2003-08-25,486.526
2003-08-26,487.867
2003-08-27,489.374
2003-08-28,493.155
2003-08-29,496.273
2003-09-01,496.273
2003-09-02,503.176
2003-09-03,505.733
2003-09-04,505.798
2003-09-05,502.922
2003-09-08,507.926
2003-09-09,504.045
2003-09-10,495.92
2003-09-11,498.748
2003-09-12,500.486
2003-09-15,499.545
