Date,CANADA IMI GROWTH IMI (Large+Mid+Small Cap)
2021-07-30,1592.873
2021-08-31,1604.911
2021-09-30,1520.511
2021-10-29,1632.869
2021-11-30,1566.102
2021-12-31,1603.618
2022-01-31,1490.092
2022-02-28,1472.19
2022-03-31,1568.316
2022-04-29,1406.132
2022-05-31,1378.679
2022-06-30,1244.159
2022-07-29,1329.512
2022-08-31,1283.027
2022-09-30,1178.676
2022-10-31,1261.738
2022-11-30,1348.168
2022-12-30,1277.982
2023-01-31,1380.769
2023-02-28,1322.897
2023-03-31,1350.934
2023-04-28,1376.955
2023-05-31,1314.08
2023-06-30,1402.994
2023-07-31,1439.946
2023-08-31,1389.039
2023-09-29,1334.074
2023-10-31,1255.739
2023-11-30,1399.47
2023-12-29,1472.832
2024-01-31,1477.11
2024-02-29,1502.993
2024-03-29,1559.961
2024-04-30,1509.056
2024-05-31,1547.129
2024-06-28,1531.563
2024-07-31,1590.004
2024-08-30,1626.583
2024-09-30,1647.416
2024-10-31,1624.84
2024-11-29,1739.477
2024-12-31,1628.624
2025-01-31,1687.235
2025-02-28,1688.646
2025-03-31,1652.543
2025-04-30,1721.397
2025-05-30,1835.743
