Date,WORLD SMID GROWTH SMID (Small+Mid Cap)
2002-10-04,326.157
2002-10-07,318.679
2002-10-08,320.325
2002-10-09,315.047
2002-10-10,320.663
2002-10-11,331.21
2002-10-14,333.504
2002-10-15,346.766
2002-10-16,340.475
2002-10-17,349.872
2002-10-18,350.687
2002-10-21,356.093
2002-10-22,351.204
2002-10-23,353.516
2002-10-24,351.309
2002-10-25,355.379
2002-10-28,354.769
2002-10-29,350.318
2002-10-30,354.904
2002-10-31,355.711
2002-11-01,361.13
2002-11-04,366.385
2002-11-05,367.27
2002-11-06,370.97
2002-11-07,365.067
2002-11-08,360.586
2002-11-11,352.634
2002-11-12,356.893
2002-11-13,356.505
2002-11-14,362.715
2002-11-15,365.287
2002-11-18,364.165
2002-11-19,360.898
2002-11-20,366.129
2002-11-21,375.197
2002-11-22,376.429
2002-11-25,377.727
2002-11-26,370.594
2002-11-27,379.137
2002-11-28,381.607
2002-11-29,381.227
2002-12-02,381.349
2002-12-03,375.135
2002-12-04,371.712
2002-12-05,369.039
2002-12-06,369.908
2002-12-09,361.334
2002-12-10,365.042
2002-12-11,366.045
2002-12-12,366.405
2002-12-13,361.464
2002-12-16,366.118
2002-12-17,364.541
2002-12-18,358.598
2002-12-19,357.366
2002-12-20,360.888
2002-12-23,362.566
2002-12-24,361.925
2002-12-25,361.903
2002-12-26,362.883
2002-12-27,358.917
2002-12-30,359.169
2002-12-31,360.893
2003-01-01,360.889
2003-01-02,368.535
2003-01-03,369.09
2003-01-06,374.606
2003-01-07,372.249
2003-01-08,366.501
2003-01-09,372.08
2003-01-10,373.891
2003-01-13,373.689
2003-01-14,375.348
2003-01-15,372.646
2003-01-16,372.373
2003-01-17,367.687
2003-01-20,366.94
2003-01-21,362.972
2003-01-22,360.686
2003-01-23,364.647
2003-01-24,359.487
2003-01-27,352.493
2003-01-28,355.15
2003-01-29,356.019
2003-01-30,352.518
2003-01-31,354.06
2003-02-03,355.288
2003-02-04,352.615
2003-02-05,352.18
2003-02-06,349.696
2003-02-07,346.586
2003-02-10,347.14
2003-02-11,346.854
2003-02-12,342.856
2003-02-13,341.217
2003-02-14,344.49
2003-02-17,345.512
2003-02-18,350.966
2003-02-19,348.722
2003-02-20,348.324
2003-02-21,350.663
2003-02-24,346.401
2003-02-25,344.879
2003-02-26,342.69
2003-02-27,344.675
2003-02-28,347.592
2003-03-03,347.099
2003-03-04,343.331
2003-03-05,343.306
2003-03-06,341.995
2003-03-07,341.842
2003-03-10,335.459
2003-03-11,332.736
2003-03-12,331.207
2003-03-13,340.275
2003-03-14,342.06
2003-03-17,350.289
2003-03-18,353.149
2003-03-19,353.001
2003-03-20,355.217
2003-03-21,359.955
2003-03-24,351.969
2003-03-25,355.877
2003-03-26,355.929
2003-03-27,355.833
2003-03-28,355.31
2003-03-31,350.867
2003-04-01,352.041
2003-04-02,359.662
2003-04-03,359.044
2003-04-04,357.792
2003-04-07,360.975
2003-04-08,358.608
2003-04-09,355.799
2003-04-10,357.47
2003-04-11,357.297
2003-04-14,361.419
2003-04-15,364.319
2003-04-16,362.384
2003-04-17,367.834
2003-04-18,367.92
2003-04-21,367.917
2003-04-22,373.182
2003-04-23,376.452
2003-04-24,374.988
2003-04-25,370.89
2003-04-28,375.689
2003-04-29,377.833
2003-04-30,380.789
2003-05-01,382.37
2003-05-02,387.767
2003-05-05,390.369
2003-05-06,394.863
2003-05-07,393.672
2003-05-08,390.069
2003-05-09,394.258
2003-05-12,399.01
2003-05-13,399.06
2003-05-14,399.478
2003-05-15,402.084
2003-05-16,403.111
2003-05-19,394.806
2003-05-20,393.992
2003-05-21,394.95
2003-05-22,399.544
2003-05-23,401.544
2003-05-26,402.097
2003-05-27,408.354
2003-05-28,409.354
2003-05-29,411.439
2003-05-30,416.641
2003-06-02,418.694
2003-06-03,417.274
2003-06-04,423.414
2003-06-05,429.622
2003-06-06,429.439
2003-06-09,424.036
2003-06-10,426.463
2003-06-11,432.762
2003-06-12,433.704
2003-06-13,430.122
2003-06-16,436.471
2003-06-17,437.756
2003-06-18,436.296
2003-06-19,430.72
2003-06-20,430.264
2003-06-23,423.499
2003-06-24,421.372
2003-06-25,424.095
2003-06-26,425.592
2003-06-27,425.369
2003-06-30,424.643
2003-07-01,426.812
2003-07-02,433.432
2003-07-03,432.932
2003-07-04,432.372
2003-07-07,439.201
2003-07-08,443.091
2003-07-09,443.554
2003-07-10,438.3
2003-07-11,439.479
2003-07-14,444.324
2003-07-15,442.469
2003-07-16,438.885
2003-07-17,430.701
2003-07-18,433.587
2003-07-21,431.046
2003-07-22,433.917
2003-07-23,437.44
2003-07-24,437.702
2003-07-25,440.737
2003-07-28,443.422
2003-07-29,442.428
2003-07-30,439.491
2003-07-31,439.888
2003-08-01,438.424
2003-08-04,437.124
2003-08-05,432.463
2003-08-06,429.345
2003-08-07,430.631
2003-08-08,430.977
2003-08-11,434.58
2003-08-12,439.199
2003-08-13,441.065
2003-08-14,443.244
2003-08-15,444.105
2003-08-18,449.088
2003-08-19,452.412
2003-08-20,454.467
2003-08-21,458.055
2003-08-22,454.582
2003-08-25,453.018
2003-08-26,452.493
2003-08-27,454.904
2003-08-28,459.211
2003-08-29,463.208
2003-09-01,465.59
2003-09-02,468.943
2003-09-03,471.91
2003-09-04,473.005
2003-09-05,472.032
2003-09-08,477.125
2003-09-09,475.411
2003-09-10,467.156
2003-09-11,468.612
2003-09-12,471.29
2003-09-15,470.774
2003-09-16,476.107
2003-09-17,477.51
2003-09-18,482.405
2003-09-19,484.001
2003-09-22,479.411
2003-09-23,482.171
2003-09-24,476.147
2003-09-25,470.363
2003-09-26,464.566
2003-09-29,468.214
2003-09-30,465.986
2003-10-01,473.678
2003-10-02,477.857
2003-10-03,484.604
2003-10-06,487.194
2003-10-07,490.821
2003-10-08,489.373
2003-10-09,492.684
2003-10-10,495.153
2003-10-13,498.318
2003-10-14,500.248
2003-10-15,499.552
2003-10-16,503.089
2003-10-17,497.968
2003-10-20,499.715
2003-10-21,502.514
2003-10-22,496.779
2003-10-23,491.395
2003-10-24,491.594
2003-10-27,495.493
2003-10-28,502.392
2003-10-29,506.875
2003-10-30,507.094
2003-10-31,505.808
2003-11-03,508.635
2003-11-04,510.351
2003-11-05,509.805
2003-11-06,509.92
2003-11-07,511.887
2003-11-10,507.801
2003-11-11,503.202
2003-11-12,510.225
2003-11-13,512.993
2003-11-14,508.186
2003-11-17,499.942
2003-11-18,498.407
2003-11-19,497.922
2003-11-20,496.802
2003-11-21,498.379
2003-11-24,505.308
2003-11-25,508.405
2003-11-26,513.105
2003-11-27,513.464
2003-11-28,515.356
2003-12-01,521.724
2003-12-02,522.693
2003-12-03,519.958
2003-12-04,518.273
2003-12-05,515.148
2003-12-08,515.594
2003-12-09,510.677
2003-12-10,505.76
2003-12-11,511.601
2003-12-12,514.995
2003-12-15,512.564
2003-12-16,510.607
2003-12-17,511.175
2003-12-18,516.761
2003-12-19,516.129
2003-12-22,517.913
2003-12-23,520.96
2003-12-24,521.602
2003-12-25,521.884
2003-12-26,523.157
2003-12-29,529.157
2003-12-30,531.645
2003-12-31,531.506
2004-01-01,531.51
2004-01-02,532.885
2004-01-05,540.789
2004-01-06,543.071
2004-01-07,543.643
2004-01-08,548.265
2004-01-09,549.492
2004-01-12,551.506
2004-01-13,549.343
2004-01-14,552.119
2004-01-15,551.711
2004-01-16,555.473
2004-01-19,556.27
2004-01-20,561.559
2004-01-21,562.234
2004-01-22,560.812
2004-01-23,560.618
2004-01-26,561.619
2004-01-27,559.858
2004-01-28,554.013
2004-01-29,547.844
2004-01-30,550.102
2004-02-02,551.221
2004-02-03,551.806
2004-02-04,544.44
2004-02-05,547.232
2004-02-06,557.378
2004-02-09,559.248
2004-02-10,561.42
2004-02-11,564.874
2004-02-12,566.515
2004-02-13,563.834
2004-02-16,564.485
2004-02-17,570.644
2004-02-18,569.7
2004-02-19,564.287
2004-02-20,558.513
2004-02-23,554.231
2004-02-24,553.792
2004-02-25,555.316
2004-02-26,557.038
2004-02-27,559.863
