Date,WORLD SMID GROWTH SMID (Small+Mid Cap)
2002-08-02,359.705
2002-08-05,349.434
2002-08-06,354.824
2002-08-07,358.241
2002-08-08,365.018
2002-08-09,367.506
2002-08-12,366.066
2002-08-13,360.827
2002-08-14,369.383
2002-08-15,375.302
2002-08-16,378.561
2002-08-19,383.824
2002-08-20,380.402
2002-08-21,385.918
2002-08-22,390.326
2002-08-23,384.06
2002-08-26,386.39
2002-08-27,381.807
2002-08-28,373.948
2002-08-29,374.773
2002-08-30,373.182
2002-09-02,372.226
2002-09-03,362.202
2002-09-04,365.59
2002-09-05,360.504
2002-09-06,366.978
2002-09-09,368.078
2002-09-10,370.917
2002-09-11,372.132
2002-09-12,365.712
2002-09-13,364.876
2002-09-16,362.416
2002-09-17,358.221
2002-09-18,355.739
2002-09-19,348.367
2002-09-20,347.7
2002-09-23,340.835
2002-09-24,336.253
2002-09-25,343.362
2002-09-26,348.068
2002-09-27,345.092
2002-09-30,340.986
2002-10-01,344.011
2002-10-02,339.847
2002-10-03,335.775
2002-10-04,329.071
2002-10-07,321.525
2002-10-08,323.184
2002-10-09,317.858
2002-10-10,323.522
2002-10-11,334.162
2002-10-14,336.476
2002-10-15,349.855
2002-10-16,343.508
2002-10-17,352.988
2002-10-18,353.809
2002-10-21,359.263
2002-10-22,354.329
2002-10-23,356.662
2002-10-24,354.434
2002-10-25,358.54
2002-10-28,357.924
2002-10-29,353.432
2002-10-30,358.056
2002-10-31,358.87
2002-11-01,364.337
2002-11-04,369.637
2002-11-05,370.529
2002-11-06,374.259
2002-11-07,368.303
2002-11-08,363.783
2002-11-11,355.759
2002-11-12,360.056
2002-11-13,359.659
2002-11-14,365.924
2002-11-15,368.518
2002-11-18,367.384
2002-11-19,364.088
2002-11-20,369.361
2002-11-21,378.509
2002-11-22,379.751
2002-11-25,381.056
2002-11-26,373.857
2002-11-27,382.472
2002-11-28,384.963
2002-11-29,384.579
2002-12-02,384.701
2002-12-03,378.432
2002-12-04,374.978
2002-12-05,372.281
2002-12-06,373.156
2002-12-09,364.505
2002-12-10,368.242
2002-12-11,369.252
2002-12-12,369.613
2002-12-13,364.629
2002-12-16,369.322
2002-12-17,367.732
2002-12-18,361.733
2002-12-19,360.488
2002-12-20,364.04
2002-12-23,365.732
2002-12-24,365.084
2002-12-25,365.06
2002-12-26,366.048
2002-12-27,362.045
2002-12-30,362.298
2002-12-31,364.036
2003-01-01,364.032
2003-01-02,371.743
2003-01-03,372.302
2003-01-06,377.865
2003-01-07,375.487
2003-01-08,369.688
2003-01-09,375.315
2003-01-10,377.141
2003-01-13,376.934
2003-01-14,378.608
2003-01-15,375.881
2003-01-16,375.605
2003-01-17,370.878
2003-01-20,370.123
2003-01-21,366.121
2003-01-22,363.814
2003-01-23,367.809
2003-01-24,362.605
2003-01-27,355.545
2003-01-28,358.225
2003-01-29,359.099
2003-01-30,355.565
2003-01-31,357.118
2003-02-03,358.355
2003-02-04,355.658
2003-02-05,355.216
2003-02-06,352.71
2003-02-07,349.571
2003-02-10,350.129
2003-02-11,349.841
2003-02-12,345.806
2003-02-13,344.152
2003-02-14,347.452
2003-02-17,348.482
2003-02-18,353.982
2003-02-19,351.716
2003-02-20,351.314
2003-02-21,353.672
2003-02-24,349.371
2003-02-25,347.835
2003-02-26,345.623
2003-02-27,347.621
2003-02-28,350.563
2003-03-03,350.06
2003-03-04,346.256
2003-03-05,346.224
2003-03-06,344.901
2003-03-07,344.741
2003-03-10,338.302
2003-03-11,335.554
2003-03-12,334.006
2003-03-13,343.148
2003-03-14,344.948
2003-03-17,353.24
2003-03-18,356.122
2003-03-19,355.972
2003-03-20,358.205
2003-03-21,362.978
2003-03-24,354.919
2003-03-25,358.859
2003-03-26,358.862
2003-03-27,358.76
2003-03-28,358.23
2003-03-31,353.746
2003-04-01,354.922
2003-04-02,362.604
2003-04-03,361.975
2003-04-04,360.713
2003-04-07,363.916
2003-04-08,361.528
2003-04-09,358.691
2003-04-10,360.373
2003-04-11,360.187
2003-04-14,364.34
2003-04-15,367.261
2003-04-16,365.302
2003-04-17,370.789
2003-04-18,370.877
2003-04-21,370.873
2003-04-22,376.171
2003-04-23,379.467
2003-04-24,377.988
2003-04-25,373.856
2003-04-28,378.678
2003-04-29,380.836
2003-04-30,383.807
2003-05-01,385.4
2003-05-02,390.839
2003-05-05,393.452
2003-05-06,397.98
2003-05-07,396.774
2003-05-08,393.14
2003-05-09,397.355
2003-05-12,402.142
2003-05-13,402.19
2003-05-14,402.61
2003-05-15,405.233
2003-05-16,406.267
2003-05-19,397.864
2003-05-20,397.036
2003-05-21,397.997
2003-05-22,402.626
2003-05-23,404.64
2003-05-26,405.192
2003-05-27,411.496
2003-05-28,412.498
2003-05-29,414.595
2003-05-30,419.836
2003-06-02,421.891
2003-06-03,420.46
2003-06-04,426.645
2003-06-05,432.898
2003-06-06,432.71
2003-06-09,427.265
2003-06-10,429.704
2003-06-11,436.049
2003-06-12,436.992
2003-06-13,433.378
2003-06-16,439.774
2003-06-17,441.067
2003-06-18,439.591
2003-06-19,433.973
2003-06-20,433.511
2003-06-23,426.691
2003-06-24,424.543
2003-06-25,427.283
2003-06-26,428.788
2003-06-27,428.562
2003-06-30,427.827
2003-07-01,430.007
2003-07-02,436.675
2003-07-03,436.17
2003-07-04,435.605
2003-07-07,442.484
2003-07-08,446.402
2003-07-09,446.865
2003-07-10,441.57
2003-07-11,442.753
2003-07-14,447.634
2003-07-15,445.763
2003-07-16,442.152
2003-07-17,433.907
2003-07-18,436.813
2003-07-21,434.254
2003-07-22,437.145
2003-07-23,440.694
2003-07-24,440.958
2003-07-25,444.016
2003-07-28,446.721
2003-07-29,445.708
2003-07-30,442.748
2003-07-31,443.148
2003-08-01,441.671
2003-08-04,440.36
2003-08-05,435.663
2003-08-06,432.518
2003-08-07,433.813
2003-08-08,434.158
2003-08-11,437.786
2003-08-12,442.438
2003-08-13,444.314
2003-08-14,446.506
2003-08-15,447.373
2003-08-18,452.393
2003-08-19,455.741
2003-08-20,457.809
2003-08-21,461.421
2003-08-22,457.922
2003-08-25,456.345
2003-08-26,455.813
2003-08-27,458.239
2003-08-28,462.574
2003-08-29,466.598
2003-09-01,468.997
2003-09-02,472.374
2003-09-03,475.361
2003-09-04,476.46
2003-09-05,475.48
2003-09-08,480.605
2003-09-09,478.878
2003-09-10,470.559
2003-09-11,472.021
2003-09-12,474.717
2003-09-15,474.191
2003-09-16,479.563
2003-09-17,480.974
2003-09-18,485.902
2003-09-19,487.51
2003-09-22,482.882
2003-09-23,485.66
2003-09-24,479.591
2003-09-25,473.752
2003-09-26,467.908
2003-09-29,471.578
2003-09-30,469.332
2003-10-01,477.075
2003-10-02,481.284
2003-10-03,488.08
2003-10-06,490.688
2003-10-07,494.34
2003-10-08,492.88
2003-10-09,496.213
2003-10-10,498.695
2003-10-13,501.88
2003-10-14,503.823
2003-10-15,503.121
2003-10-16,506.683
2003-10-17,501.525
2003-10-20,503.284
2003-10-21,506.102
2003-10-22,500.325
2003-10-23,494.903
2003-10-24,495.101
2003-10-27,499.025
2003-10-28,505.973
2003-10-29,510.483
2003-10-30,510.702
2003-10-31,509.404
2003-11-03,512.249
2003-11-04,513.977
2003-11-05,513.425
2003-11-06,513.54
2003-11-07,515.517
2003-11-10,511.401
2003-11-11,506.768
2003-11-12,513.837
2003-11-13,516.621
2003-11-14,511.779
2003-11-17,503.477
2003-11-18,501.93
2003-11-19,501.435
2003-11-20,500.306
2003-11-21,501.893
2003-11-24,508.869
2003-11-25,511.985
2003-11-26,516.713
2003-11-27,517.074
2003-11-28,518.978
2003-12-01,525.386
2003-12-02,526.362
2003-12-03,523.605
2003-12-04,521.896
2003-12-05,518.748
2003-12-08,519.193
2003-12-09,514.242
2003-12-10,509.287
2003-12-11,515.162
2003-12-12,518.577
2003-12-15,516.128
2003-12-16,514.157
2003-12-17,514.728
2003-12-18,520.352
2003-12-19,519.714
2003-12-22,521.507
2003-12-23,524.575
2003-12-24,525.218
2003-12-25,525.501
2003-12-26,526.783
2003-12-29,532.818
2003-12-30,535.322
2003-12-31,535.181
2004-01-01,535.186
2004-01-02,536.568
2004-01-05,544.525
2004-01-06,546.821
2004-01-07,547.396
2004-01-08,552.049
2004-01-09,553.283
2004-01-12,555.31
2004-01-13,553.127
2004-01-14,555.92
2004-01-15,555.508
2004-01-16,559.294
2004-01-19,560.096
2004-01-20,565.421
2004-01-21,566.1
2004-01-22,564.668
2004-01-23,564.473
2004-01-26,565.479
2004-01-27,563.706
2004-01-28,557.819
2004-01-29,551.603
2004-01-30,553.876
2004-02-02,555.001
2004-02-03,555.59
2004-02-04,548.171
2004-02-05,550.982
2004-02-06,561.192
2004-02-09,563.074
2004-02-10,565.26
2004-02-11,568.734
2004-02-12,570.384
2004-02-13,567.684
2004-02-16,568.339
2004-02-17,574.539
2004-02-18,573.585
2004-02-19,568.133
2004-02-20,562.318
2004-02-23,558.001
2004-02-24,557.558
2004-02-25,559.091
2004-02-26,560.819
2004-02-27,563.663
2004-03-01,572.321
2004-03-02,569.393
2004-03-03,566.024
2004-03-04,570.193
2004-03-05,574.711
2004-03-08,569.529
2004-03-09,565.435
2004-03-10,555.357
2004-03-11,548.275
2004-03-12,553.426
2004-03-15,545.354
2004-03-16,549.152
2004-03-17,556.321
2004-03-18,557.304
2004-03-19,554.709
2004-03-22,546.297
2004-03-23,546.116
2004-03-24,545.131
2004-03-25,554.805
2004-03-26,556.005
2004-03-29,563.475
2004-03-30,566.294
2004-03-31,569.888
2004-04-01,576.094
2004-04-02,580.499
2004-04-05,582.987
2004-04-06,580.695
2004-04-07,582.387
2004-04-08,581.447
2004-04-09,580.295
2004-04-12,583.452
2004-04-13,575.528
2004-04-14,570.445
2004-04-15,567.188
2004-04-16,570.25
2004-04-19,571.538
2004-04-20,566.839
2004-04-21,567.014
2004-04-22,573.168
2004-04-23,573.888
2004-04-26,573.698
2004-04-27,572.586
2004-04-28,563.164
2004-04-29,557.275
2004-04-30,551.544
2004-05-03,555.054
2004-05-04,559.17
2004-05-05,562.379
2004-05-06,554.197
2004-05-07,543.38
2004-05-10,526.757
2004-05-11,532.905
2004-05-12,534.598
2004-05-13,532.922
2004-05-14,529.433
2004-05-17,521.867
2004-05-18,527.373
2004-05-19,534.7
2004-05-20,531.124
2004-05-21,537.061
2004-05-24,540.145
2004-05-25,547.299
2004-05-26,551.122
2004-05-27,556.07
2004-05-28,558.074
2004-05-31,558.26
2004-06-01,559.131
2004-06-02,559.662
2004-06-03,552.741
2004-06-04,556.765
2004-06-07,567.298
2004-06-08,567.326
2004-06-09,560.655
2004-06-10,561.737
2004-06-11,559.895
2004-06-14,554.105
2004-06-15,558.583
2004-06-16,561.022
2004-06-17,560.872
2004-06-18,562.115
2004-06-21,561.273
2004-06-22,562.386
2004-06-23,566.741
2004-06-24,569.989
2004-06-25,572.336
2004-06-28,572.381
2004-06-29,572.548
2004-06-30,575.582
2004-07-01,571.495
2004-07-02,569.946
2004-07-05,567.701
2004-07-06,560.621
2004-07-07,562.487
2004-07-08,557.316
2004-07-09,559.682
2004-07-12,559.169
2004-07-13,557.53
2004-07-14,555.051
2004-07-15,553.961
2004-07-16,553.914
2004-07-19,552.573
2004-07-20,554.731
2004-07-21,546.293
2004-07-22,544.672
2004-07-23,537.693
2004-07-26,531.853
2004-07-27,534.245
2004-07-28,533.359
2004-07-29,537.735
2004-07-30,540.221
2004-08-02,540.092
2004-08-03,535.806
2004-08-04,531.43
2004-08-05,526.233
2004-08-06,520.152
2004-08-09,517.813
2004-08-10,524.683
2004-08-11,520.421
2004-08-12,515.556
2004-08-13,516.114
2004-08-16,521.445
2004-08-17,523.649
2004-08-18,528.968
2004-08-19,530.719
2004-08-20,534.322
2004-08-23,533.178
2004-08-24,531.223
2004-08-25,535.047
2004-08-26,535.943
2004-08-27,538.307
2004-08-30,533.846
2004-08-31,535.974
2004-09-01,540.273
2004-09-02,544.321
2004-09-03,540.109
2004-09-06,542.241
2004-09-07,545.32
2004-09-08,544.34
2004-09-09,546.057
2004-09-10,551.42
2004-09-13,555.19
2004-09-14,556.516
2004-09-15,550.072
2004-09-16,552.928
2004-09-17,554.064
2004-09-20,552.95
2004-09-21,557.791
2004-09-22,552.328
2004-09-23,552.361
2004-09-24,552.227
2004-09-27,547.663
2004-09-28,550.247
2004-09-29,553.082
2004-09-30,557.206
2004-10-01,564.919
2004-10-04,568.233
2004-10-05,567.826
2004-10-06,570.569
2004-10-07,567.02
2004-10-08,565.286
2004-10-11,565.328
2004-10-12,560.687
2004-10-13,557.614
2004-10-14,555.679
2004-10-15,557.972
2004-10-18,559.486
2004-10-19,559.668
2004-10-20,560.837
2004-10-21,566.317
2004-10-22,563.678
2004-10-25,563.645
2004-10-26,566.848
2004-10-27,574.145
2004-10-28,575.129
2004-10-29,575.478
2004-11-01,576.702
2004-11-02,578.765
2004-11-03,585.195
2004-11-04,590.372
2004-11-05,595.218
2004-11-08,593.672
2004-11-09,594.288
2004-11-10,595.156
2004-11-11,599.205
2004-11-12,605.881
2004-11-15,607.409
2004-11-16,604.836
2004-11-17,610.321
2004-11-18,609.593
2004-11-19,607.13
2004-11-22,607.756
2004-11-23,610.018
2004-11-24,615.139
2004-11-25,617.761
2004-11-26,617.966
2004-11-29,619.043
2004-11-30,616.925
2004-12-01,622.317
2004-12-02,622.169
2004-12-03,624.849
2004-12-06,624.417
2004-12-07,618.577
2004-12-08,615.321
2004-12-09,614.606
2004-12-10,614.903
2004-12-13,620.28
2004-12-14,623.491
2004-12-15,628.725
2004-12-16,625.428
2004-12-17,625.488
2004-12-20,627.326
2004-12-21,630.28
2004-12-22,632.454
2004-12-23,634.829
2004-12-24,636.5
2004-12-27,636.062
2004-12-28,640.707
2004-12-29,640.384
2004-12-30,643.362
2004-12-31,643.715
2005-01-03,636.636
2005-01-04,627.163
2005-01-05,621.809
2005-01-06,621.817
2005-01-07,620.004
2005-01-10,623.307
2005-01-11,622.158
2005-01-12,626.103
2005-01-13,624.726
2005-01-14,627.307
2005-01-17,629.283
2005-01-18,631.779
2005-01-19,629.401
2005-01-20,624.472
2005-01-21,623.444
2005-01-24,621.377
2005-01-25,621.223
2005-01-26,628.678
2005-01-27,629.898
2005-01-28,627.005
2005-01-31,633.844
2005-02-01,636.478
2005-02-02,640.279
2005-02-03,638.41
2005-02-04,645.138
2005-02-07,643.656
2005-02-08,642.657
2005-02-09,637.047
2005-02-10,639.797
2005-02-11,645.367
2005-02-14,648.087
2005-02-15,649.735
2005-02-16,648.778
2005-02-17,647.372
2005-02-18,647.668
2005-02-21,647.508
2005-02-22,643.43
2005-02-23,643.019
2005-02-24,647.81
2005-02-25,654.738
2005-02-28,655.313
2005-03-01,657.087
2005-03-02,656.148
2005-03-03,656.32
