Date,AUSTRALIA SMALL GROWTH Small Cap
2007-01-31,818.675
2007-02-28,835.732
2007-03-30,902.15
2007-04-30,962.762
2007-05-31,1000.0
2007-06-29,1021.824
2007-07-31,1027.17
2007-08-31,930.55
2007-09-28,1091.217
2007-10-31,1212.007
2007-11-30,1113.464
2007-12-31,1091.039
2008-01-31,970.816
2008-02-29,1100.852
2008-03-31,1029.57
2008-04-30,1125.408
2008-05-30,1174.285
2008-06-30,1061.961
2008-07-31,978.328
2008-08-29,901.996
2008-09-30,706.374
2008-10-31,453.653
2008-11-28,395.664
2008-12-31,444.912
2009-01-30,383.675
2009-02-27,376.261
2009-03-31,444.36
2009-04-30,527.246
2009-05-29,625.728
2009-06-30,644.113
2009-07-31,721.015
2009-08-31,767.217
2009-09-30,839.348
2009-10-30,854.645
2009-11-30,907.284
2009-12-31,939.018
2010-01-29,848.66
2010-02-26,869.141
2010-03-31,987.099
2010-04-30,999.411
2010-05-31,811.6
2010-06-30,802.093
2010-07-30,897.102
2010-08-31,896.767
2010-09-30,1061.951
2010-10-29,1125.917
2010-11-30,1105.081
2010-12-31,1277.101
2011-01-31,1201.119
2011-02-28,1267.734
2011-03-31,1329.144
2011-04-29,1354.339
2011-05-31,1321.136
2011-06-30,1248.033
2011-07-29,1298.115
2011-08-31,1233.9
2011-09-30,989.112
2011-10-31,1184.533
2011-11-30,1094.034
2011-12-30,1041.545
2012-01-31,1176.465
2012-02-29,1267.881
2012-03-30,1196.774
2012-04-30,1195.878
2012-05-31,988.207
2012-06-29,989.428
2012-07-31,998.197
2012-08-31,1019.468
2012-09-28,1086.939
2012-10-31,1115.619
2012-11-30,1097.583
2012-12-31,1110.625
2013-01-31,1148.748
2013-02-28,1131.644
2013-03-29,1113.846
2013-04-30,1057.732
2013-05-31,947.598
2013-06-28,844.158
2013-07-31,899.002
2013-08-30,920.152
2013-09-30,990.536
2013-10-31,1012.432
2013-11-29,917.163
2013-12-31,919.317
2014-01-31,862.149
2014-02-28,935.489
2014-03-31,969.418
2014-04-30,956.159
2014-05-30,965.682
2014-06-30,966.475
2014-07-31,996.164
2014-08-29,1017.065
2014-09-30,897.846
2014-10-31,900.566
2014-11-28,848.922
2014-12-31,833.127
2015-01-30,809.459
2015-02-27,884.764
2015-03-31,861.026
2015-04-30,891.937
2015-05-29,882.116
2015-06-30,806.877
2015-07-31,795.727
2015-08-31,730.826
2015-09-30,714.578
2015-10-30,780.428
2015-11-30,806.763
2015-12-31,842.656
2016-01-29,790.319
2016-02-29,788.873
2016-03-31,877.283
2016-04-29,896.29
2016-05-31,895.223
2016-06-30,903.499
2016-07-29,1000.104
2016-08-31,955.782
2016-09-30,987.494
2016-10-31,924.939
2016-11-30,885.111
2016-12-30,880.746
2017-01-31,896.967
2017-02-28,916.401
2017-03-31,933.628
2017-04-28,917.583
2017-05-31,901.603
2017-06-30,937.83
2017-07-31,956.834
2017-08-31,976.108
2017-09-29,975.605
2017-10-31,1018.422
2017-11-30,1046.898
2017-12-29,1119.091
2018-01-31,1154.091
2018-02-28,1119.83
2018-03-30,1078.977
2018-04-30,1095.579
2018-05-31,1133.739
2018-06-29,1129.316
2018-07-31,1118.129
2018-08-31,1114.751
2018-09-28,1103.853
2018-10-31,995.477
2018-11-30,1013.794
2018-12-31,947.672
2019-01-31,1051.159
2019-02-28,1073.636
2019-03-29,1073.692
2019-04-30,1103.811
2019-05-31,1077.93
2019-06-28,1146.017
2019-07-31,1197.474
2019-08-30,1137.664
2019-09-30,1123.175
2019-10-31,1120.56
2019-11-29,1119.649
2019-12-31,1163.377
2020-01-31,1181.466
2020-02-28,1038.14
2020-03-31,755.444
2020-04-30,960.43
2020-05-29,1107.912
2020-06-30,1145.709
2020-07-31,1235.313
2020-08-31,1373.679
2020-09-30,1282.19
2020-10-30,1270.039
2020-11-30,1412.066
2020-12-31,1519.321
2021-01-29,1512.623
2021-02-26,1518.172
2021-03-31,1493.878
2021-04-30,1633.212
2021-05-31,1633.784
2021-06-30,1660.748
2021-07-30,1665.173
2021-08-31,1717.656
2021-09-30,1664.609
2021-10-29,1761.842
2021-11-30,1697.753
2021-12-31,1801.355
2022-01-31,1556.584
2022-02-28,1560.046
2022-03-31,1737.896
2022-04-29,1581.502
2022-05-31,1504.598
2022-06-30,1222.365
2022-07-29,1369.446
2022-08-31,1413.807
2022-09-30,1214.0
2022-10-31,1291.197
2022-11-30,1413.771
2022-12-30,1345.991
2023-01-31,1510.138
2023-02-28,1375.385
2023-03-31,1335.598
2023-04-28,1361.62
2023-05-31,1321.811
2023-06-30,1354.917
2023-07-31,1404.725
2023-08-31,1359.765
2023-09-29,1292.28
2023-10-31,1177.947
2023-11-30,1312.221
2023-12-29,1440.037
2024-01-31,1398.885
2024-02-29,1432.653
2024-03-29,1488.194
2024-04-30,1466.237
2024-05-31,1524.276
2024-06-28,1507.083
2024-07-31,1507.805
2024-08-30,1548.694
2024-09-30,1672.292
2024-10-31,1549.544
2024-11-29,1576.412
2024-12-31,1430.68
2025-01-31,1533.798
2025-02-28,1460.63
2025-03-31,1400.361
2025-04-30,1476.134
2025-05-30,1587.125
