Date,ACWI SMID GROWTH SMID (Small+Mid Cap)
2002-11-14,354.056
2002-11-15,356.674
2002-11-18,355.671
2002-11-19,352.531
2002-11-20,357.364
2002-11-21,365.963
2002-11-22,367.298
2002-11-25,368.638
2002-11-26,361.903
2002-11-27,369.955
2002-11-28,372.318
2002-11-29,372.095
2002-12-02,372.339
2002-12-03,366.588
2002-12-04,363.231
2002-12-05,360.745
2002-12-06,361.568
2002-12-09,353.536
2002-12-10,356.939
2002-12-11,357.824
2002-12-12,358.194
2002-12-13,353.573
2002-12-16,357.996
2002-12-17,356.491
2002-12-18,350.904
2002-12-19,349.812
2002-12-20,353.157
2002-12-23,354.543
2002-12-24,353.863
2002-12-25,353.814
2002-12-26,354.741
2002-12-27,351.03
2002-12-30,351.11
2002-12-31,352.758
2003-01-01,352.745
2003-01-02,359.994
2003-01-03,360.74
2003-01-06,366.033
2003-01-07,363.736
2003-01-08,358.421
2003-01-09,363.717
2003-01-10,365.471
2003-01-13,365.477
2003-01-14,367.032
2003-01-15,364.52
2003-01-16,364.167
2003-01-17,359.624
2003-01-20,358.885
2003-01-21,355.08
2003-01-22,352.859
2003-01-23,356.618
2003-01-24,351.58
2003-01-27,344.831
2003-01-28,347.383
2003-01-29,348.194
2003-01-30,344.972
2003-01-31,346.475
2003-02-03,347.665
2003-02-04,345.214
2003-02-05,344.806
2003-02-06,342.353
2003-02-07,339.313
2003-02-10,339.699
2003-02-11,339.468
2003-02-12,335.815
2003-02-13,334.142
2003-02-14,337.163
2003-02-17,338.441
2003-02-18,343.535
2003-02-19,341.357
2003-02-20,341.042
2003-02-21,343.255
2003-02-24,339.295
2003-02-25,337.654
2003-02-26,335.593
2003-02-27,337.433
2003-02-28,340.173
2003-03-03,339.786
2003-03-04,336.181
2003-03-05,335.986
2003-03-06,334.583
2003-03-07,334.312
2003-03-10,328.145
2003-03-11,325.546
2003-03-12,324.168
2003-03-13,332.646
2003-03-14,334.469
2003-03-17,341.835
2003-03-18,344.83
2003-03-19,344.726
2003-03-20,347.007
2003-03-21,351.448
2003-03-24,343.849
2003-03-25,347.421
2003-03-26,347.57
2003-03-27,347.456
2003-03-28,346.95
2003-03-31,342.606
2003-04-01,343.792
2003-04-02,350.951
2003-04-03,350.48
2003-04-04,349.548
2003-04-07,352.777
2003-04-08,350.561
2003-04-09,347.932
2003-04-10,349.577
2003-04-11,349.469
2003-04-14,353.347
2003-04-15,356.209
2003-04-16,354.579
2003-04-17,359.723
2003-04-18,359.958
2003-04-21,359.992
2003-04-22,364.704
2003-04-23,367.741
2003-04-24,366.192
2003-04-25,362.15
2003-04-28,366.62
2003-04-29,368.923
2003-04-30,371.641
2003-05-01,373.123
2003-05-02,378.19
2003-05-05,380.802
2003-05-06,384.965
2003-05-07,384.018
2003-05-08,380.611
2003-05-09,384.645
2003-05-12,389.178
2003-05-13,389.292
2003-05-14,389.659
2003-05-15,392.01
2003-05-16,392.953
2003-05-19,385.05
2003-05-20,384.32
2003-05-21,385.256
2003-05-22,389.587
2003-05-23,391.776
2003-05-26,392.526
2003-05-27,398.31
2003-05-28,399.29
2003-05-29,401.358
2003-05-30,406.302
2003-06-02,408.411
2003-06-03,407.019
2003-06-04,412.847
2003-06-05,418.806
2003-06-06,418.672
2003-06-09,413.691
2003-06-10,415.936
2003-06-11,421.897
2003-06-12,422.978
2003-06-13,419.747
2003-06-16,425.8
2003-06-17,427.172
2003-06-18,425.739
2003-06-19,420.612
2003-06-20,420.132
2003-06-23,413.565
2003-06-24,411.562
2003-06-25,414.256
2003-06-26,415.62
2003-06-27,415.507
2003-06-30,414.847
2003-07-01,417.115
2003-07-02,423.529
2003-07-03,423.148
2003-07-04,422.769
2003-07-07,429.386
2003-07-08,433.043
2003-07-09,433.465
2003-07-10,428.476
2003-07-11,429.583
2003-07-14,434.458
2003-07-15,432.617
2003-07-16,429.213
2003-07-17,421.335
2003-07-18,423.939
2003-07-21,421.475
2003-07-22,424.18
2003-07-23,427.537
2003-07-24,427.929
2003-07-25,430.972
2003-07-28,433.691
2003-07-29,432.666
2003-07-30,429.87
2003-07-31,430.258
2003-08-01,428.928
2003-08-04,427.657
2003-08-05,423.134
2003-08-06,420.149
2003-08-07,421.54
2003-08-08,421.847
2003-08-11,425.235
2003-08-12,429.614
2003-08-13,431.587
2003-08-14,433.745
2003-08-15,434.604
2003-08-18,439.423
2003-08-19,442.478
2003-08-20,444.412
2003-08-21,447.963
2003-08-22,444.731
2003-08-25,443.181
2003-08-26,442.709
2003-08-27,445.027
2003-08-28,448.995
2003-08-29,452.945
2003-09-01,455.287
2003-09-02,458.498
2003-09-03,461.34
2003-09-04,462.317
2003-09-05,461.442
2003-09-08,466.203
2003-09-09,464.503
2003-09-10,456.759
2003-09-11,458.185
