Date,IRELAND IMI VALUE IMI (Large+Mid+Small Cap)
2011-08-31,81.332
2011-09-30,71.145
2011-10-31,82.591
2011-11-30,81.777
2011-12-30,80.705
2012-01-31,86.969
2012-02-29,98.124
2012-03-30,94.515
2012-04-30,92.769
2012-05-31,76.659
2012-06-29,84.683
2012-07-31,82.845
2012-08-31,82.858
2012-09-28,91.351
2012-10-31,89.361
2012-11-30,93.119
2012-12-31,100.54
2013-01-31,111.618
2013-02-28,111.747
2013-03-29,117.674
2013-04-30,117.91
2013-05-31,120.179
2013-06-28,118.853
2013-07-31,128.326
2013-08-30,130.075
2013-09-30,143.538
2013-10-31,148.4
2013-11-29,153.767
2013-12-31,153.714
2014-01-31,154.29
2014-02-28,179.214
2014-03-31,168.189
2014-04-30,169.931
2014-05-30,165.629
2014-06-30,156.528
2014-07-31,143.361
2014-08-29,144.265
2014-09-30,141.58
2014-10-31,135.645
2014-11-28,145.595
2014-12-31,146.718
2015-01-30,146.374
2015-02-27,170.25
2015-03-31,159.832
2015-04-30,172.448
2015-05-29,170.754
2015-06-30,170.67
2015-07-31,180.053
2015-08-31,180.562
2015-09-30,161.206
2015-10-30,169.065
2015-11-30,177.405
2015-12-31,177.002
2016-01-29,157.886
2016-02-29,153.998
2016-03-31,172.983
2016-04-29,174.334
2016-05-31,174.498
2016-06-30,135.627
2016-07-29,141.301
2016-08-31,149.108
2016-09-30,141.645
2016-10-31,140.225
2016-11-30,140.844
2016-12-30,150.702
2017-01-31,165.663
2017-02-28,159.467
2017-03-31,161.197
2017-04-28,165.624
2017-05-31,173.965
2017-06-30,179.253
2017-07-31,178.619
2017-08-31,180.155
2017-09-29,184.109
2017-10-31,177.131
2017-11-30,184.205
2017-12-29,193.239
2018-01-31,208.395
2018-02-28,200.454
2018-03-30,202.173
2018-04-30,210.029
2018-05-31,197.696
2018-06-29,195.615
2018-07-31,204.799
2018-08-31,200.075
2018-09-28,189.36
2018-10-31,179.404
2018-11-30,166.929
2018-12-31,154.182
2019-01-31,161.541
2019-02-28,165.969
2019-03-29,158.117
2019-04-30,167.212
2019-05-31,148.1
2019-06-28,151.345
2019-07-31,142.91
2019-08-30,132.649
2019-09-30,145.539
2019-10-31,161.476
2019-11-29,171.08
2019-12-31,182.198
2020-01-31,166.198
2020-02-28,147.635
2020-03-31,112.443
2020-04-30,136.884
2020-05-29,139.778
2020-06-30,145.659
2020-07-31,156.534
2020-08-31,165.179
2020-09-30,160.921
2020-10-30,163.735
2020-11-30,183.862
2020-12-31,198.819
2021-01-29,195.182
2021-02-26,203.134
2021-03-31,221.181
2021-04-30,227.18
2021-05-31,240.458
2021-06-30,230.684
2021-07-30,228.689
2021-08-31,245.897
2021-09-30,227.637
2021-10-29,227.892
2021-11-30,209.292
2021-12-31,229.62
2022-01-31,222.418
2022-02-28,209.821
2022-03-31,189.461
2022-04-29,184.321
2022-05-31,191.581
2022-06-30,163.561
2022-07-29,173.879
2022-08-31,170.932
2022-09-30,154.641
2022-10-31,172.694
2022-11-30,187.042
2022-12-30,197.835
2023-01-31,225.067
2023-02-28,226.13
2023-03-31,232.952
2023-04-28,231.53
2023-05-31,221.664
2023-06-30,243.672
2023-07-31,267.289
2023-08-31,262.96
2023-09-29,242.484
2023-10-31,231.61
2023-11-30,255.68
2023-12-29,257.272
2024-01-31,257.975
2024-02-29,267.406
2024-03-29,294.464
2024-04-30,294.091
2024-05-31,321.82
2024-06-28,299.168
2024-07-31,324.216
2024-08-30,331.229
2024-09-30,324.463
2024-10-31,294.371
2024-11-29,286.71
2024-12-31,289.203
2025-01-31,311.978
2025-02-28,352.608
2025-03-31,345.415
2025-04-30,362.36
2025-05-30,420.933
