Date,GERMANY MID VALUE Mid Cap
2011-05-31,383.573
2011-06-30,364.453
2011-07-29,352.328
2011-08-31,320.229
2011-09-30,280.604
2011-10-31,317.036
2011-11-30,326.084
2011-12-30,305.244
2012-01-31,350.644
2012-02-29,362.494
2012-03-30,366.279
2012-04-30,356.046
2012-05-31,309.705
2012-06-29,321.802
2012-07-31,334.359
2012-08-31,334.151
2012-09-28,337.582
2012-10-31,361.875
2012-11-30,377.925
2012-12-31,392.415
2013-01-31,423.684
2013-02-28,412.886
2013-03-29,400.121
2013-04-30,414.627
2013-05-31,423.155
2013-06-28,420.486
2013-07-31,458.917
2013-08-30,456.959
2013-09-30,505.504
2013-10-31,546.037
2013-11-29,575.948
2013-12-31,607.596
2014-01-31,573.022
2014-02-28,623.719
2014-03-31,613.855
2014-04-30,606.417
2014-05-30,619.708
2014-06-30,618.428
2014-07-31,580.094
2014-08-29,575.341
2014-09-30,543.957
2014-10-31,544.739
2014-11-28,588.911
2014-12-31,586.258
2015-01-30,614.211
2015-02-27,655.41
2015-03-31,638.15
2015-04-30,650.3
2015-05-29,634.083
2015-06-30,664.141
2015-07-31,707.449
2015-08-31,687.245
2015-09-30,668.634
2015-10-30,670.709
2015-11-30,654.236
2015-12-31,652.822
2016-01-29,625.081
2016-02-29,601.265
2016-03-31,682.189
2016-04-29,692.753
2016-05-31,694.897
2016-06-30,690.047
2016-07-29,729.396
2016-08-31,711.453
2016-09-30,713.117
2016-10-31,696.387
2016-11-30,638.276
2016-12-30,675.996
2017-01-31,708.675
2017-02-28,714.911
2017-03-31,769.581
2017-04-28,789.512
2017-05-31,864.248
2017-06-30,876.434
2017-07-31,890.232
2017-08-31,937.993
2017-09-29,949.416
2017-10-31,977.803
2017-11-30,998.779
2017-12-29,1019.79
2018-01-31,1048.521
2018-02-28,1014.386
2018-03-30,1033.965
2018-04-30,1049.112
2018-05-31,992.2
2018-06-29,960.77
2018-07-31,1013.588
2018-08-31,1023.842
2018-09-28,994.481
2018-10-31,904.713
2018-11-30,915.293
2018-12-31,861.067
2019-01-31,938.029
2019-02-28,945.746
2019-03-29,919.505
2019-04-30,956.326
2019-05-31,888.361
2019-06-28,913.398
2019-07-31,902.709
2019-08-30,898.141
2019-09-30,953.669
2019-10-31,960.542
2019-11-29,966.212
2019-12-31,1003.597
2020-01-31,958.152
2020-02-28,864.637
2020-03-31,713.255
2020-04-30,777.765
2020-05-29,864.994
2020-06-30,908.591
2020-07-31,973.192
2020-08-31,1047.738
2020-09-30,1005.135
2020-10-30,978.384
2020-11-30,1146.972
2020-12-31,1198.387
2021-01-29,1213.155
2021-02-26,1196.274
2021-03-31,1212.32
2021-04-30,1236.372
2021-05-31,1284.338
2021-06-30,1218.797
2021-07-30,1233.03
2021-08-31,1264.627
2021-09-30,1202.679
2021-10-29,1226.674
2021-11-30,1146.465
2021-12-31,1213.743
2022-01-31,1195.72
2022-02-28,1179.636
2022-03-31,1105.622
2022-04-29,1050.695
2022-05-31,1099.08
2022-06-30,883.803
2022-07-29,891.122
2022-08-31,802.713
2022-09-30,700.692
2022-10-31,762.966
2022-11-30,845.911
2022-12-30,889.122
2023-01-31,1046.702
2023-02-28,1052.777
2023-03-31,1022.841
2023-04-28,1079.071
2023-05-31,1003.278
2023-06-30,1106.549
2023-07-31,1149.787
2023-08-31,1092.01
2023-09-29,1035.196
2023-10-31,940.666
2023-11-30,1082.866
2023-12-29,1138.095
2024-01-31,1111.68
2024-02-29,1107.258
2024-03-29,1176.324
2024-04-30,1186.479
2024-05-31,1296.102
2024-06-28,1219.2
2024-07-31,1298.066
2024-08-30,1324.97
2024-09-30,1442.187
2024-10-31,1403.378
2024-11-29,1435.776
2024-12-31,1424.642
2025-01-31,1559.615
2025-02-28,1603.122
2025-03-31,1672.859
2025-04-30,1859.311
2025-05-30,2016.896
2025-06-30,2126.431
2025-07-31,2144.502
2025-08-29,2224.148
2025-09-30,2191.553
2025-10-31,2222.946
