Date,NETHERLANDS Standard (Large+Mid Cap)
2002-12-31,6231.49
2003-01-01,6231.49
2003-01-02,6425.753
2003-01-03,6411.144
2003-01-06,6493.103
2003-01-07,6426.38
2003-01-08,6299.885
2003-01-09,6429.45
2003-01-10,6480.907
2003-01-13,6508.612
2003-01-14,6520.933
2003-01-15,6432.146
2003-01-16,6414.403
2003-01-17,6261.19
2003-01-20,6139.709
2003-01-21,6040.607
2003-01-22,5912.995
2003-01-23,5882.501
2003-01-24,5863.318
2003-01-27,5650.415
2003-01-28,5674.606
2003-01-29,5698.073
2003-01-30,5824.076
2003-01-31,5840.93
2003-02-03,5918.097
2003-02-04,5752.295
2003-02-05,5835.385
2003-02-06,5686.308
2003-02-07,5569.04
2003-02-10,5476.743
2003-02-11,5603.853
2003-02-12,5447.232
2003-02-13,5484.193
2003-02-14,5627.649
2003-02-17,5717.608
2003-02-18,5751.015
2003-02-19,5640.721
2003-02-20,5607.441
2003-02-21,5643.318
2003-02-24,5420.838
2003-02-25,5220.454
2003-02-26,5175.009
2003-02-27,5246.355
2003-02-28,5409.531
2003-03-03,5467.781
2003-03-04,5344.676
2003-03-05,5314.631
2003-03-06,5213.679
2003-03-07,5040.786
2003-03-10,4925.857
2003-03-11,4929.415
2003-03-12,4699.71
2003-03-13,5018.868
2003-03-14,5243.194
2003-03-17,5432.241
2003-03-18,5345.004
2003-03-19,5408.285
2003-03-20,5351.313
2003-03-21,5542.776
2003-03-24,5292.267
2003-03-25,5470.827
2003-03-26,5460.814
2003-03-27,5370.165
2003-03-28,5438.715
2003-03-31,5255.156
2003-04-01,5360.713
2003-04-02,5511.883
2003-04-03,5536.02
2003-04-04,5546.996
2003-04-07,5763.215
2003-04-08,5665.934
2003-04-09,5657.609
2003-04-10,5600.141
2003-04-11,5642.728
2003-04-14,5699.99
2003-04-15,5850.727
2003-04-16,5850.027
2003-04-17,5911.865
2003-04-18,5911.865
2003-04-21,5886.381
2003-04-22,5942.786
2003-04-23,6023.921
2003-04-24,5918.115
2003-04-25,5811.246
2003-04-28,5977.43
2003-04-29,5909.298
2003-04-30,5945.599
2003-05-01,6000.207
2003-05-02,5939.845
2003-05-05,6103.338
2003-05-06,6233.74
2003-05-07,6163.175
2003-05-08,6070.432
2003-05-09,6169.514
2003-05-12,6227.696
2003-05-13,6213.845
2003-05-14,6200.706
2003-05-15,6209.035
2003-05-16,6308.215
2003-05-19,6131.423
2003-05-20,6149.615
2003-05-21,6049.186
2003-05-22,6152.488
2003-05-23,6124.779
2003-05-26,6151.522
2003-05-27,6195.138
2003-05-28,6282.445
2003-05-29,6327.028
2003-05-30,6324.618
2003-06-02,6414.302
2003-06-03,6361.116
2003-06-04,6480.943
2003-06-05,6555.141
2003-06-06,6666.093
2003-06-09,6577.828
2003-06-10,6565.87
2003-06-11,6755.275
2003-06-12,6837.331
2003-06-13,6681.55
2003-06-16,6860.379
2003-06-17,6839.652
2003-06-18,6813.615
2003-06-19,6681.563
2003-06-20,6729.05
2003-06-23,6451.939
2003-06-24,6392.347
2003-06-25,6501.007
2003-06-26,6398.523
2003-06-27,6462.174
2003-06-30,6372.927
2003-07-01,6312.723
2003-07-02,6433.38
2003-07-03,6454.665
2003-07-04,6384.825
2003-07-07,6553.546
2003-07-08,6529.7
2003-07-09,6454.339
2003-07-10,6376.139
2003-07-11,6442.719
2003-07-14,6534.567
2003-07-15,6502.275
2003-07-16,6467.517
2003-07-17,6370.112
2003-07-18,6504.419
2003-07-21,6503.897
2003-07-22,6593.437
2003-07-23,6607.901
2003-07-24,6721.789
2003-07-25,6670.147
2003-07-28,6712.076
2003-07-29,6651.556
2003-07-30,6612.272
2003-07-31,6658.732
2003-08-01,6572.661
2003-08-04,6570.373
2003-08-05,6625.593
2003-08-06,6551.57
2003-08-07,6612.748
2003-08-08,6665.642
2003-08-11,6727.142
2003-08-12,6739.261
2003-08-13,6731.296
2003-08-14,6813.098
2003-08-15,6847.242
2003-08-18,6849.945
2003-08-19,6802.383
2003-08-20,6802.463
2003-08-21,6797.273
2003-08-22,6805.878
2003-08-25,6758.746
2003-08-26,6675.228
2003-08-27,6759.754
2003-08-28,6793.161
2003-08-29,6807.223
2003-09-01,6939.376
2003-09-02,6870.524
2003-09-03,6931.894
2003-09-04,6958.003
2003-09-05,7019.748
2003-09-08,7119.196
2003-09-09,7075.52
2003-09-10,6971.972
2003-09-11,6960.711
2003-09-12,6980.257
2003-09-15,7023.828
2003-09-16,7013.927
2003-09-17,7083.267
2003-09-18,7097.488
2003-09-19,7087.409
2003-09-22,7009.805
2003-09-23,6936.487
2003-09-24,6942.648
2003-09-25,6902.327
2003-09-26,6771.423
2003-09-29,6781.368
2003-09-30,6717.254
2003-10-01,6867.075
2003-10-02,6893.074
2003-10-03,7052.788
2003-10-06,7010.953
2003-10-07,7024.59
2003-10-08,7016.026
2003-10-09,7126.395
2003-10-10,7148.344
2003-10-13,7200.608
2003-10-14,7167.926
2003-10-15,7226.606
2003-10-16,7201.916
2003-10-17,7204.684
2003-10-20,7149.687
2003-10-21,7194.848
2003-10-22,7119.049
2003-10-23,7002.079
2003-10-24,6996.182
2003-10-27,7030.321
2003-10-28,7028.294
2003-10-29,7070.512
2003-10-30,7122.133
2003-10-31,7128.464
2003-11-03,7234.329
2003-11-04,7219.174
2003-11-05,7165.286
2003-11-06,7198.453
2003-11-07,7308.418
2003-11-10,7257.678
2003-11-11,7214.126
2003-11-12,7278.909
2003-11-13,7352.269
2003-11-14,7387.37
2003-11-17,7206.569
2003-11-18,7252.285
2003-11-19,7246.445
2003-11-20,7223.625
2003-11-21,7212.842
2003-11-24,7283.234
2003-11-25,7302.445
2003-11-26,7348.569
2003-11-27,7374.113
2003-11-28,7378.691
2003-12-01,7480.603
2003-12-02,7554.196
2003-12-03,7604.543
2003-12-04,7549.782
2003-12-05,7547.329
2003-12-08,7538.329
2003-12-09,7567.085
2003-12-10,7511.293
2003-12-11,7509.879
2003-12-12,7577.302
2003-12-15,7602.005
2003-12-16,7602.659
2003-12-17,7622.793
2003-12-18,7689.09
2003-12-19,7751.247
2003-12-22,7761.446
2003-12-23,7769.722
2003-12-24,7816.586
2003-12-25,7816.586
2003-12-26,7813.448
2003-12-29,7893.205
2003-12-30,7977.76
2003-12-31,8056.386
2004-01-01,8056.386
2004-01-02,8132.475
2004-01-05,8199.991
2004-01-06,8223.803
2004-01-07,8123.103
2004-01-08,8231.966
2004-01-09,8145.783
2004-01-12,8067.304
2004-01-13,8075.806
2004-01-14,8073.125
2004-01-15,8091.403
2004-01-16,8060.047
2004-01-19,8064.052
2004-01-20,8131.4
2004-01-21,8242.489
2004-01-22,8292.641
2004-01-23,8265.958
2004-01-26,8149.388
2004-01-27,8217.117
2004-01-28,8253.953
2004-01-29,8028.916
2004-01-30,8022.448
2004-02-02,8071.397
2004-02-03,8077.921
2004-02-04,8002.219
2004-02-05,8047.538
2004-02-06,8120.658
2004-02-09,8181.876
2004-02-10,8217.485
2004-02-11,8239.694
2004-02-12,8366.627
2004-02-13,8292.046
2004-02-16,8332.823
2004-02-17,8424.149
2004-02-18,8426.783
2004-02-19,8399.699
2004-02-20,8301.893
2004-02-23,8257.176
2004-02-24,8206.331
2004-02-25,8158.73
2004-02-26,8124.688
2004-02-27,8148.796
2004-03-01,8234.759
2004-03-02,8218.751
2004-03-03,8096.249
2004-03-04,8135.952
2004-03-05,8223.628
2004-03-08,8220.845
2004-03-09,8152.261
2004-03-10,8029.879
2004-03-11,7822.087
2004-03-12,7810.73
2004-03-15,7662.155
2004-03-16,7751.583
2004-03-17,7798.591
2004-03-18,7713.432
2004-03-19,7682.194
