Date,USA VALUE Standard (Large+Mid Cap)
2014-09-30,6379.328
2014-10-31,6502.181
2014-11-28,6610.86
2014-12-31,6602.775
2015-01-30,6334.417
2015-02-27,6642.594
2015-03-31,6498.927
2015-04-30,6623.488
2015-05-29,6678.103
2015-06-30,6502.704
2015-07-31,6548.933
2015-08-31,6163.834
2015-09-30,6031.079
2015-10-30,6506.025
2015-11-30,6523.011
2015-12-31,6416.766
2016-01-29,6137.342
2016-02-29,6125.443
2016-03-31,6534.492
2016-04-29,6609.04
2016-05-31,6714.094
2016-06-30,6787.864
2016-07-29,6986.357
2016-08-31,7021.325
2016-09-30,7007.7
2016-10-31,6903.09
2016-11-30,7233.026
2016-12-30,7432.652
2017-01-31,7465.655
2017-02-28,7734.054
2017-03-31,7675.344
2017-04-28,7663.148
2017-05-31,7668.087
2017-06-30,7808.411
2017-07-31,7917.09
2017-08-31,7840.118
2017-09-29,8068.084
2017-10-31,8163.604
2017-11-30,8402.649
2017-12-29,8504.752
2018-01-31,8823.471
2018-02-28,8373.532
2018-03-30,8193.954
2018-04-30,8207.627
2018-05-31,8239.075
2018-06-29,8280.337
2018-07-31,8630.46
2018-08-31,8740.007
2018-09-28,8771.995
2018-10-31,8384.467
2018-11-30,8627.947
2018-12-31,7828.048
2019-01-31,8385.583
2019-02-28,8642.321
2019-03-29,8706.206
2019-04-30,8981.205
2019-05-31,8388.485
2019-06-28,8956.614
2019-07-31,9042.78
2019-08-30,8799.878
2019-09-30,9103.099
2019-10-31,9228.451
2019-11-29,9496.337
2019-12-31,9754.853
2020-01-31,9505.757
2020-02-28,8576.6
2020-03-31,7226.542
2020-04-30,7989.02
2020-05-29,8207.841
2020-06-30,8143.338
2020-07-31,8445.69
2020-08-31,8773.742
2020-09-30,8573.494
2020-10-30,8375.264
2020-11-30,9458.949
2020-12-31,9759.641
2021-01-29,9639.176
2021-02-26,10076.454
2021-03-31,10755.411
2021-04-30,11145.239
2021-05-31,11428.7
2021-06-30,11315.144
2021-07-30,11441.2
2021-08-31,11661.828
2021-09-30,11233.338
2021-10-29,11868.169
2021-11-30,11539.936
2021-12-31,12325.538
2022-01-31,12018.389
2022-02-28,11788.93
2022-03-31,12126.225
2022-04-29,11524.788
2022-05-31,11733.195
2022-06-30,10764.027
2022-07-29,11366.501
2022-08-31,11038.45
2022-09-30,10125.633
2022-10-31,11248.591
2022-11-30,11921.992
2022-12-30,11468.197
2023-01-31,11830.139
2023-02-28,11417.555
2023-03-31,11326.51
2023-04-28,11468.727
2023-05-31,10992.874
2023-06-30,11663.573
2023-07-31,12076.551
2023-08-31,11765.298
2023-09-29,11333.426
2023-10-31,11004.596
2023-11-30,11783.983
2023-12-29,12426.024
2024-01-31,12488.0
2024-02-29,12911.115
2024-03-29,13529.049
2024-04-30,12953.793
2024-05-31,13319.391
2024-06-28,13311.395
2024-07-31,13944.64
2024-08-30,14337.542
2024-09-30,14578.317
2024-10-31,14400.3
2024-11-29,15173.773
2024-12-31,14109.815
2025-01-31,14733.05
2025-02-28,14865.829
2025-03-31,14495.229
2025-04-30,13976.304
2025-05-30,14337.739
2025-06-30,14968.036
2025-07-31,15036.11
2025-08-29,15444.516
2025-09-30,15714.231
2025-10-31,15562.311
2025-11-28,15828.257
2025-12-31,15939.648
2026-01-30,16646.528
