Date,USA SMALL GROWTH Small Cap
2003-04-21,413.017
2003-04-22,420.555
2003-04-23,425.754
2003-04-24,422.542
2003-04-25,417.909
2003-04-28,425.213
2003-04-29,427.643
2003-04-30,430.435
2003-05-01,430.39
2003-05-02,439.56
2003-05-05,441.837
2003-05-06,444.482
2003-05-07,441.929
2003-05-08,437.735
2003-05-09,443.348
2003-05-12,449.587
2003-05-13,449.847
2003-05-14,450.447
2003-05-15,453.488
2003-05-16,450.87
2003-05-19,439.935
2003-05-20,438.479
2003-05-21,441.49
2003-05-22,447.093
2003-05-23,449.711
2003-05-26,449.711
2003-05-27,460.06
2003-05-28,462.514
2003-05-29,463.71
2003-05-30,472.413
2003-06-02,474.907
2003-06-03,474.389
2003-06-04,482.655
2003-06-05,489.348
2003-06-06,485.919
2003-06-09,475.848
2003-06-10,481.69
2003-06-11,488.847
2003-06-12,490.741
2003-06-13,483.894
2003-06-16,492.768
2003-06-17,493.954
2003-06-18,493.934
2003-06-19,485.897
2003-06-20,484.045
2003-06-23,473.503
2003-06-24,474.161
2003-06-25,476.684
2003-06-26,483.855
2003-06-27,482.789
2003-06-30,481.945
2003-07-01,483.99
2003-07-02,493.525
2003-07-03,491.388
2003-07-04,491.388
2003-07-07,501.526
2003-07-08,509.322
2003-07-09,511.281
2003-07-10,502.532
2003-07-11,506.813
2003-07-14,513.445
2003-07-15,510.14
2003-07-16,505.588
2003-07-17,492.736
2003-07-18,498.784
2003-07-21,492.885
2003-07-22,498.73
2003-07-23,501.482
2003-07-24,498.515
2003-07-25,502.577
2003-07-28,507.075
2003-07-29,505.799
2003-07-30,504.526
2003-07-31,506.598
2003-08-01,500.889
2003-08-04,498.407
2003-08-05,490.82
2003-08-06,486.759
2003-08-07,486.791
2003-08-08,487.416
2003-08-11,492.442
2003-08-12,500.102
2003-08-13,501.671
2003-08-14,503.887
2003-08-15,505.409
2003-08-18,514.869
2003-08-19,520.795
2003-08-20,521.863
2003-08-21,527.937
2003-08-22,520.797
2003-08-25,517.365
2003-08-26,518.956
2003-08-27,523.458
2003-08-28,530.858
2003-08-29,534.441
2003-09-01,534.441
2003-09-02,542.191
2003-09-03,545.425
2003-09-04,547.637
2003-09-05,544.617
2003-09-08,552.476
2003-09-09,548.437
2003-09-10,535.755
2003-09-11,539.454
2003-09-12,541.407
2003-09-15,540.079
2003-09-16,548.577
2003-09-17,549.031
2003-09-18,553.686
2003-09-19,554.325
2003-09-22,547.163
2003-09-23,551.986
2003-09-24,540.228
2003-09-25,530.226
2003-09-26,520.632
2003-09-29,527.405
2003-09-30,523.75
2003-10-01,534.63
2003-10-02,538.89
2003-10-03,548.137
2003-10-06,552.625
2003-10-07,557.003
2003-10-08,553.674
2003-10-09,557.912
2003-10-10,557.539
2003-10-13,564.981
2003-10-14,567.222
2003-10-15,562.683
2003-10-16,565.901
2003-10-17,555.729
2003-10-20,556.644
2003-10-21,562.038
2003-10-22,552.098
2003-10-23,550.427
2003-10-24,547.465
2003-10-27,553.872
2003-10-28,564.79
2003-10-29,570.97
2003-10-30,569.774
2003-10-31,569.827
2003-11-03,577.87
2003-11-04,577.675
2003-11-05,579.071
2003-11-06,582.197
2003-11-07,583.083
2003-11-10,573.756
2003-11-11,569.623
2003-11-12,582.448
2003-11-13,584.032
2003-11-14,575.924
2003-11-17,569.29
2003-11-18,564.142
2003-11-19,567.018
2003-11-20,564.535
2003-11-21,566.29
2003-11-24,580.339
2003-11-25,584.229
2003-11-26,586.425
2003-11-27,586.425
2003-11-28,589.983
2003-12-01,598.674
2003-12-02,597.211
2003-12-03,589.19
2003-12-04,586.409
2003-12-05,580.213
2003-12-08,582.233
2003-12-09,572.838
2003-12-10,566.367
2003-12-11,580.58
2003-12-12,583.148
2003-12-15,572.749
2003-12-16,572.882
2003-12-17,573.462
2003-12-18,582.904
2003-12-19,582.457
2003-12-22,584.677
2003-12-23,589.106
2003-12-24,587.862
2003-12-25,587.862
2003-12-26,589.699
2003-12-29,598.6
2003-12-30,600.316
2003-12-31,595.652
2004-01-01,595.652
2004-01-02,597.234
2004-01-05,606.168
2004-01-06,608.966
2004-01-07,612.057
2004-01-08,616.051
2004-01-09,613.842
2004-01-12,619.834
2004-01-13,616.581
2004-01-14,621.022
2004-01-15,621.865
2004-01-16,629.418
2004-01-19,629.418
2004-01-20,635.844
2004-01-21,634.833
2004-01-22,630.159
2004-01-23,632.31
2004-01-26,637.791
2004-01-27,630.819
2004-01-28,619.235
2004-01-29,614.158
2004-01-30,616.745
2004-02-02,617.304
2004-02-03,616.085
2004-02-04,604.147
2004-02-05,607.763
2004-02-06,621.828
2004-02-09,624.445
2004-02-10,629.715
2004-02-11,635.167
2004-02-12,631.484
2004-02-13,625.555
2004-02-16,625.555
2004-02-17,633.289
2004-02-18,631.48
2004-02-19,622.769
2004-02-20,618.24
2004-02-23,607.99
2004-02-24,608.253
2004-02-25,615.555
2004-02-26,622.136
2004-02-27,625.076
2004-03-01,635.845
2004-03-02,633.54
2004-03-03,632.595
2004-03-04,639.187
2004-03-05,640.846
2004-03-08,632.652
2004-03-09,624.521
2004-03-10,612.522
2004-03-11,606.069
2004-03-12,618.746
2004-03-15,604.705
2004-03-16,604.635
2004-03-17,616.114
2004-03-18,612.771
2004-03-19,608.719
2004-03-22,595.979
2004-03-23,596.816
2004-03-24,594.967
2004-03-25,610.293
2004-03-26,611.798
2004-03-29,621.159
2004-03-30,627.474
2004-03-31,628.232
2004-04-01,634.024
2004-04-02,642.962
2004-04-05,649.818
2004-04-06,644.854
2004-04-07,645.718
2004-04-08,643.666
2004-04-09,643.666
2004-04-12,647.483
2004-04-13,634.046
2004-04-14,630.753
2004-04-15,627.302
2004-04-16,628.771
2004-04-19,633.96
2004-04-20,623.339
2004-04-21,629.786
2004-04-22,640.682
2004-04-23,638.666
2004-04-26,636.408
2004-04-27,634.972
2004-04-28,621.737
